Symbol,Date,Open,High,Low,Close,Volume
A,23-Dec-2019,85.42,85.44,84.76,85.26,816000
AA,23-Dec-2019,21.3,21.55,21.26,21.48,2263300
AAAU,23-Dec-2019,14.78,14.83,14.78,14.8235,95500
AACG,23-Dec-2019,1.4405,1.52,1.4,1.4948,12300
AADR,23-Dec-2019,53.6928,53.83,53.6,53.715,9100
AAL,23-Dec-2019,29.25,29.72,29.2,29.3,9291400
AAMC,23-Dec-2019,13.07,13.6,13.07,13.4652,600
AAME,23-Dec-2019,1.9299,1.9299,1.85,1.89,1000
AAN,23-Dec-2019,59.14,59.37,57.93,58.25,452900
AAOI,23-Dec-2019,11.17,11.23,10.91,11.15,467600
AAON,23-Dec-2019,50.02,50.2,48.87,49.96,91500
AAP,23-Dec-2019,158.22,160.2,156.9,159.97,683500
AAPL,23-Dec-2019,280.53,284.25,280.3735,284,24677800
AAT,23-Dec-2019,44.91,44.91,44.57,44.8,235800
AAU,23-Dec-2019,0.51,0.5199,0.5,0.5151,175000
AAWW,23-Dec-2019,27.66,27.885,27.15,27.33,251800
AAXJ,23-Dec-2019,72.96,73.03,72.81,73.03,244800
AAXN,23-Dec-2019,71.74,72.2512,71.1,72.24,352800
AB,23-Dec-2019,30.14,30.1455,29.8881,30.1,183100
ABB,23-Dec-2019,23.99,24.03,23.94,23.96,2535100
ABBV,23-Dec-2019,89.53,90.47,89.33,90.25,5908400
ABC,23-Dec-2019,86.02,86.11,84.98,85.6,865400
ABCB,23-Dec-2019,43.44,43.44,42.69,43.09,224900
ABDC,23-Dec-2019,9.08,9.175,9.08,9.15,19700
ABEO,23-Dec-2019,3.31,3.75,3.2,3.63,4497000
ABEV,23-Dec-2019,4.61,4.63,4.58,4.58,5995300
ABG,23-Dec-2019,117.68,117.71,113.56,114.12,104700
ABIL,23-Dec-2019,0.56,0.56,0.51,0.5342,183900
ABIO,23-Dec-2019,5.83,6.25,5.64,5.96,208200
ABM,23-Dec-2019,38.64,38.65,37.45,37.74,519900
ABMD,23-Dec-2019,164.09,170.84,161.6733,170.44,1090900
ABR,23-Dec-2019,14.69,14.69,14.34,14.37,942500
ABR-A,23-Dec-2019,26.2866,26.2922,26.28,26.28,1400
ABR-B,23-Dec-2019,25.68,25.825,25.66,25.825,1800
ABR-C,23-Dec-2019,26.6338,26.6338,26.6338,26.6338,100
ABT,23-Dec-2019,86.31,87.46,86.28,87.35,4067700
ABTX,23-Dec-2019,37.91,37.94,37.51,37.58,76300
ABUS,23-Dec-2019,2.8,2.85,2.48,2.75,1016600
AC,23-Dec-2019,38.71,39.32,38.65,38.69,16500
ACA,23-Dec-2019,45.37,45.37,44.8597,45.12,288200
ACAD,23-Dec-2019,45.28,45.805,43.71,44.57,1190100
ACAMU,23-Dec-2019,10.1789,10.1789,10.1789,10.1789,300
ACB,23-Dec-2019,2.15,2.18,2.01,2.01,40160300
ACBI,23-Dec-2019,18.92,19.04,18.51,18.6,58300
ACC,23-Dec-2019,46.33,46.33,45.87,45.94,537800
ACCO,23-Dec-2019,9.67,9.71,9.49,9.53,274100
ACEL,23-Dec-2019,12.6,12.63,12.1539,12.2,212900
ACER,23-Dec-2019,3.85,3.93,3.73,3.89,56600
ACES,23-Dec-2019,33.76,33.78,33.64,33.765,10700
ACGL,23-Dec-2019,42.77,42.77,41.97,42.065,1428100
ACGLO,23-Dec-2019,25.95,25.96,25.88,25.96,22000
ACGLP,23-Dec-2019,25.41,25.55,25.4009,25.55,29200
ACH,23-Dec-2019,8.23,8.23,8.16,8.2,26700
ACHC,23-Dec-2019,33.16,33.39,32.73,33.18,488000
ACHN,23-Dec-2019,6.1,6.19,6.08,6.15,2927100
ACHV,23-Dec-2019,0.52,0.52,0.4825,0.4933,1542700
ACIA,23-Dec-2019,67.5,67.74,67.36,67.65,403400
ACIO,23-Dec-2019,26.4,26.4,25.7855,25.8232,20900
ACIU,23-Dec-2019,8.16,8.29,7.98,8.2,117700
ACIW,23-Dec-2019,37.85,37.94,37.34,37.685,336900
ACLS,23-Dec-2019,24.89,24.91,24.3,24.42,121600
ACM,23-Dec-2019,43.65,43.9,43.4004,43.84,2014500
ACMR,23-Dec-2019,18.55,19.75,18.31,19.62,265800
ACN,23-Dec-2019,210.96,211.29,208.8401,210.83,2220900
ACNB,23-Dec-2019,37.35,37.74,37.27,37.3,7600
ACOR,23-Dec-2019,1.75,1.81,1.7,1.78,3246000
ACP,23-Dec-2019,11.57,11.62,11.5401,11.62,143400
ACRE,23-Dec-2019,16.2,16.305,16.12,16.26,354300
ACRS,23-Dec-2019,2.04,2.04,1.81,1.82,580300
ACRX,23-Dec-2019,2.21,2.24,2.13,2.2,873700
ACSG,23-Dec-2019,28.12,28.12,27.9773,27.9773,3500
ACSI,23-Dec-2019,36.22,36.22,35.93,35.93,1700
ACST,23-Dec-2019,2.87,3.08,1.18,2.18,13510500
ACT,23-Dec-2019,25.56,25.6,25.56,25.6,700
ACTG,23-Dec-2019,2.75,2.75,2.6,2.61,166000
ACTT,23-Dec-2019,10.15,10.15,10.0136,10.13,173300
ACTTW,23-Dec-2019,0.96,1.1,0.95,1.1,12300
ACU,23-Dec-2019,22.9,23.25,22.9,22.95,6900
ACV,23-Dec-2019,24.76,25.14,24.76,25,39600
ACWF,23-Dec-2019,31.19,31.19,31.1025,31.1127,16000
ACWI,23-Dec-2019,79.08,79.12,79.01,79.05,1385400
ACWV,23-Dec-2019,95.73,95.73,95.36,95.39,332900
ACWX,23-Dec-2019,48.92,48.97,48.885,48.97,1720200
ACY,23-Dec-2019,4.41,4.69,4.4,4.65,10100
ADAP,23-Dec-2019,1.36,1.38,1.28,1.33,487900
ADBE,23-Dec-2019,328.83,329.88,327.26,328.95,2210700
ADC,23-Dec-2019,68.66,68.66,68.055,68.42,814200
ADES,23-Dec-2019,10.4,10.55,10.26,10.52,122800
ADI,23-Dec-2019,120,120.545,119.03,119.17,1565700
ADIL,23-Dec-2019,2.22,2.3276,2.15,2.1702,83200
ADILW,23-Dec-2019,0.14,0.1407,0.14,0.1407,200
ADM,23-Dec-2019,45.86,46.05,45.53,46.02,1866600
ADMA,23-Dec-2019,4.28,4.29,4.16,4.22,666300
ADME,23-Dec-2019,31,31,30.8066,30.8066,11300
ADMP,23-Dec-2019,0.59,0.6798,0.584,0.6694,1905800
ADMS,23-Dec-2019,3.7,3.88,3.62,3.65,541700
ADNT,23-Dec-2019,20.9,21.36,20.8,21.15,1312800
ADP,23-Dec-2019,171.27,171.36,169.74,170.02,1139800
ADPT,23-Dec-2019,32.58,33.4,30.53,32.14,1033700
ADRA,23-Dec-2019,34.76,34.76,34.7101,34.735,2100
ADRD,23-Dec-2019,22.55,22.55,22.4159,22.425,1200
ADRE,23-Dec-2019,45,45,44.4073,44.66,65800
ADRO,23-Dec-2019,1.01,1.13,0.9905,1.11,1183500
ADRU,23-Dec-2019,21.83,21.83,21.7801,21.81,400
ADS,23-Dec-2019,111.35,112.13,110.82,111.47,458700
ADSK,23-Dec-2019,183.18,183.83,181.73,182.92,903500
ADSW,23-Dec-2019,32.87,32.95,32.86,32.95,1945800
ADT,23-Dec-2019,7.86,7.91,7.49,7.76,2004500
ADTN,23-Dec-2019,9.44,9.72,9.36,9.62,163400
ADUS,23-Dec-2019,91.55,92.6539,90.6,92.18,180300
ADVM,23-Dec-2019,10.65,11.09,10.295,11.06,914400
ADX,23-Dec-2019,15.86,15.91,15.8449,15.89,152200
ADXS,23-Dec-2019,0.595,0.6,0.5635,0.5993,1695100
AE,23-Dec-2019,38.37,38.37,37.01,37.02,5600
AEB,23-Dec-2019,24.58,24.83,24.54,24.71,41200
AEE,23-Dec-2019,76.56,76.56,75.47,75.64,961500
AEF,23-Dec-2019,7.61,7.65,7.61,7.65,103400
AEFC,23-Dec-2019,25.72,25.9,25.72,25.89,59800
AEG,23-Dec-2019,4.54,4.54,4.51,4.52,1043200
AEGN,23-Dec-2019,22.98,23.03,22.3,22.47,84000
AEHR,23-Dec-2019,1.87,1.91,1.78,1.9,145200
AEIS,23-Dec-2019,70.93,71.56,70.15,71.3,235000
AEL,23-Dec-2019,30.03,30.03,29.6,29.79,631700
AEL-A,23-Dec-2019,25.94,26.04,25.86,26.04,52300
AEM,23-Dec-2019,58.36,60.055,58.16,59.73,872200
AEMD,23-Dec-2019,0.86,0.875,0.8101,0.855,233700
AEO,23-Dec-2019,14.61,14.61,14.16,14.21,4667500
