Symbol,Date,Open,High,Low,Close,Volume
A,13 Mar 2018,71,71.52,70.42,70.68,1728100
AA,13 Mar 2018,48.43,49.85,48.43,48.59,2746000
AABA,13 Mar 2018,77.98,78.05,75.68,75.97,3937600
AAC,13 Mar 2018,12.25,12.3,11.77,11.94,217900
AADR,13 Mar 2018,62.38,62.38,61.37,61.37,46700
AAL,13 Mar 2018,56.86,57.44,56.03,56.23,4361800
AAMC,13 Mar 2018,66.5,66.5,65,65,3600
AAME,13 Mar 2018,3.35,3.35,3.25,3.3,5700
AAN,13 Mar 2018,48.99,49.77,48.14,48.35,824000
AAOI,13 Mar 2018,30.84,31,28.8,29.51,1906000
AAON,13 Mar 2018,38.35,38.95,38.05,38.65,228300
AAP,13 Mar 2018,118.75,120.1,117.26,119,942400
AAPL,13 Mar 2018,182.59,183.5,179.24,179.97,31693500
AAT,13 Mar 2018,32.85,33.36,32.85,33.14,836400
AAU,13 Mar 2018,0.881,0.885,0.85,0.87,70800
AAV,13 Mar 2018,2.85,2.89,2.8,2.8,396200
AAWW,13 Mar 2018,61.8,62.6,61.7,62.35,188400
AAXJ,13 Mar 2018,80.11,80.25,78.95,79.21,2219000
AAXN,13 Mar 2018,39.56,39.88,38.95,39.35,685000
AB,13 Mar 2018,27.1,27.17,26.5,26.75,403400
ABAC,13 Mar 2018,2.46,2.605,2.46,2.577,1500
ABAX,13 Mar 2018,74.47,74.6,72.16,72.68,85500
ABB,13 Mar 2018,24.59,24.62,24.185,24.23,1263500
ABBV,13 Mar 2018,119.26,121.45,118.73,119.75,5403100
ABC,13 Mar 2018,100.44,101.39,100.34,100.6,1509000
ABCB,13 Mar 2018,57.75,57.75,56.85,57.4,228800
ABCD,13 Mar 2018,9.15,9.56,8.82,9.49,231600
ABDC,13 Mar 2018,7.7,7.8,7.66,7.7,39600
ABE,13 Mar 2018,15.3,15.4,15.11,15.11,2700
ABEO,13 Mar 2018,16,16.35,14.925,15.1,1130300
ABEV,13 Mar 2018,7.32,7.395,7.24,7.28,24462600
ABG,13 Mar 2018,69.25,69.7,68.3,68.4,118800
ABIL,13 Mar 2018,0.42,0.42,0.4,0.4,51400
ABIO,13 Mar 2018,0.63,0.64,0.59,0.61,407500
ABLX,13 Mar 2018,54.28,54.41,54.16,54.19,82000
ABM,13 Mar 2018,38.12,38.37,37.47,37.55,581300
ABMD,13 Mar 2018,295.73,299.2,290.12,293.17,329200
ABR,13 Mar 2018,8.88,8.93,8.76,8.77,679400
ABR-A,13 Mar 2018,25.29,25.29,25.29,25.29,400
ABR-C,13 Mar 2018,25.78,25.78,25.78,25.78,300
ABRN,13 Mar 2018,25.27,25.29,25.26,25.26,8400
ABT,13 Mar 2018,63.89,63.95,63.005,63.2,6428500
ABTX,13 Mar 2018,40.75,41.2,40.45,40.55,23800
ABUS,13 Mar 2018,6.05,6.05,5.75,6,197500
ABX,13 Mar 2018,12.2,12.33,12.12,12.18,9916500
AC,13 Mar 2018,35.6,36.35,35.3,36.15,12500
ACAD,13 Mar 2018,26.01,26.23,24.68,24.98,2077000
ACBI,13 Mar 2018,18.1,18.15,17.95,18.1,67500
ACC,13 Mar 2018,38.08,38.24,37.67,38.13,544400
ACCO,13 Mar 2018,13.2,13.3,13.05,13.1,997200
ACER,13 Mar 2018,18.4,19.28,18.2,19.15,29400
ACERW,13 Mar 2018,0.0026,0.005,0.0026,0.005,464900
ACET,13 Mar 2018,7.66,7.81,7.6,7.7,313100
ACFC,13 Mar 2018,11.09,11.09,10.94,11.09,14800
ACGL,13 Mar 2018,85.68,85.94,84.795,85.43,1004500
ACGLO,13 Mar 2018,24.94,24.94,24.74,24.77,42100
ACGLP,13 Mar 2018,24.45,24.5,24.32,24.36,67700
ACH,13 Mar 2018,14.74,14.79,14.5,14.51,89900
ACHC,13 Mar 2018,42.27,42.27,41.38,41.65,822900
ACHN,13 Mar 2018,4.24,4.34,4.025,4.05,2433700
ACHV,13 Mar 2018,1.42,1.44,1.33,1.4,53700
ACIA,13 Mar 2018,44.84,44.84,42.76,44.44,1659400
ACIM,13 Mar 2018,80.79,80.829,80.541,80.725,1100
ACIU,13 Mar 2018,12.13,12.36,11.68,11.83,29000
ACIW,13 Mar 2018,26.14,26.14,25.68,26.01,615800
ACLS,13 Mar 2018,27.1,27.45,26.1,26.25,538100
ACM,13 Mar 2018,36.57,37.22,36.27,36.4,868800
ACMR,13 Mar 2018,13.66,14.59,13.6,14.24,50500
ACN,13 Mar 2018,162.12,164.3,162.06,162.49,2742200
ACNB,13 Mar 2018,29.15,29.4,28.95,29.1,4000
ACOR,13 Mar 2018,25.75,26.05,25.35,25.6,283400
ACP,13 Mar 2018,14.17,14.18,14.07,14.14,59500
ACRE,13 Mar 2018,12.75,12.77,12.57,12.58,92100
ACRS,13 Mar 2018,19.88,21.35,19.7,19.86,569200
ACRX,13 Mar 2018,2.1,2.2,2.1,2.15,589100
ACSF,13 Mar 2018,10.85,11,10.85,11,19900
ACSI,13 Mar 2018,32.05,32.08,31.97,31.97,1800
ACST,13 Mar 2018,0.95,0.97,0.94,0.95,98400
ACT,13 Mar 2018,26.02,26.02,25.75,25.75,3700
ACTG,13 Mar 2018,3.7,3.8,3.7,3.7,110700
ACU,13 Mar 2018,21.72,21.72,21.72,21.72,200
ACV,13 Mar 2018,22.39,22.68,22.31,22.58,160200
ACWF,13 Mar 2018,31.95,31.95,31.62,31.62,12800
ACWI,13 Mar 2018,74.66,74.76,73.69,73.86,1172700
ACWV,13 Mar 2018,85.2,85.29,84.52,84.72,251900
ACWX,13 Mar 2018,51.01,51.04,50.34,50.41,339600
ACXM,13 Mar 2018,32.45,32.6,31.81,31.95,763300
ACY,13 Mar 2018,16.4,16.4,16.25,16.3,2500
ADAP,13 Mar 2018,9.06,9.06,8.67,8.74,338800
ADBE,13 Mar 2018,223,224.9,218.43,219.76,4731900
ADC,13 Mar 2018,49.7,49.9,49.1,49.25,139700
ADES,13 Mar 2018,11.07,11.11,10.34,10.67,158700
ADI,13 Mar 2018,96,96.85,94.22,94.66,3521700
ADM,13 Mar 2018,44.57,44.92,44.08,44.24,3349100
ADMA,13 Mar 2018,4.3,4.5,4.29,4.46,145900
ADMP,13 Mar 2018,4.05,4.15,3.725,3.8,708400
ADMS,13 Mar 2018,28.88,29.2,26.41,26.57,997700
ADNT,13 Mar 2018,62.11,62.11,60.94,61.13,871400
ADOM,13 Mar 2018,1.39,1.42,1.32,1.35,28500
ADP,13 Mar 2018,118.34,118.71,117.03,117.39,1575000
ADRA,13 Mar 2018,35.22,35.22,35.22,35.22,200
ADRD,13 Mar 2018,23.45,23.45,23.12,23.14,17800
ADRE,13 Mar 2018,46.61,46.61,45.64,45.65,8200
ADRO,13 Mar 2018,9.15,9.925,8.5,8.8,1075100
ADRU,13 Mar 2018,22.55,22.56,22.54,22.54,1200
ADS,13 Mar 2018,237.97,237.97,229.9,232.63,885500
ADSK,13 Mar 2018,139.74,141.26,135.07,136,2308900
ADSW,13 Mar 2018,22.78,22.94,22.34,22.45,1404100
ADT,13 Mar 2018,10.65,10.8,10.53,10.54,3052600
ADTN,13 Mar 2018,16.5,16.9,16.45,16.65,848100
ADUS,13 Mar 2018,42.4,43.75,42.3,43.25,50600
ADVM,13 Mar 2018,6.85,7.4,6.7,6.95,1599300
ADX,13 Mar 2018,15.7,15.72,15.46,15.52,127700
ADXS,13 Mar 2018,1.78,1.96,1.75,1.95,4035500
ADXSW,13 Mar 2018,0.3,0.4,0.22,0.4,49900
AE,13 Mar 2018,44.9,44.91,42.26,42.26,5600
AEB,13 Mar 2018,24.72,24.74,24.61,24.73,8000
AED,13 Mar 2018,26.1,26.13,26.02,26.06,19500
AEE,13 Mar 2018,54.14,54.65,53.88,54.09,1602900
AEG,13 Mar 2018,6.9,6.92,6.79,6.8,1140500
AEGN,13 Mar 2018,23.29,23.6,22.93,22.98,99400
AEH,13 Mar 2018,25.99,25.99,25.92,25.95,167000
AEHR,13 Mar 2018,2.45,2.5,2.26,2.26,341100
AEIS,13 Mar 2018,71.29,72.43,70.05,70.25,409400
AEK,13 Mar 2018,26.6,26.74,26.5,26.51,108300
AEL,13 Mar 2018,33.01,33.1,32.155,32.23,451100
AEM,13 Mar 2018,39.58,39.8,39.23,39.51,1075500
AEMD,13 Mar 2018,1.71,1.76,1.65,1.67,110500
AEO,13 Mar 2018,19.7,19.87,19.44,19.47,5080500
AEP,13 Mar 2018,66.01,66.35,65.57,66.04,3006300
AER,13 Mar 2018,49.49,49.8,49.2,49.63,1470700
AERI,13 Mar 2018,59.3,59.7,57.65,57.95,246300
AES,13 Mar 2018,10.79,10.83,10.62,10.67,5786300
AET,13 Mar 2018,177.46,177.62,176.87,177.44,2333800
