price_date,close_price,dma_10,dma_50,dma_200,ema_diff,ema_macd_9,signalstrength1,ema_diff_5_35,ema_macd_5,signalstrength2
2012-11-01,596.54,615.671,657.584,587.881,-16.1434,-12.6132,-3.53021144866943,,,
2012-10-31,595.32,620.996,658.956,587.013,-15.3929,-11.7306,-3.66236400604248,-32.3774,-27.5174,-4.86004447937012
2012-10-26,604,624.94,660.012,586.127,-14.0878,-10.815,-3.27281665802002,-28.9801,-25.0874,-3.89267158508301
2012-10-25,609.54,627.511,660.658,585.205,-13.1002,-9.99674,-3.10347557067871,-26.561,-23.1411,-3.41990280151367
2012-10-24,616.83,629.367,661.084,584.26,-12.2129,-9.22088,-2.99200630187988,-24.3819,-21.4312,-2.95066452026367
2012-10-23,613.36,631.775,661.381,583.284,-11.6454,-8.47288,-3.17256641387939,-23.4203,-19.9559,-3.46438980102539
2012-10-22,634.03,634.024,661.714,582.316,-10.3979,-7.67975,-2.71814012527466,-19.673,-18.2237,-1.44924163818359
2012-10-19,609.84,634.438,661.468,581.249,-10.7587,-7.00021,-3.7584547996521,-22.2619,-17.4991,-4.76280403137207
2012-10-18,632.64,638.713,661.685,580.281,-8.59991,-6.06059,-2.53932476043701,-15.0468,-15.1177,0.0709190368652344
2012-10-17,644.61,642.129,661.377,579.176,-8.04059,-5.42576,-2.614830493927,-13.2042,-15.1532,1.9490385055542
2012-10-16,649.79,644.813,660.85,578.001,-8.42944,-4.77205,-3.657395362854,-15.1705,-16.1277,0.957168579101562
2012-10-15,634.76,645.965,660.252,576.768,-9.33051,-3.8577,-5.47280335426331,-20.1321,-16.6063,-3.52584266662598
2012-10-12,629.71,648.428,659.818,575.611,-8.81366,-2.4895,-6.32415795326233,-20.7883,-14.8434,-5.94483852386475
2012-10-11,628.1,652.167,659.328,574.467,-7.51166,-0.908462,-6.603196144104,-18.9926,-11.871,-7.12161827087402
2012-10-10,640.91,657.489,658.85,573.351,-5.57715,0.742338,-6.31948643922806,-14.871,-8.3102,-6.56082916259766
2012-10-09,635.85,659.916,658.195,572.154,-4.33167,2.32221,-6.65387511253357,-13.5389,-5.02981,-8.50913190841675
2012-10-08,638.17,663.685,657.328,570.959,-2.16321,3.98568,-6.14888596534729,-8.79272,-0.775269,-8.01745527982712
2012-10-05,652.59,668.947,656.217,569.742,0.400391,5.5229,-5.12251138687134,-2.02039,3.23345,-5.25383830070496
