price_date,close_price,high_price_14,low_price_14, stc_osci_14, ema_3_stc_osci_14
2012-10-15,634.76,681.32,628.1,12.5141,,
2012-10-12,629.71,681.32,628.1,3.02526,,
2012-10-11,628.1,690.79,628.1,-9.06738e-13,,
2012-10-10,640.91,700.09,635.85,7.8767,,
2012-10-09,635.85,700.09,635.85,-7.07888e-13,,
2012-10-08,638.17,702.1,638.17,3.5566e-13,,
2012-10-05,652.59,702.1,652.59,-4.59248e-13,,
2012-10-04,666.8,702.1,659.39,17.3495,,
2012-10-03,671.45,702.1,659.39,28.237,,
2012-10-02,661.31,702.1,659.39,4.4954,,
2012-10-01,659.39,702.1,659.39,-1.33092e-12,,
2012-09-28,667.1,702.1,660.59,15.6829,,
2012-09-27,681.32,702.1,660.59,49.9398,,
2012-09-26,665.18,702.1,660.59,11.0575,,
2012-09-25,673.54,702.1,660.59,31.1972,,
2012-09-24,690.79,702.1,660.59,72.7535,,
2012-09-21,700.09,702.1,660.59,95.1579,,
2012-09-20,698.7,702.1,660.59,91.8093,,
2012-09-19,702.1,702.1,660.59,100,,
2012-09-18,701.91,701.91,660.59,100,,
2012-09-17,699.78,699.78,660.59,100,,
2012-09-14,691.28,691.28,660.59,100,,
2012-09-13,682.98,682.98,660.59,100,,
2012-09-12,669.79,680.44,660.59,46.3474,,
2012-09-11,660.59,680.44,660.59,-1.14546e-12,,
2012-09-10,662.74,680.44,656.06,27.3995,,
2012-09-07,680.44,680.44,656.06,100,,
2012-09-06,676.27,676.27,648.11,100,,
2012-09-05,670.23,675.68,636.34,86.1464,,
2012-09-04,674.97,675.68,630.83,98.4169,,
2012-08-31,665.24,675.68,630.83,76.7224,,
2012-08-30,663.87,675.68,630,74.1462,,
2012-08-29,673.47,675.68,621.7,95.9058,,
2012-08-28,674.8,675.68,620.73,98.3985,,
2012-08-27,675.68,675.68,617.21,100,,
2012-08-24,663.22,668.87,617.21,89.063,,
2012-08-23,662.63,668.87,617.21,87.921,,
2012-08-22,668.87,668.87,613.07,100,,
2012-08-21,656.06,665.15,605.19,84.8399,,
2012-08-20,665.15,665.15,604.22,100,,
2012-08-17,648.11,648.11,604.22,100,,
2012-08-16,636.34,636.34,592.49,100,,
2012-08-15,630.83,631.69,582.66,98.246,,
2012-08-14,631.69,631.69,572.42,100,,
2012-08-13,630,630,572.42,100,,
2012-08-10,621.7,621.7,572.42,100,,
2012-08-09,620.73,620.73,572.42,100,,
2012-08-08,617.21,619.89,572.42,94.3543,,
2012-08-07,618.26,619.89,572.42,96.5662,,
2012-08-06,619.89,619.89,572.42,100,,
2012-08-03,613.07,613.07,572.42,100,,
2012-08-02,605.19,611.69,572.42,83.4479,,
2012-08-01,604.22,611.69,572.42,80.9778,,
2012-07-31,608.15,611.69,572.42,90.9855,,
2012-07-30,592.49,611.69,572.42,51.1077,,
2012-07-27,582.66,611.69,572.42,26.0758,,
2012-07-26,572.42,611.69,572.42,5.79001e-13,,
2012-07-25,572.51,611.69,572.51,0,,
2012-07-24,598.35,611.69,596.34,13.0941,,
2012-07-23,601.25,611.69,596.34,31.9868,,
2012-07-20,601.72,611.69,589.99,54.0552,,
2012-07-19,611.69,611.69,581.5,100,,
2012-07-18,603.67,611.27,566.62,82.9787,,
2012-07-17,604.35,611.27,566.62,84.5016,,
2012-07-16,604.32,611.27,566.62,84.4345,,
2012-07-13,602.38,611.27,566.62,80.0896,,
2012-07-12,596.34,611.27,566.62,66.5622,,
2012-07-11,601.85,611.27,566.62,78.9025,,
2012-07-10,605.61,611.27,566.62,87.3236,,
2012-07-09,611.27,611.27,566.62,100,,
2012-07-06,603.29,607.33,566.62,90.0761,,
2012-07-05,607.33,607.33,566.62,100,,
2012-07-03,596.85,596.85,566.62,100,,
2012-07-02,589.99,589.99,566.62,100,,
2012-06-29,581.5,584.9,566.62,81.4003,,
2012-06-28,566.62,584.9,566.62,-3.10959e-12,,
2012-06-27,572.04,584.9,568.33,22.3896,,
2012-06-26,569.58,584.9,568.33,7.54375,,
2012-06-25,568.33,584.9,568.33,-1.3722e-12,,
2012-06-22,579.61,584.9,560.42,78.3904,,
2012-06-21,575.2,584.9,560.42,60.3758,,
2012-06-20,583.24,584.9,558.59,93.6905,,
2012-06-19,584.9,584.9,558.59,100,,
2012-06-18,583.28,583.28,558.59,100,,
2012-06-15,571.68,577.84,558.59,67.9998,,
2012-06-14,569.09,577.84,558.59,54.5455,,
2012-06-13,569.71,577.84,558.59,57.7662,,
2012-06-12,573.7,577.84,558.59,78.4934,,
2012-06-11,568.73,577.84,554.59,60.817,,
2012-06-08,577.84,577.84,554.59,100,,
2012-06-07,569.28,576.69,528.11,84.7469,,
2012-06-06,569.02,576.69,527.85,84.2957,,
2012-06-05,560.42,576.69,527.85,66.6871,,
2012-06-04,561.88,576.69,527.85,69.6765,,
2012-06-01,558.59,576.69,527.85,62.9403,,
2012-05-31,575.26,576.69,527.85,97.0721,,
2012-05-30,576.69,576.69,527.85,100,,
2012-05-29,569.82,569.82,527.85,100,,
2012-05-25,559.89,568.12,527.85,79.563,,
2012-05-24,562.9,568.12,527.85,87.0376,,
2012-05-23,568.12,568.12,527.85,100,,
2012-05-22,554.59,579.33,527.85,51.9426,,
2012-05-21,558.88,583.47,527.85,55.7893,,
2012-05-18,528.11,583.47,527.85,0.467475,,
2012-05-17,527.85,583.47,527.85,-1.022e-12,,
2012-05-16,543.75,600.42,543.75,0,,
2012-05-15,550.81,605.1,550.81,-4.18813e-13,,
2012-05-14,555.83,607.39,555.83,-4.40989e-13,,
2012-05-11,564.29,607.39,557.88,12.9468,,
2012-05-10,568.08,607.39,557.88,20.6019,,
2012-05-09,566.75,607.39,557.88,17.9156,,
2012-05-08,565.75,607.39,557.88,15.8958,,
2012-05-07,567.05,607.39,557.88,18.5215,,
2012-05-04,562.83,607.39,557.88,9.998,,
2012-05-03,579.33,607.39,557.88,43.3246,,
2012-05-02,583.47,607.39,557.88,51.6864,,
2012-05-01,579.64,620.11,557.88,34.9671,,
2012-04-30,581.48,623.52,557.88,35.9536,,
2012-04-27,600.42,625.75,557.88,62.6786,,
2012-04-26,605.1,633.51,557.88,62.4355,,
2012-04-25,607.39,633.51,557.88,65.4634,,
2012-04-24,557.88,633.51,557.88,7.51599e-13,,
2012-04-23,569.26,633.51,569.26,0,,
2012-04-20,570.53,633.51,570.53,0,,
2012-04-19,584.93,633.51,577.65,13.0325,,
2012-04-18,605.74,633.51,577.65,50.2864,,
2012-04-17,607.09,633.51,577.65,52.7032,,
2012-04-16,577.65,633.51,577.65,1.01761e-12,,
2012-04-13,602.64,633.51,596.99,15.471,,
2012-04-12,620.11,633.51,593.5,66.5083,,
2012-04-11,623.52,633.51,593.5,75.0313,,
2012-04-10,625.75,633.51,593.5,80.6048,,
2012-04-09,633.51,633.51,593.5,100,,
2012-04-05,630.97,630.97,593.5,100,,
2012-04-04,621.64,626.63,583.07,88.5446,,
2012-04-03,626.63,626.63,583.06,100,,
2012-04-02,615.99,615.99,583.06,100,,
2012-03-30,596.99,614.98,565.67,63.5165,,
2012-03-29,607.25,614.98,549.64,88.1696,,
2012-03-28,614.98,614.98,542.84,100,,
2012-03-27,611.85,611.85,539.67,100,,
2012-03-26,604.39,604.39,528.42,100,,
2012-03-23,593.5,603.37,527.99,86.9063,,
2012-03-22,596.78,603.37,527.99,91.2577,,
2012-03-21,599.92,603.37,527.99,95.4232,,
2012-03-20,603.37,603.37,527.99,100,,
2012-03-19,598.53,598.53,527.99,100,,
2012-03-16,583.07,587.06,527.99,93.2453,,
2012-03-15,583.06,587.06,523.51,93.7057,,
2012-03-14,587.06,587.06,520.18,100,,
2012-03-13,565.67,565.67,514.18,100,,
2012-03-12,549.64,549.64,510.85,100,,
2012-03-09,542.84,542.85,510.85,99.9689,,
2012-03-08,539.67,542.85,499.97,92.584,,
2012-03-07,528.42,542.85,499.97,66.3479,,
2012-03-06,527.99,542.85,495.54,68.5902,,
2012-03-05,530.88,542.85,495.54,74.6988,,
2012-03-02,542.85,542.85,495.54,100,,
2012-03-01,542.14,542.14,491.31,100,,
2012-02-29,540.12,540.12,491.06,100,,
2012-02-28,533.12,533.12,474.64,100,,
2012-02-27,523.51,523.51,466.83,100,,
2012-02-24,520.18,520.18,461.99,100,,
2012-02-23,514.18,514.18,457.71,100,,
2012-02-22,510.85,512.65,453.17,96.9737,,
2012-02-21,512.65,512.65,453.17,100,,
