21,ABFS,Arkansas Best Corporation ,Services,Trucking
22,ABG,Asbury Automotive Group Inc Com ,Services,Auto Dealerships
37,ACE,Ace Limited Common ,Financial,Property & Casualty Insurance
41,ACGL,Arch Capital Group Ltd. ,Financial,Property & Casualty Insurance
96,AET,Aetna Inc. Common ,Healthcare,Health Care Plans
104,AFCE,AFC Enterprises Inc. ,Services,Restaurants
123,AGU,Agrium Inc. Common ,Basic Materials,Agricultural Chemicals
126,AH,Accretive Health Inc. Common S ,Services,Management Services
151,AKS,AK Steel Holding Corporation Co ,Basic Materials,Steel & Iron
197,AMGN,Amgen Inc. ,Healthcare,Biotechnology
226,ANCI,American Caresource Holdings In ,Healthcare,Specialized Health Services
325,ASTI,Ascent Solar Technologies Inc. ,Technology,Semiconductor - Specialized
351,ATRM,Aetrium Incorporated ,Technology,Semiconductor Equipment & Materials
356,ATVI,Activision Blizzard Inc ,Technology,Multimedia & Graphics Software
363,AUO,AU Optronics Corp American Depo ,Technology,Semiconductor - Broad Line
384,AWC,Alumina Ltd American Depositary ,Basic Materials,Aluminum
392,AXK,Accelr8 Technology Corporation  ,Healthcare,Diagnostic Substances
409,BA,Boeing Company (The) Common Sto ,Industrial Goods,Aerospace/Defense Products & Services
4125,BAL, iPath DJ-UBS Cotton Subindex To ,N/A,N/A
430,BBL,BHP Billiton plc Sponsored ADR ,Basic Materials,Industrial Metals & Minerals
441,BCA,Corpbanca Sponsored Reg S GDR r ,Financial,Foreign Regional Banks
4138,BCOM, B Communications Ltd. ,Technology,Diversified Communication Services
466,BERK,Berkshire Bancorp Inc. ,Financial,Regional - Northeast Banks
524,BMR,Biomed Realty Trust Common Stoc ,Financial,REIT - Industrial
580,BSI,Alon Holdings - Blue Square Isr ,Services,Department Stores
620,C,Citigroup Inc. Common ,Financial,Money Center Banks
4237,CAF, Morgan Stanley China A Share Fu ,N/A,N/A
637,CAK,CAMAC Energy Inc. ,Basic Materials,Independent Oil & Gas
665,CB,Chubb Corporation (The) Common  ,Financial,Property & Casualty Insurance
689,CBRX,Columbia Laboratories Inc. ,Healthcare,Drug Delivery
717,CCSC,Country Style Cooking Restauran ,Services,Restaurants
751,CFBK,Central Federal Corporation ,Financial,Savings & Loans
763,CGI,Celadon Group Inc. Common Stoc ,Services,Trucking
779,CHG,CH Energy Group Inc. Common St ,Utilities,Diversified Utilities
10140,CHIM,Global X China Materials ETF,Global Equity ETF,
10136,CHIQ,Global X China Consumer ETF,Global Equity ETF,
782,CHK,Chesapeake Energy Corporation C ,Basic Materials,Independent Oil & Gas
4268,CHKR, Chesapeake Granite Wash Trust C ,Basic Materials,Independent Oil & Gas
789,CHNR,China Natural Resources Inc. ,Basic Materials,Industrial Metals & Minerals
799,CHYR,Chyron Corporation ,Technology,Multimedia & Graphics Software
820,CKP,Checkpoint Systms Inc. Common  ,Services,Security & Protection Services
850,CMC,Commercial Metals Company Commo ,Basic Materials,Steel & Iron
861,CMO,Capstead Mortgage Corporation C ,Financial,REIT - Diversified
4297,COW, iPath Dow Jones UBS Livestock T ,N/A,N/A
980,CRWN,Crown Media Holdings Inc. ,Services,CATV Systems
1011,CTB,Cooper Tire & Rubber Company Co ,Consumer Goods,Rubber & Plastics
4325,CUBA, The Herzfeld Caribbean Basin Fu ,Financial,Closed-End Fund - Foreign
1040,CVC,Cablevision Systems Corporation ,Services,CATV Systems
4334,CWHO, CommonWealth REIT 5.75% Senior  ,N/A,N/A
4339,CYE, Blackrock Corporate High Yield  ,N/A,N/A
4341,CZR, Caesars Entertainment Corporati ,Services,Resorts & Casinos
1120,DECK,Deckers Outdoor Corporation ,Consumer Goods,Textile - Apparel Footwear & Accessories
1126,DELL,Dell Inc. ,Technology,Personal Computers
4367,DGICB, Donegal Group  Inc. ,Financial,Property & Casualty Insurance
1163,DLB,Dolby Laboratories Common ,Technology,Diversified Electronics
1192,DQ,DAQQ New Energy Corp. American  ,Technology,Semiconductor Equipment & Materials
1228,DVR,Cal Dive International Inc. Co ,Basic Materials,Oil & Gas Equipment & Services
1230,DWA,Dreamworks Animation SKG Inc. ,Services,Movie Production Theaters
10053,EAPS,ESG Shares Pax MSCI EAFE ESG Index ETF,Global Equity ETF,
1257,ECHO,Echo Global Logistics Inc. ,Services,Trucking
1261,ECT,ECA Marcellus Trust I Common Un ,Basic Materials,Oil & Gas Drilling & Exploration
4439,EDD, Morgan Stanley Emerging Markets ,N/A,N/A
10292,EMHY,iShares Emerging Markets High Yield Bond ETF,Fixed Income ETF,
1329,ENH,Endurance Specialty Holdings Lt ,Financial,Property & Casualty Insurance
10409,EPP,iShares MSCI Pacific Ex-Japan Index Fund ETF,Global Equity ETF,
1381,ESS,Essex Property Trust Inc. Comm ,Financial,REIT - Residential
1394,EVBN,Evans Bancorp Inc. Common Stoc ,Financial,Regional - Northeast Banks
10350,EWA,iShares MSCI Australia Index Fund ETF,Global Equity ETF,
10351,EWAS,iShares MSCI Australia Small Cap,Global Equity ETF,
4535,FBHS, Fortune Brands Home & Security  ,Consumer Goods,Home Furnishings & Fixtures
1444,FCCY,1st Constitution Bancorp (NJ) ,Financial,Regional - Northeast Banks
1447,FCFC,FirstCity Financial Corporation ,Financial,Mortgage Investment
10065,FDTS,First Trust Dev Mkts ex-US SC AlphaDEX ETF,Global Equity ETF,
1507,FLS,Flowserve Corporation Common St ,Industrial Goods,Diversified Machinery
1556,FSI,Flexible Solutions Internationa ,Basic Materials,Specialty Chemicals
1558,FSIN,Fushi Copperweld Inc. ,Industrial Goods,Industrial Electrical Equipment
1594,GAIN,Gladstone Investment Corporatio ,Financial,Diversified Investments
4635,GEP, General Elec Cap Corp Step-Up P ,N/A,N/A
1651,GIL,Gildan Activewear Inc. Class A ,Consumer Goods,Textile - Apparel Clothing
4648,GJD, Synthetic Fixed-Income Securiti ,N/A,N/A
1690,GNW,Genworth Financial Inc Common S ,Financial,Life Insurance
1704,GPR,GeoPetro Resources Co Common St ,Basic Materials,Major Integrated Oil & Gas
1727,GSH,Guangshen Railway Company Limit ,Services,Railroads
11058,GULF,WisdomTree Middle East Dividend ETF,Global Equity ETF,
4722,GWR, Genesee & Wyoming Inc. Class A  ,Services,Railroads
4747,HAYN, Haynes International  Inc. ,Basic Materials,Steel & Iron
4759,HBNK, Hampden Bancorp  Inc. ,Financial,Regional - Northeast Banks
4787,HEP, Holly Energy Partners  L.P. Com ,Basic Materials,Oil & Gas Pipelines
4808,HIG, Hartford Financial Services Gro ,Financial,Property & Casualty Insurance
4825,HJR, MS Structured Asset Corp. MS St ,N/A,N/A
4829,HKN, HKN  Inc. Common ,Basic Materials,Independent Oil & Gas
4845,HMSY, HMS Holdings Corp ,Services,Business Services
4854,HNW, Pioneer Diversified High Income ,N/A,N/A
