11063,AAL,American Airlines Group Inc. ,Services,Major Airlines
53,ACPW,Active Power Inc. ,Industrial Goods,Diversified Machinery
55,ACTS,Actions Semiconductor Co. Ltd. ,Technology,Semiconductor - Specialized
63,ADC,Agree Realty Corporation Common ,Financial,Property Management
66,ADGE,American DG Energy Inc. Common  ,Utilities,Electric Utilities
4056,AGF, DB Agriculture Long ETN DB Agri ,N/A,N/A
11079,AHH,N/A ,Financial,REIT - Diversified
149,AKR,Acadia Realty Trust Common Stoc ,Financial,Property Management
160,ALIM,Alimera Sciences Inc. ,Healthcare,Drug Manufacturers - Major
10143,AND,Global X FTSE Andean 40 ETF,Global Equity ETF,
234,ANIK,Anika Therapeutics Inc. ,Healthcare,Biotechnology
242,ANV,Allied Nevada Gold Corp Allied  ,Basic Materials,Gold
4092,ARC, American Reprographics Company  ,Technology,Application Software
275,ARCW,Arc Wireless Solutions Inc. ,Technology,Wireless Communications
282,ARII,American Railcar Industries In ,Services,Railroads
298,ARTNA,Artesian Resources Corporation ,Utilities,Water Utilities
308,ASBI,Ameriana Bancorp ,Financial,Savings & Loans
314,ASGN,On Assignment Inc. ,Services,Staffing & Outsourcing Services
322,ASRV,AmeriServ Financial Inc. ,Financial,Regional - Northeast Banks
323,ASTC,Astrotech Corporation ,Industrial Goods,Aerospace/Defense Products & Services
337,ATHN,athenahealth Inc. ,Services,Business Services
340,ATK,Alliant Techsystems Inc. Common ,Industrial Goods,Aerospace/Defense Products & Services
352,ATRO,Astronics Corporation ,Industrial Goods,Aerospace/Defense Products & Services
365,AUXL,Auxilium Pharmaceuticals Inc. ,Healthcare,Drug Related Products
11112,AWX,Avalon Holdings Corp. ,Industrial Goods,Waste Management
4126,BANC, First PacTrust Bancorp  Inc. ,Financial,Regional - Pacific Banks
4130,BBF, BlackRock Municipal Income Inve ,Financial,Closed-End Fund - Debt
4132,BBN, BlackRock Build America Bond Tr ,N/A,N/A
433,BBRG,Bravo Brio Restaurant Group In ,Services,Restaurants
442,BCBP,BCB Bancorp Inc. (NJ) ,Financial,Regional - Northeast Banks
4137,BCM, iPath Pure Beta Broad Commodity ,N/A,N/A
453,BDGE,Bridge Bancorp Inc. ,Financial,Regional - Northeast Banks
11124,BDL,Flanigans Enterprises Inc. ,Services,Specialty Eateries
457,BDX,Becton Dickinson and Company C ,Healthcare,Medical Instruments & Supplies
11127,BFAM,Bright Horizons Family Solutions Inc. ,Services,Personal Services
4156,BGMD, BG Medicine  Inc. ,Healthcare,Medical Laboratories & Research
4164,BHV, BlackRock Virginia Municipal Bo ,Financial,Closed-End Fund - Debt
501,BKD,Brookdale Senior Living Inc. Co ,Healthcare,Long-Term Care Facilities
4180,BLJ, Blackrock New Jersey Municipal  ,Financial,Closed-End Fund - Debt
515,BLKB,Blackbaud Inc. ,Technology,Business Software & Services
4181,BLMN, Bloomin' Brands  Inc. ,Services,Restaurants
11131,BLUE,bluebird bio Inc. ,Healthcare,Biotechnology
528,BMTC,Bryn Mawr Bank Corporation ,Financial,Regional - Northeast Banks
531,BNCL,Beneficial Mutual Bancorp Inc. ,Financial,Regional - Northeast Banks
538,BOCH,Bank of Commerce Holdings (CA) ,Financial,Regional - Pacific Banks
539,BODY,Body Central Corp. ,Services,Apparel Stores
4206,BQY, BlackRock S&P Quality Rankings  ,Financial,Closed-End Fund - Foreign
4030,BRK-A,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance
4029,BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance
10170,BSJE,Guggenheim BulletShares 2014 High Yield Corporate Bond ETF,Fixed Income ETF,
586,BT,BT Group plc Common ,Technology,Telecom Services - Foreign
593,BTU,Peabody Energy Corporation Comm ,Basic Materials,Industrial Metals & Minerals
635,CAH,Cardinal Health Inc. Common St ,Services,Drugs Wholesale
638,CAKE,The Cheesecake Factory Incorpor ,Services,Restaurants
4239,CANE, Teucrium Sugar Fund ETV ,N/A,N/A
663,CAW,CCA Industries Inc. Common Sto ,Consumer Goods,Personal Products
676,CBK,Christopher & Banks Corporation ,Services,Apparel Stores
688,CBRL,Cracker Barrel Old Country Stor ,Services,Restaurants
713,CCO,Clear Channel Outdoor Holdings ,Services,Marketing Services
715,CCRN,Cross Country Healthcare Inc. ,Services,Staffing & Outsourcing Services
732,CECO,Career Education Corporation ,Services,Education & Training Services
10291,CEMB,iShares Emerging Markets Corporate Bond ETF,Fixed Income ETF,
4259,CFD, Nuveen Diversified Commodity Fu ,N/A,N/A
756,CFN,CareFusion Corporation Common S ,Healthcare,Medical Instruments & Supplies
762,CGEN,Compugen Ltd. ,Healthcare,Biotechnology
4265,CHEF, The Chefs' Warehouse  Inc. ,Services,Food Wholesale
11159,CHMI,Cherry Hill Mortgage Investment Corporation ,Financial,REIT - Residential
11677,CHSCN,CHS  Inc. ,N/A,N/A
4275,CHY, Calamos Convertible and High In ,N/A,N/A
809,CIMT,Cimatron Limited ,Technology,Technical & System Software
826,CLCT,Collectors Universe Inc. ,Services,Business Services
836,CLMT,Calumet Specialty Products Part ,Basic Materials,Oil & Gas Refining & Marketing
11683,CMDT,iShares Dow Jones-UBS Roll Sel Cmdty ,N/A,N/A
11171,COBK,Colonial Financial Services Inc. ,Financial,Regional - Northeast Banks
910,COO,Cooper Companies Inc. (The) Co ,Healthcare,Medical Instruments & Supplies
4296,CORN, Teucrium Corn Fund ETV ,N/A,N/A
922,CPA,Copa Holdings S.A. Copa Holdin ,Services,Regional Airlines
926,CPGI,China Shengda Packaging Group  ,Consumer Goods,Packaging & Containers
933,CPLA,Capella Education Company ,Services,Education & Training Services
938,CPRX,Catalyst Pharmaceutical Partner ,Healthcare,Drugs - Generic
941,CPSS,Consumer Portfolio Services In ,Financial,Credit Services
11185,CSCB,Credit Suisse Commodity Benchmark ETN ,N/A,N/A
997,CSII,Cardiovascular Systems Inc. ,Healthcare,Medical Appliances & Equipment
4314,CSMN, Market Neutral Global Equity ET ,N/A,N/A
11699,CTF,Nuveen Long/Short Commodity Tot ,N/A,N/A
1026,CTP,CTPartners Executive Search Inc ,Services,Staffing & Outsourcing Services
11700,CTY,Qwest Corp. ,N/A,N/A
