12,AAWW,Atlas Air Worldwide Holdings ,Services,Air Services Other
13,AB,Allianceberstein Holding L.P.   ,Financial,Asset Management
4037,ACRX, AcelRx Pharmaceuticals  Inc. ,Healthcare,Drug Manufacturers - Major
10563,ADRA,PowerShares BLDRS Asia 50 ADR Index Fund ETF,US Equity ETF,
165,ALLB,Alliance Bancorp Inc. of Penns ,Financial,Regional - Northeast Banks
175,ALTE,Alterra Capital Holdings Limite ,Financial,Property & Casualty Insurance
4073,AMID, American Midstream Partners  LP ,Utilities,Gas Utilities
10488,AMPS,iShares Utilities Sector Bond ETF,Fixed Income ETF,
267,APSA,Alto Palermo S.A. ,Financial,Property Management
4101,ARY, Ares Capital Corporation 7.75%  ,N/A,N/A
4107,ASP, American Strategic Income Portf ,Financial,Closed-End Fund - Debt
11028,AUSE,WisdomTree Australia Dividend Fund ETF,Global Equity ETF,
4121,AXX, Alderon Iron Ore Corp. Ordinary ,Basic Materials,Industrial Metals & Minerals
522,BMJ,Birks & Mayors Inc. Common Stoc ,Services,Jewelry Stores
4199,BPK, Blackrock Municipal 2018 Term T ,Financial,Closed-End Fund - Debt
781,CHH,Choice Hotels International In ,Services,Lodging
4290,CMVT, Comverse Technology  Inc. ,Technology,Communication Equipment
902,COHR,Coherent Inc. ,Technology,Scientific & Technical Instruments
4309,CRRB, Carrollton Bancorp ,Financial,Regional - Mid-Atlantic Banks
978,CRUS,Cirrus Logic Inc. ,Technology,Semiconductor - Specialized
1037,CUZ,Cousins Properties Incorporated ,Financial,REIT - Diversified
1053,CVR,Chicago Rivet & Machine Co. Com ,Industrial Goods,Machine Tools & Accessories
1191,DPZ,Domino's Pizza Inc Common ,Services,Restaurants
4416,DTYS, iPath US Treasury 10 Yr Bear ET ,N/A,N/A
1249,EBMT,Eagle Bancorp Montana Inc. ,Financial,Regional - Pacific Banks
1265,EDAP,EDAP TMS S.A. ,Healthcare,Medical Appliances & Equipment
1281,EFII,Electronics for Imaging Inc. ,Technology,Computer Peripherals
4452,EIA, Eaton Vance California Municipa ,Financial,Closed-End Fund - Debt
1308,ELP,Companhia Paranaense de Energia ,Utilities,Electric Utilities
4486,EQM, EQT Midstream Partners  LP Comm ,Basic Materials,Major Integrated Oil & Gas
1373,ESEA,Euroseas Ltd. ,Services,Shipping
1413,EXL,Excel Trust Inc. Common ,Financial,REIT - Diversified
1453,FCTY,1st Century Bancshares Inc ,Financial,Regional - Pacific Banks
1464,FE,FirstEnergy Corporation Common  ,Utilities,Electric Utilities
1480,FFKY,First Financial Service Corpora ,Financial,Regional - Southeast Banks
10257,GBF,iShares Barclays Government/Credit Bond Fund ETF,Fixed Income ETF,
1605,GBX,Greenbrier Companies Inc. (The ,Services,Railroads
4624,GDF, Western Asset Global Partners I ,Financial,Closed-End Fund - Debt
1640,GGP,General Growth Properties Inc. ,Financial,REIT - Retail
1670,GLT,Glatfelter Common ,Consumer Goods,Paper & Paper Products
1677,GMET,GeoMet Inc. ,Basic Materials,Oil & Gas Drilling & Exploration
1731,GSL,Global Ship Lease Inc New Class ,Services,Shipping
4699,GSY, Guggenheim Enhanced Short Durat ,N/A,N/A
4700,GTAT, GT Advanced Technologies  Inc. ,Technology,Semiconductor - Specialized
4705,GTLS, Chart Industries  Inc. ,Industrial Goods,Metal Fabrication
4730,GYLD, Arrow Dow Jones Global Yield ET ,N/A,N/A
10002,HDGE,AdvisorShares Active Bear ETF,US Equity ETF,
4838,HMC, Honda Motor Company  Ltd. Commo ,Consumer Goods,Auto Manufacturers - Major
4862,HOMB, Home BancShares  Inc. ,Financial,Money Center Banks
4918,HTGZ, Hercules Technology Growth Capi ,N/A,N/A
10505,HYD,Market Vectors High Yield Municipal Index ETF,Fixed Income ETF,
10497,HYEM,Market Vectors Emer Mkts Hi Yld Bond ETF,Fixed Income ETF,
10903,HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF,Fixed Income ETF,
1756,INO,Inovio Pharmaceuticals Inc. Co ,Healthcare,Biotechnology
1757,INOC,Innotrac Corporation ,Services,Business Services
5065,IPB, Merrill Lynch & Co.  Inc. 6.051 ,N/A,N/A
1792,IRDM,Iridium Communications Inc ,Technology,Diversified Communication Services
5074,IROQ, IF Bancorp  Inc. ,Financial,Savings & Loans
1881,JSM,SLM Corporation ,NULL,NULL
1889,KAMN,Kaman Corporation Common ,Industrial Goods,Aerospace/Defense Products & Services
1902,KEG,Key Energy Services Inc. Commo ,Basic Materials,Oil & Gas Drilling & Exploration
1923,KID,Kid Brands Inc. ,Consumer Goods,Toys & Games
1957,KRG,Kite Realty Group Trust Common  ,Financial,REIT - Retail
5165,KSM, DSW Strategic Municiple Income  ,N/A,N/A
5168,KTH, Structures Products Cp 8% CorTS ,N/A,N/A
5170,KTP, Corts 7.625 Pfd Common ,N/A,N/A
1969,KUB,Kubota Corporation Common ,Industrial Goods,Diversified Machinery
1984,LAS,Lentuo International Inc. Ameri ,Services,Auto Dealerships
5181,LCNB, LCNB Corporation ,Financial,Regional - Mid-Atlantic Banks
2157,MCHX,Marchex Inc. ,Services,Marketing Services
2194,MEMS,MEMSIC Inc. ,Technology,Semiconductor - Specialized
2223,MGYR,Magyar Bancorp Inc. ,Financial,Regional - Northeast Banks
5254,MIDZ, Direxion Mid Cap Bear 3X Shares ,N/A,N/A
5256,MIN, MFS Intermediate Income Trust C ,Financial,Closed-End Fund - Debt
2243,MKTAY,Makita Corp. ,NULL,NULL
10476,MUB,iShares S&P National Municipal Bond Fund ETF,Fixed Income ETF,
10790,MZZ,ProShares UltraShort MidCap400 ETF,Commodity Based ETF,
