10334,AAIT,iShares MSCI AC Asia Information Tech ETF,Global Equity ETF,
10,AAU,Almaden Minerals Ltd. Ordinary ,Basic Materials,Industrial Metals & Minerals
28,ABTL,Autobytel Inc. ,Technology,Internet Information Providers
4031,ACCO, Acco Brands Corporation Common  ,Consumer Goods,Office Supplies
51,ACOM,Ancestry.com Inc. ,Technology,Internet Information Providers
80,AEC,Associated Estates Realty Corpo ,Financial,REIT - Residential
85,AEHR,Aehr Test Systems ,Technology,Semiconductor Equipment & Materials
92,AER,Aercap Holdings N.V. Ordinary S ,Industrial Goods,Aerospace/Defense - Major Diversified
114,AG,First Majestic Silver Corp. Ord ,Basic Materials,Silver
124,AGX,Argan Inc. Common ,Industrial Goods,Heavy Construction
132,AHT,Ashford Hospitality Trust Inc C ,Financial,REIT - Hotel/Motel
136,AIMC,Altra Holdings Inc. ,Industrial Goods,Industrial Electrical Equipment
4063,AJB, Safety First Trust Safety First ,N/A,N/A
154,ALCO,Alico Inc. ,Consumer Goods,Farm Products
182,ALX,Alexander's Inc. Common ,Financial,REIT - Retail
194,AME,AMETEK Inc. ,Industrial Goods,Industrial Electrical Equipment
246,AOL,AOL Inc. AOL Inc. Common ,Technology,Internet Information Providers
258,APH,Amphenol Corporation Common Sto ,Technology,Diversified Electronics
4090,APTS, Preferred Apartment Communities ,N/A,N/A
275,ARCW,Arc Wireless Solutions Inc. ,Technology,Wireless Communications
291,ARP,Atlas Resource Partners L.P. C ,Services,Business Services
359,AU,AngloGold Ashanti Ltd. Common S ,Basic Materials,Gold
363,AUO,AU Optronics Corp American Depo ,Technology,Semiconductor - Broad Line
373,AVEO,AVEO Pharmaceuticals Inc. ,Healthcare,Biotechnology
374,AVF,AMERICAN INTERNATIONAL GROUP I ,NULL,NULL
375,AVGO,Avago Technologies Limited ,Technology,Semiconductor - Broad Line
383,AVY,Avery Dennison Corporation Comm ,Industrial Goods,Diversified Machinery
389,AWRE,Aware Inc. ,Technology,Communication Equipment
394,AXN,Aoxing Pharmaceutical Company  ,Healthcare,Drug Manufacturers - Major
399,AXU,Alexco Resource Corp Common Sha ,Basic Materials,Nonmetallic Mineral Mining
4121,AXX, Alderon Iron Ore Corp. Ordinary ,Basic Materials,Industrial Metals & Minerals
406,AZPN,Aspen Technology Inc. ,Technology,Business Software & Services
4130,BBF, BlackRock Municipal Income Inve ,Financial,Closed-End Fund - Debt
451,BDC,Belden Inc Common ,Industrial Goods,Industrial Electrical Equipment
463,BELFA,Bel Fuse Inc. ,NULL,NULL
4161,BHD, Blackrock Strategic Bond Trust ,Financial,Closed-End Fund - Debt
4162,BHK, Blackrock Core Bond Trust Black ,Financial,Closed-End Fund - Debt
