34,ACAT,Arctic Cat Inc. ,Consumer Goods,Recreational Vehicles
4032,ACG, Alliancebernstein Income Fund ,Financial,Closed-End Fund - Debt
44,ACI,Arch Coal Inc. Common ,Basic Materials,Industrial Metals & Minerals
4035,ACP, Avenue Income Credit Strategies ,N/A,N/A
95,AES,The AES Corporation Common Stoc ,Utilities,Electric Utilities
112,AFQ,American Financial Group Inc.  ,NULL,NULL
135,AIM,Aerosonic Corporation Common St ,Industrial Goods,Aerospace/Defense Products & Services
199,AMKR,Amkor Technology Inc. ,Technology,Semiconductor - Integrated Circuits
220,AMX,America Movil S.A.B. de C.V. A ,Technology,Wireless Communications
289,ARO,Aeropostale Inc Common ,Services,Apparel Stores
320,ASPS,Altisource Portfolio Solutions  ,Financial,Mortgage Investment
322,ASRV,AmeriServ Financial Inc. ,Financial,Regional - Northeast Banks
333,ATC,ATC Venture Group Inc. ,Consumer Goods,Auto Parts
387,AWK,American Water Works Company I ,Utilities,Water Utilities
10338,AXEN,iShares MSCI ACWI ex US Energy Sector Index Fund (AXEN) ETF,Global Equity ETF,
10342,AXID,iShares MSCI ACWI ex US Industrials Sector Index Fund (AXID) ETF,Global Equity ETF,
422,BAS,Basic Energy Services Inc. Com ,Basic Materials,Oil & Gas Equipment & Services
436,BBVA,Banco Bilbao Vizcaya Argentaria ,Financial,Foreign Regional Banks
437,BBW,Build-A-Bear Workshop Inc. Com ,Services,Toy & Hobby Stores
4153,BFZ, BlackRock California Municipal  ,Financial,Closed-End Fund - Debt
480,BHE,Benchmark Electronics Inc. Com ,Technology,Printed Circuit Boards
4170,BKEP, Blueknight Energy Partners L.P. ,Basic Materials,Oil & Gas Pipelines
509,BKS,Barnes & Noble Inc. Common Sto ,Services,Specialty Retail Other
515,BLKB,Blackbaud Inc. ,Technology,Business Software & Services
4188,BNA, BlackRock Income Opportunity Tr ,Financial,Closed-End Fund - Debt
4209,BRP, Brookfield Residential Properti ,Financial,Real Estate Development
10172,BSJF,Guggenheim BulletShares 2015 High Yield Corporate Bond ETF,Fixed Income ETF,
626,CACC,Credit Acceptance Corporation ,Financial,Credit Services
650,CARV,Carver Bancorp Inc. ,Financial,Savings & Loans
654,CASM,CAS Medical Systems Inc. ,Healthcare,Medical Instruments & Supplies
667,CBAN,Colony Bankcorp Inc. ,Financial,Regional - Mid-Atlantic Banks
10862,CBND,SPDR Barclays Capital Issuer Scored Corporate Bond ETF,Fixed Income ETF,
701,CCG,Campus Crest Communities Inc.  ,Financial,REIT - Residential
702,CCH,COCA COLA HELLENIC BOTTLING CO  ,Consumer Goods,Beverages - Soft Drinks
768,CHA,China Telecom Corp Ltd ADS ,Technology,Telecom Services - Foreign
4265,CHEF, The Chefs' Warehouse  Inc. ,Services,Food Wholesale
781,CHH,Choice Hotels International In ,Services,Lodging
797,CHTR,Charter Communications Inc. ,Services,CATV Systems
798,CHU,China Unicom (Hong Kong) Ltd Co ,Technology,Wireless Communications
4280,CJES, C&J Energy Services  Inc. Commo ,Basic Materials,Oil & Gas Equipment & Services
827,CLD,Cloud Peak Energy Inc Common St ,Basic Materials,Industrial Metals & Minerals
830,CLF,Cliffs Natural Resources Inc Co ,Basic Materials,Steel & Iron
846,CLWR,Clearwire Corporation ,Technology,Wireless Communications
909,CONN,Conn's Inc. ,Services,Electronics Stores
935,CPN,Calpine Corporation Common Stoc ,Utilities,Electric Utilities
971,CROX,Crocs Inc. ,Consumer Goods,Textile - Apparel Footwear & Accessories
4312,CSI, Cutwater Select Income Fund ,N/A,N/A
10247,CSJ,iShares Barclays 1-3 Year Credit Bond Fund ETF,Fixed Income ETF,
1008,CSX,CSX Corporation Common ,Services,Railroads
4326,CUBE, CubeSmart Common Shares ,Financial,REIT - Industrial
10223,CUT,Guggenheim Timber ETF,Global Equity ETF,
4335,CWZ, Lehman ABS Corporation Common S ,N/A,N/A
4343,DATE, Jiayuan.com International Ltd. ,Technology,Internet Information Providers
4348,DBEF, db-X MSCI EAFE Currency Hedged  ,N/A,N/A
1109,DCM,NTT DOCOMO Inc American Deposi ,Technology,Telecom Services - Foreign
1118,DDS,Dillard's Inc. Common ,Services,Department Stores
1119,DE,Deere & Company Common ,Industrial Goods,Farm & Construction Machinery
1131,DEXO,Dex One Corporation Common Stoc ,Services,Marketing Services
1135,DFT,Dupont Fabros Technology Inc.  ,Financial,Property Management
4413,DTT, Deutsche Bank Cap Fdg Tr IX Gua ,N/A,N/A
1220,DUK,Duke Energy Corporation (Holdin ,Utilities,Electric Utilities
1255,ECA,Encana Corporation ,Basic Materials,Major Integrated Oil & Gas
1285,EGAS,Gas Natural Inc. Common ,Utilities,Gas Utilities
4459,ELA, Entergy Louisiana  LLC First Mo ,N/A,N/A
1318,EMITF,Elbit Imaging Ltd. ,NULL,NULL
1338,ENTR,Entropic Communications Inc. ,Technology,Semiconductor - Broad Line
1358,EQU,Equal Energy Ltd. Common Shares ,Basic Materials,Independent Oil & Gas
1382,ESSA,ESSA Bancorp Inc. ,Financial,Savings & Loans
1408,EXC,Exelon Corporation Common ,Utilities,Diversified Utilities
4525,FABK, First Advantage Bancorp ,Financial,Regional - Southeast Banks
4526,FAC, First Acceptance Corp ,Financial,Property & Casualty Insurance
1433,FBC,Flagstar Bancorp Inc. New Comm ,Financial,Savings & Loans
1435,FBMS,The First Bancshares Inc. ,Financial,Regional - Southeast Banks
1445,FCEL,FuelCell Energy Inc. ,Industrial Goods,Industrial Electrical Equipment
1480,FFKY,First Financial Service Corpora ,Financial,Regional - Southeast Banks
1499,FLEX,Flextronics International Ltd. ,Technology,Printed Circuit Boards
1508,FLT,FleetCor Technologies Inc. Com ,Services,Business Services
4587,FSL, Freescale Semiconductor  Ltd Co ,Technology,Semiconductor - Broad Line
1567,FTE,France Telecom S.A. Common Stoc ,Technology,Telecom Services - Foreign
1604,GBR,New Concept Energy Inc Common  ,Basic Materials,Independent Oil & Gas
4623,GCVRZ, Sanofi ,N/A,N/A
4626,GDO, Western Asset Global Corporate  ,N/A,N/A
1615,GDP,Goodrich Petroleum Corporation  ,Basic Materials,Independent Oil & Gas
1620,GENC,Gencor Industries Inc. ,Industrial Goods,Farm & Construction Machinery
1625,GEOY,GeoEye Inc. ,Technology,Information & Delivery Services
4655,GJV, Synthetic Fixed-Income Securiti ,N/A,N/A
4681,GRES, IQ ARB Global Resources ETF ,N/A,N/A
4685,GRP, Granite Real Estate Inc Common  ,Financial,Property Management
4721,GWF, Wells Fargo Capital VIII Gtd Tr ,N/A,N/A
4743,HAST, Hastings Entertainment  Inc. ,Services,Music & Video Stores
4792,HFBC, HopFed Bancorp  Inc. ,Financial,Savings & Loans
4796,HGG, HHGregg  Inc. Common ,Services,Electronics Stores
4800,HH, Hooper Holmes  Inc. Common Stoc ,Healthcare,Specialized Health Services
4828,HK, Halcon Resources Corporation Co ,Basic Materials,Oil & Gas Drilling & Exploration
4851,HNRG, Hallador Energy Company ,Basic Materials,Nonmetallic Mineral Mining
4871,HP, Helmerich & Payne  Inc. Common  ,Basic Materials,Oil & Gas Drilling & Exploration
10505,HYD,Market Vectors High Yield Municipal Index ETF,Fixed Income ETF,
10903,HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF,Fixed Income ETF,
4981,ICH, Investors Capital Holdings  Ltd ,Financial,Diversified Investments
10299,IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund ETF,Global Equity ETF,
1744,INAP,Internap Network Services Corpo ,Technology,Internet Software & Services
1753,ING,ING Group N.V. Common ,NULL,NULL
1765,INTT,inTest Corporation ,Technology,Semiconductor - Integrated Circuits
1806,ISIG,Insignia Systems Inc. ,Services,Marketing Services
1823,ITMN,InterMune Inc. ,Healthcare,Biotechnology
10267,IYT,iShares Dow Jones Transportation Average Index Fund ETF,US Equity ETF,
1852,JCP,J.C. Penney Company Inc. Holdi ,Services,Department Stores
1855,JDAS,JDA Software Group Inc. ,Technology,Business Software & Services
1868,JNPR,Juniper Networks Inc. Common S ,Technology,Networking & Communication Devices
5119,JOB, General Employment Enterprises  ,Services,Staffing & Outsourcing Services
5136,JWF, Wells Fargo Cap IX Tr Originate ,N/A,N/A
5139,JZK, Lehman ABS Corporation 7.00% Co ,N/A,N/A
1908,KEX,Kirby Corporation Common ,Services,Shipping
1949,KOOL,THERMOGENESIS Corp. ,Healthcare,Medical Appliances & Equipment
5163,KRJ, Structured Products Corp 8.10 C ,N/A,N/A
1961,KSS,Kohl's Corporation Common ,Services,Department Stores
2006,LEE,Lee Enterprises Incorporated C ,Services,Publishing - Newspapers
2009,LEN,Lennar Corporation Class A Comm ,Industrial Goods,Residential Construction
2024,LIME,Lime Energy Co. ,Services,Technical Services
2092,LTON,Linktone Ltd. ,Technology,Wireless Communications
2112,LYB,LyondellBasell Industries NV Or ,Basic Materials,Specialty Chemicals
5207,MAB, Eaton Vance Massachusetts Munic ,Financial,Closed-End Fund - Debt
2133,MAS,Masco Corporation Common ,Industrial Goods,General Building Materials
2198,MERU,Meru Networks Inc. ,Technology,Wireless Communications
2220,MGPI,MGP Ingredients Inc. ,Consumer Goods,Processed & Packaged Goods
2223,MGYR,Magyar Bancorp Inc. ,Financial,Regional - Northeast Banks
2267,MNOV,MediciNova Inc. ,Healthcare,Biotechnology
5303,MSJ, Morgan Stanley Cap Trust VI Cap ,N/A,N/A
2331,MTEX,Mannatech Incorporated ,Consumer Goods,Personal Products
10236,MUAC,iShares 2014 S&P AMT-Free Municipal Series ETF,Fixed Income ETF,
10238,MUAE,iShares 2016 S&P AMT-Free Municipal Series ETF,Fixed Income ETF,
2346,MUR,Murphy Oil Corporation Common S ,Basic Materials,Oil & Gas Refining & Marketing
2361,MXT,Maxcom Telecomunicaciones SAB d ,Technology,Wireless Communications
2371,NAII,Natural Alternatives Internatio ,Healthcare,Drug Related Products
2401,NDAQ,The NASDAQ OMX Group Inc. ,Financial,Diversified Investments
2422,NFEC,NF Energy Saving Corporation ,Industrial Goods,Industrial Equipment & Components
5389,NKG, Nuveen Georgia Dividend Advanta ,Financial,Closed-End Fund - Debt
2467,NOC,Northrop Grumman Corporation Co ,Industrial Goods,Aerospace/Defense - Major Diversified
10467,NUCL,iShares S&P Global Nuclear Energy Index Fund ETF,Global Equity ETF,
2517,NUS,Nu Skin Enterprises Inc. Commo ,Consumer Goods,Personal Products
2526,NVO,Novo Nordisk A/S Common ,Healthcare,Drug Manufacturers - Other
5462,NVX, Nuveen California Dividend Adva ,Financial,Closed-End Fund - Debt
2535,NWL,Newell Rubbermaid Inc. Common S ,Consumer Goods,Housewares & Accessories
2551,NYT,New York Times Company (The) Co ,Services,Publishing - Newspapers
2558,OBCI,Ocean Bio-Chem Inc. ,Consumer Goods,Cleaning Products
2559,OC,Owens Corning Inc Common ,Industrial Goods,General Building Materials
