40,ACFN,Acorn Energy Inc. ,Technology,Computer Peripherals
44,ACI,Arch Coal Inc. Common ,Basic Materials,Industrial Metals & Minerals
4035,ACP, Avenue Income Credit Strategies ,N/A,N/A
64,ADEP,Adept Technology Inc. ,Industrial Goods,Diversified Machinery
67,ADI,Analog Devices Inc. ,Technology,Semiconductor - Integrated Circuits
72,ADSK,Autodesk Inc. ,Technology,Technical & System Software
103,AFCB,Athens Bancshares Corporation ,Financial,Regional - Southeast Banks
136,AIMC,Altra Holdings Inc. ,Industrial Goods,Industrial Electrical Equipment
4065,AL, Air Lease Corporation Class A C ,Services,Rental & Leasing Services
165,ALLB,Alliance Bancorp Inc. of Penns ,Financial,Regional - Northeast Banks
280,ARI,Apollo Commercial Real Estate F ,Financial,REIT - Diversified
308,ASBI,Ameriana Bancorp ,Financial,Savings & Loans
353,ATSG,Air Transport Services Group I ,Services,Air Delivery & Freight Services
11027,AUNZ,WisdomTree Australia & New Zealand Debt Fund,Fixed Income ETF,
10549,BABZ,PIMCO Build America Bond Strategy Fund ETF,Fixed Income ETF,
4128,BANFP, BancFirst Corporation ,N/A,N/A
4150,BFLY, Bluefly  Inc. ,Services,Specialty Retail  Other
4151,BFO, Blackrock Florida Municipal 202 ,Financial,Closed-End Fund - Debt
4162,BHK, Blackrock Core Bond Trust Black ,Financial,Closed-End Fund - Debt
4173,BKN, BlackRock Investment Quality Mu ,Financial,Closed-End Fund - Debt
507,BKOR,Oak Ridge Financial Services I ,Financial,Regional - Mid-Atlantic Banks
4177,BKW, Burger King Worldwide Inc. Comm ,Services,Restaurants
522,BMJ,Birks & Mayors Inc. Common Stoc ,Services,Jewelry Stores
4197,BOTJ, Bank of the James Financial Gro ,Financial,Regional - Mid-Atlantic Banks
4211,BSD, BlackRock Strategic Municipal T ,Financial,Closed-End Fund - Debt
578,BSET,Bassett Furniture Industries I ,Consumer Goods,Home Furnishings & Fixtures
617,BYI,Bally Technologies Inc. Common  ,Technology,Application Software
4232,BYM, Blackrock Municipal Income Qual ,N/A,N/A
643,CALX,Calix Inc Common ,Technology,Communication Equipment
4241,CARB, Carbonite  Inc. ,Services,Business Services
654,CASM,CAS Medical Systems Inc. ,Healthcare,Medical Instruments & Supplies
656,CASY,Caseys General Stores Inc. ,Services,Grocery Stores
657,CAT,Caterpillar Inc. Common ,Conglomerates,Conglomerates
666,CBAK,China BAK Battery Inc. ,Industrial Goods,Industrial Electrical Equipment
707,CCK,Crown Holdings Inc. ,Consumer Goods,Packaging & Containers
718,CCU,Compania Cervecerias Unidas S. ,Consumer Goods,Beverages - Brewers
4260,CFFN, Capitol Federal Financial  Inc. ,Financial,Savings & Loans
781,CHH,Choice Hotels International In ,Services,Lodging
785,CHKP,Check Point Software Technologi ,Technology,Security Software & Services
821,CKSW,ClickSoftware Technologies Ltd. ,Technology,Internet Software & Services
827,CLD,Cloud Peak Energy Inc Common St ,Basic Materials,Industrial Metals & Minerals
844,CLUB,Town Sports International Holdi ,Services,Sporting Activities
852,CMCSA,Comcast Corporation ,Services,CATV Systems
853,CMCSK,Comcast Corporation ,NULL,NULL
10819,COBO,ProShares USD Covered Bond,Commodity Based ETF,
895,CODE,Spansion Inc Common ,Technology,Semiconductor- Memory Chips
898,COG,Cabot Oil & Gas Corporation Com ,Basic Materials,Independent Oil & Gas
907,COLM,Columbia Sportswear Company ,Consumer Goods,Textile - Apparel Clothing
911,COOL,Majesco Entertainment Company ,Technology,Multimedia & Graphics Software
