7,AAON,AAON Inc. ,Industrial Goods,General Building Materials
9,AAPL,Apple Inc. ,Technology,Personal Computers
12,AAWW,Atlas Air Worldwide Holdings ,Services,Air Services Other
13,AB,Allianceberstein Holding L.P.   ,Financial,Asset Management
16,ABB,ABB Ltd Common ,Industrial Goods,Industrial Electrical Equipment
18,ABCB,Ameris Bancorp ,Financial,Regional - Mid-Atlantic Banks
20,ABCO,The Advisory Board Company ,Services,Business Services
27,ABT,Abbott Laboratories Common Stoc ,Healthcare,Drug Manufacturers - Major
4035,ACP, Avenue Income Credit Strategies ,N/A,N/A
56,ACU,Acme United Corporation. Common ,Consumer Goods,Housewares & Accessories
58,ACW,Accuride Corporation Common Sto ,Consumer Goods,Trucks & Other Vehicles
61,ADAT,Authentidate Holding Corp. ,Technology,Healthcare Information Services
10563,ADRA,PowerShares BLDRS Asia 50 ADR Index Fund ETF,US Equity ETF,
4041,ADZ, DB Agriculture Short ETN DB Agr ,N/A,N/A
78,AE,Adams Resources & Energy Inc.  ,Basic Materials,Oil & Gas Refining & Marketing
10535,AFK,Market Vectors-Africa Index ETF,Global Equity ETF,
4053,AGA, DB Agriculture Short ETN DB Agr ,N/A,N/A
11077,AGI,Alamos Gold Inc. ,Basic Materials,Gold
4058,AGLS, Accuvest Global Long Short ETF ,N/A,N/A
118,AGM,Federal Agricultural Mortgage C ,Financial,Credit Services
125,AGYS,Agilysys Inc. ,Technology,Application Software
130,AHPI,Allied Healthcare Products Inc ,Healthcare,Medical Appliances & Equipment
140,AIR,AAR Corp. Common ,Industrial Goods,Aerospace/Defense Products & Services
147,AJG,Arthur J. Gallagher & Co. Commo ,Financial,Insurance Brokers
180,ALV,Autoliv Inc. Common ,Consumer Goods,Auto Parts
11088,AMBC,Ambac Financial Group Inc. ,Financial,Surety & Title Insurance
4072,AMCX, AMC Networks Inc. ,Services,CATV Systems
193,AMD,Advanced Micro Devices Inc. Co ,Technology,Semiconductor - Broad Line
196,AMG,Affiliated Managers Group Inc. ,Financial,Asset Management
213,AMSC,American Superconductor Corpora ,Technology,Diversified Electronics
217,AMT,American Tower Corporation (REI ,Technology,Diversified Communication Services
253,APAGF,Apco Oil and Gas International  ,Basic Materials,Independent Oil & Gas
4087,APB, Asia Pacific Fund  Inc. (The) ,Financial,Closed-End Fund - Foreign
259,API,Advanced Photonix Inc. Class A ,Technology,Semiconductor - Integrated Circuits
268,APT,Alpha Pro Tech Ltd. Common Sto ,Healthcare,Medical Appliances & Equipment
269,APU,AmeriGas Partners L.P. Common  ,Utilities,Gas Utilities
11628,ARCB,ArcBest Corporation ,N/A,N/A
277,ARE,Alexandria Real Estate Equities ,Financial,REIT - Office
294,ARRY,Array BioPharma Inc. ,Healthcare,Biotechnology
11105,ATHL,Athlon Energy Inc. ,Basic Materials,Independent Oil & Gas
4110,ATNY, API Technologies Corp. ,Technology,Semiconductor - Broad Line
346,ATO,Atmos Energy Corporation Common ,Utilities,Gas Utilities
11109,ATOS,Atossa Genetics Inc. ,Healthcare,Diagnostic Substances
354,ATU,Actuant Corporation Common Stoc ,Industrial Goods,Diversified Machinery
356,ATVI,Activision Blizzard Inc ,Technology,Multimedia & Graphics Software
367,AV,Aviva plc Unsponsored ADR (UK) ,Financial,Life Insurance
372,AVD,American Vanguard Corporation C ,Basic Materials,Agricultural Chemicals
378,AVNR,Avanir Pharmaceuticals Inc. ,Healthcare,Drugs - Generic
382,AVX,AVX Corporation Common ,Technology,Diversified Electronics
391,AXE,Anixter International Inc. Comm ,Services,Industrial Equipment Wholesale
10333,AXJS,iShares MSCI AC Asia ex Japan Small Cap,Global Equity ETF,
11637,AZIA,Global X Central Asia and Mongolia ETF ,N/A,N/A
407,AZZ,AZZ Incorporated Common ,Industrial Goods,Metal Fabrication
410,BAA,BANRO CORPORATION Ordinary Shar ,Basic Materials,Gold
434,BBSI,Barrett Business Services Inc. ,Services,Staffing & Outsourcing Services
443,BCE,BCE Inc. Common ,Technology,Telecom Services - Domestic
445,BCO,Brinks Company (The) Common Sto ,Services,Security & Protection Services
4139,BCOR, Blucora  Inc. ,Technology,Internet Information Providers
466,BERK,Berkshire Bancorp Inc. ,Financial,Regional - Northeast Banks
11641,BFOR,Barron's 400 ETF ,N/A,N/A
10798,BIS,ProShares UltraShort Nasdaq Biotechnology ETF,Commodity Based ETF,
4170,BKEP, Blueknight Energy Partners L.P. ,Basic Materials,Oil & Gas Pipelines
10606,BKLN,PowerShares Exchange-Traded Fund ETF,Fixed Income ETF,
513,BLDR,Builders FirstSource Inc. ,Services,Home Improvement Stores
11645,BLFS,BioLife Solutions Inc. ,Healthcare,Medical Appliances & Equipment
4028,BLK,BlackRock Inc,Financial,Asset Management
548,BORN,China New Borun Corporation Ame ,Consumer Goods,Beverages - Brewers
553,BPFH,Boston Private Financial Holdin ,Financial,Regional - Northeast Banks
11134,BPFHP,Boston Private Financial Holdings Inc. ,N/A,N/A
558,BPOP,Popular Inc. ,Financial,Foreign Regional Banks
4205,BQR, BlackRock Ecosolutions Investme ,N/A,N/A
561,BR,Broadridge Financial Solutions ,Technology,Information & Delivery Services
10171,BSCF,Guggenheim BulletShares 2015 Corporate Bond ETF,Fixed Income ETF,
578,BSET,Bassett Furniture Industries I ,Consumer Goods,Home Furnishings & Fixtures
581,BSPM,Biostar Pharmaceuticals Inc. ,Healthcare,Drug Manufacturers - Major
588,BTE,Baytex Energy Corp ,Basic Materials,Independent Oil & Gas
602,BWA,BorgWarner Inc. Common ,Consumer Goods,Auto Parts
603,BWC,Babcock Common ,Industrial Goods,Diversified Machinery
609,BWS,Brown Shoe Company Inc. Common ,Services,Specialty Retail Other
621,CA,CA Inc. ,Technology,Application Software
628,CACI,CACI International Inc. Class  ,Services,Technical Services
633,CAG,ConAgra Foods Inc. Common Stoc ,Consumer Goods,Processed & Packaged Goods
4241,CARB, Carbonite  Inc. ,Services,Business Services
11148,CART,Carolina Trust Bank ,Financial,Regional - Mid-Atlantic Banks
654,CASM,CAS Medical Systems Inc. ,Healthcare,Medical Instruments & Supplies
674,CBI,Chicago Bridge & Iron Company N ,Industrial Goods,General Contractors
678,CBL,CBL & Associates Properties In ,Financial,REIT - Retail
683,CBOE,CBOE Holdings Inc. ,Financial,Diversified Investments
686,CBPO,China Biologic Products Inc. ,Healthcare,Biotechnology
687,CBR,Ciber Inc. Common ,Technology,Information Technology Services
694,CBU,Community Bank System Inc. Com ,Financial,Regional - Northeast Banks
709,CCM,Concord Medical Services Holdin ,Healthcare,Hospitals
714,CCOI,Cogent Communications Group In ,Technology,Diversified Communication Services
721,CDI,CDI Corporation Common ,Services,Staffing & Outsourcing Services
4248,CEB, Corporate Executive Board Compa ,Services,Management Services
731,CECE,CECO Environmental Corp. ,Industrial Goods,Pollution & Treatment Controls
11154,CEQP,Crestwood Equity Partners LP ,Basic Materials,Oil & Gas Pipelines
747,CERS,Cerus Corporation ,Healthcare,Biotechnology
749,CEVA,CEVA Inc. ,Technology,Semiconductor - Specialized
753,CFFI,C&F Financial Corporation ,Financial,Regional - Mid-Atlantic Banks
757,CFNB,California First National Banco ,Financial,Regional - Pacific Banks
759,CFR,Cullen/Frost Bankers Inc. Comm ,Financial,Regional - Southwest  Banks
760,CFX,Colfax Corporation Common ,Industrial Goods,Diversified Machinery
