10334,AAIT,iShares MSCI AC Asia Information Tech ETF,Global Equity ETF,
15,ABAX,ABAXIS Inc. ,Healthcare,Diagnostic Substances
4036,ACRE, Ares Commercial Real Estate Cor ,Financial,REIT - Diversified
57,ACUR,Acura Pharmaceuticals Inc. ,Healthcare,Drug Delivery
58,ACW,Accuride Corporation Common Sto ,Consumer Goods,Trucks & Other Vehicles
82,AEE,Ameren Corporation Common ,Utilities,Diversified Utilities
4042,AEF, Aegon NV Perpetual Cap Securiti ,N/A,N/A
83,AEG,AEGON N.V. Common ,NULL,NULL
4045,AEK, Aegon NV 8.00% Non-Cumulative S ,N/A,N/A
101,AF,Astoria Financial Corporation C ,Financial,Savings & Loans
120,AGNC,American Capital Agency Corp. ,Financial,REIT - Residential
126,AH,Accretive Health Inc. Common S ,Services,Management Services
138,AINV,Apollo Investment Corporation ,Financial,Diversified Investments
143,AIT,Applied Industrial Technologies ,Services,Industrial Equipment Wholesale
196,AMG,Affiliated Managers Group Inc. ,Financial,Asset Management
230,ANF,Abercrombie & Fitch Company Com ,Services,Apparel Stores
233,ANH,Anworth Mortgage Asset Corporat ,Financial,REIT - Diversified
247,AON,Aon plc Class A Ordinary Shares ,Financial,Insurance Brokers
253,APAGF,Apco Oil and Gas International  ,Basic Materials,Independent Oil & Gas
4089,APO, Apollo Global Management  LLC C ,Financial,Diversified Investments
271,ARAY,Accuray Incorporated ,Healthcare,Medical Appliances & Equipment
274,ARCI,Appliance Recycling Centers of  ,Consumer Goods,Appliances
275,ARCW,Arc Wireless Solutions Inc. ,Technology,Wireless Communications
289,ARO,Aeropostale Inc Common ,Services,Apparel Stores
291,ARP,Atlas Resource Partners L.P. C ,Services,Business Services
4099,ARR, ARMOUR Residential REIT  Inc. ,N/A,N/A
312,ASFI,Asta Funding Inc. ,Services,Business Services
328,ASX,Advanced Semiconductor Engineer ,Technology,Semiconductor Equipment & Materials
350,ATRI,ATRION Corporation ,Healthcare,Medical Instruments & Supplies
354,ATU,Actuant Corporation Common Stoc ,Industrial Goods,Diversified Machinery
356,ATVI,Activision Blizzard Inc ,Technology,Multimedia & Graphics Software
363,AUO,AU Optronics Corp American Depo ,Technology,Semiconductor - Broad Line
366,AUY,Yamana Gold Inc. Ordinary Shar ,Basic Materials,Gold
374,AVF,AMERICAN INTERNATIONAL GROUP I ,NULL,NULL
384,AWC,Alumina Ltd American Depositary ,Basic Materials,Aluminum
10343,AXIT,iShares MSCI ACWI ex US Information Technology Sector Index Fund (AXIT) ETF,Global Equity ETF,
10344,AXMT,iShares MSCI ACWI ex US Materials Sector Index Fund (AXMT) ETF,Global Equity ETF,
401,AYR,Aircastle Limited Common ,Services,Rental & Leasing Services
405,AZO,AutoZone Inc. Common ,Services,Auto Parts Stores
406,AZPN,Aspen Technology Inc. ,Technology,Business Software & Services
414,BAH,Booz Allen Hamilton Holding Cor ,Services,Management Services
424,BAX,Baxter International Inc. Commo ,Healthcare,Medical Instruments & Supplies
427,BBEP,BreitBurn Energy Partners L.P. ,Basic Materials,Oil & Gas Drilling & Exploration
