112,AFQ,American Financial Group Inc.  ,NULL,NULL
114,AG,First Majestic Silver Corp. Ord ,Basic Materials,Silver
173,ALRN,American Learning Corporation ,Services,Education & Training Services
179,ALU,Alcatel-Lucent Common ,Technology,Communication Equipment
4107,ASP, American Strategic Income Portf ,Financial,Closed-End Fund - Debt
399,AXU,Alexco Resource Corp Common Sha ,Basic Materials,Nonmetallic Mineral Mining
467,BEST,Shiner International Inc. ,Consumer Goods,Packaging & Containers
4151,BFO, Blackrock Florida Municipal 202 ,Financial,Closed-End Fund - Debt
486,BIDZ,Bidz.com Inc. ,Services,Catalog & Mail Order Houses
10979,BIV,Vanguard Intermediate-Term Bond ETF,Fixed Income ETF,
4173,BKN, BlackRock Investment Quality Mu ,Financial,Closed-End Fund - Debt
512,BLDP,Ballard Power Systems Inc. ,Industrial Goods,Industrial Electrical Equipment
4178,BLE, BlackRock Municipal Income Trus ,Financial,Closed-End Fund - Debt
4181,BLMN, Bloomin' Brands  Inc. ,Services,Restaurants
11019,BND,Vanguard Total Bond Market ETF,Fixed Income ETF,
4203,BPS, BlackRock Pennsylvania Strategi ,Financial,Closed-End Fund - Debt
10822,BTAL,QuantShares U.S. Market Neutral Anti-Beta Fund ETF,US Equity ETF,
4220,BTT, BlackRock Municipal Target Term ,N/A,N/A
599,BVN,Compania Mina Buenaventura S.A ,Basic Materials,Gold
616,BYFC,Broadway Financial Corporation ,Financial,Savings & Loans
4232,BYM, Blackrock Municipal Income Qual ,N/A,N/A
10791,BZQ,ProShares UltraShort MSCI Brazil ETF,Commodity Based ETF,
735,CEF,Central Fund of Canada Limited  ,Basic Materials,Industrial Metals & Minerals
777,CHEV,Cheviot Financial Corp ,Financial,Regional - Midwest Banks
795,CHT,Chunghwa Telecom Co Ltd America ,Technology,Telecom Services - Domestic
10454,CMF,iShares S&P Cali Muni Bond ETF,Fixed Income ETF,
918,COT,Cott Corporation Common ,Consumer Goods,Beverages - Soft Drinks
4302,CPI, IQ Real Return ETF ,N/A,N/A
1005,CSUN,China Sunergy Co. Ltd. ,Technology,Semiconductor - Integrated Circuits
4319,CTQ, Qwest Corporation 7.375% Notes  ,N/A,N/A
1052,CVO,Cenveo Inc ,Services,Business Services
1053,CVR,Chicago Rivet & Machine Co. Com ,Industrial Goods,Machine Tools & Accessories
10854,CXA,SPDR Barclays Capital California Municipal Bond ETF,Fixed Income ETF,
1068,CXM,Cardium Therapeutics Inc. Comm ,Healthcare,Biotechnology
1075,CYAN,Cyanotech Corporation ,Healthcare,Drug Related Products
4339,CYE, Blackrock Corporate High Yield  ,N/A,N/A
1098,DAL,Delta Air Lines Inc. (New) Comm ,Services,Major Airlines
1103,DAVE,Famous Dave's of America Inc. ,Services,Restaurants
4403,DRV, Drexion Daily Real Estate Bear  ,N/A,N/A
1221,DUSA,DUSA Pharmaceuticals Inc. ,Healthcare,Drug Manufacturers - Other
1228,DVR,Cal Dive International Inc. Co ,Basic Materials,Oil & Gas Equipment & Services
4440,EDF, Stone Harbor Emerging Markets I ,N/A,N/A
10377,EEMS,iShares MSCI Emerging Markets Small Cap Index Fund ETF,Global Equity ETF,
4454,EIO, Eaton Vance Ohio Municipal Bond ,Financial,Closed-End Fund - Debt
4468,EMI, Eaton Vance Michigan Municipal  ,Financial,Closed-End Fund - Debt
4477,ENX, Eaton Vance New York Municipal  ,Financial,Closed-End Fund - Debt
4512,EVJ, Eaton Vance New Jersey Municipa ,Financial,Closed-End Fund - Debt
4519,EVY, Eaton Vance New York Municipal  ,Financial,Closed-End Fund - Debt
1410,EXFO,EXFO Inc ,NULL,NULL
1412,EXK,Endeavour Silver Corporation Or ,Basic Materials,Silver
1424,EZCH,EZchip Semiconductor Limited ,Technology,Semiconductor Equipment & Materials
4526,FAC, First Acceptance Corp ,Financial,Property & Casualty Insurance
1429,FALC,FalconStor Software Inc. ,Technology,Application Software
1525,FNGN,Financial Engines Inc. ,Services,Business Services
4573,FNV, Franco Nev Corp Common (Canada) ,Basic Materials,Gold
4577,FPT, Federated Premier Intermediate  ,N/A,N/A
4586,FSG, FactorShares 2X Gold Bull S&P50 ,N/A,N/A
4603,FXY, Rydex CurrencyShares Japanese Y ,N/A,N/A
4614,GBAB, Guggenheim Build America Bonds  ,N/A,N/A
10257,GBF,iShares Barclays Government/Credit Bond Fund ETF,Fixed Income ETF,
1606,GCA,Global Cash Access Holdings In ,Financial,Credit Services
4617,GCBC, Greene County Bancorp  Inc. ,Financial,Savings & Loans
10005,GIVE,AdvisorShares Global Echo ETF,Global Equity ETF,
10187,GIY,Guggenheim Enhanced Core Bond ETF,Fixed Income ETF,
4652,GJP, Synthetic Fixed-Income Securiti ,N/A,N/A
10025,GMMB,Columbia Intermediate Municipal Bond Strategy ETF,Fixed Income ETF,
10023,GMTB,Columbia Core Bond Strategy ETF,Fixed Income ETF,
4674,GOF, Guggenheim Strategic Opportunit ,N/A,N/A
1697,GOV,Government Properties Income Tr ,Financial,REIT - Office
1736,GSX,Gasco Energy Inc. Common ,Basic Materials,Independent Oil & Gas
4701,GTE, Gran Tierra Energy Inc. Common  ,Basic Materials,Independent Oil & Gas
4708,GTU, Central Gold Trust Ordinary Sha ,Basic Materials,Gold
10259,GVI,iShares Barclays Intermediate Government/Credit Bond Fund ETF,Fixed Income ETF,
4739,HALL, Hallmark Financial Services  In ,Financial,Property & Casualty Insurance
4742,HAS, Hasbro  Inc. ,Consumer Goods,Toys & Games
4759,HBNK, Hampden Bancorp  Inc. ,Financial,Regional - Northeast Banks
10002,HDGE,AdvisorShares Active Bear ETF,US Equity ETF,
4806,HIF, Western Asset High Income Fund  ,Financial,Closed-End Fund - Debt
4845,HMSY, HMS Holdings Corp ,Services,Business Services
4876,HPJ, Hong Kong Highpower Technology ,Industrial Goods,Industrial Electrical Equipment
4907,HSY, The Hershey Company Common Stoc ,Consumer Goods,Confectioners
5033,IIM, Invesco Value Municipal Income  ,N/A,N/A
5061,INVN, InvenSense  Inc. Common ,Technology,Semiconductor - Integrated Circuits
1778,IPAS,iPass Inc. ,Technology,Telecom Services - Foreign
5065,IPB, Merrill Lynch & Co.  Inc. 6.051 ,N/A,N/A
1797,IRIX,IRIDEX Corporation ,Healthcare,Medical Appliances & Equipment
10509,ITM,Market Vectors Intermediate Municipal ETF,Fixed Income ETF,
1823,ITMN,InterMune Inc. ,Healthcare,Biotechnology
1846,JBLU,JetBlue Airways Corporation ,Services,Regional Airlines
5095,JGBD, PowerShares DB 3X Inverse Govt  ,N/A,N/A
1871,JOBS,51job Inc. ,Services,Staffing & Outsourcing Services
1912,KFFB,Kentucky First Federal Bancorp ,Financial,Savings & Loans
1921,KGN,Keegan Resources Inc Ordinary S ,Basic Materials,Gold
5150,KHI, DWS High Income Trust New Commo ,N/A,N/A
10853,LAG,SPDR Barclays Capital Aggregate Bond ETF,Fixed Income ETF,
2006,LEE,Lee Enterprises Incorporated C ,Services,Publishing - Newspapers
2029,LIOX,Lionbridge Technologies Inc. ,Services,Business Services
2117,LZEN,Lizhan Environmental Corporatio ,Basic Materials,Synthetics
2143,MBLX,Metabolix Inc. ,Basic Materials,Specialty Chemicals
5234,MFL, Blackrock MuniHoldings Investme ,N/A,N/A
5245,MHE, Massachusetts Health and Educat ,Financial,Closed-End Fund - Debt
2227,MHLD,Maiden Holdings Ltd. ,Financial,Property & Casualty Insurance
5250,MHNA, Maiden Holdings North America L ,N/A,N/A
5254,MIDZ, Direxion Mid Cap Bear 3X Shares ,N/A,N/A
2237,MIPS,MIPS Technologies Inc. ,Technology,Semiconductor- Memory Chips
5260,MIY, Blackrock MuniYield Michigan Qu ,N/A,N/A
2239,MJN,Mead Johnson Nutrition Company  ,Consumer Goods,Processed & Packaged Goods
2241,MKL,Markel Corporation Common ,Financial,Property & Casualty Insurance
10537,MLN,Market Vectors-Lehman Brothers AMT-Free Long Municipal Index ETF,Fixed Income ETF,
2250,MLNK,ModusLink Global Solutions Inc ,Technology,Internet Software & Services
2262,MMUS,MakeMusic Inc. ,Technology,Multimedia & Graphics Software
5283,MNE, Blackrock Muni New York Interme ,N/A,N/A
5286,MNRKP, Monarch Financial Holdings  Inc ,N/A,N/A
2339,MTSL,MER Telemanagement Solutions Lt ,Technology,Diversified Communication Services
5320,MUI, Blackrock Muni Intermediate Dur ,Financial,Closed-End Fund - Debt
10554,MUNI,PIMCO Intermediate Municipal Bond Strategy Fund ETF,Fixed Income ETF,
5325,MVT, Blackrock MuniVest Fund II  Inc ,Financial,Closed-End Fund - Debt
5327,MWO, Morgan Stanley Cap Tr V Gtd Cap ,N/A,N/A
