60,ACY,-0.0230546593666077,AeroCentury Corp. Common ,Services,Rental & Leasing Services
4039,ADNC,-0.00832445919513702, Audience  Inc. ,Technology,Semiconductor - Integrated Circuits
4053,AGA,-0.0516818286851048, DB Agriculture Short ETN DB Agr ,N/A,N/A
124,AGX,-0.0711566805839539,Argan Inc. Common ,Industrial Goods,Heavy Construction
322,ASRV,-0.00602870155125856,AmeriServ Financial Inc. ,Financial,Regional - Northeast Banks
4132,BBN,-0.00338977575302124, BlackRock Build America Bond Tr ,N/A,N/A
4179,BLH,-0.00657501816749573, Blackrock New York Municipal 20 ,Financial,Closed-End Fund - Debt
10166,BSJC,-0.003559784963727,Guggenheim BulletShares 2012 High Yield Corporate Bond ETF,Fixed Income ETF,
10791,BZQ,-0.387658834457397,ProShares UltraShort MSCI Brazil ETF,Commodity Based ETF,
653,CASH,-0.0605184286832809,Meta Financial Group Inc. ,Financial,Savings & Loans
873,CNET,-0.0144971162080765,ChinaNet Online Holdings Inc. ,Services,Advertising Agencies
954,CRDC,-0.00164176523685455,Cardica Inc. ,Healthcare,Medical Instruments & Supplies
10776,CROC,-0.110974043607712,ProShares UltraShort Australian Dollar,Commodity Based ETF,
972,CRR,-0.0200693607330322,Carbo Ceramics Inc. Common Sto ,Basic Materials,Oil & Gas Equipment & Services
1057,CVV,-0.0471112728118896,CVD Equipment Corporation ,Industrial Goods,Diversified Machinery
4363,DEE,-0.0179790258407593, DB Commodity DB Commodity Doubl ,N/A,N/A
4399,DRD,-0.00835782289505005, DRDGOLD Limited American Deposi ,Basic Materials,Gold
1212,DSWL,-0.00406296923756599,Deswell Industries Inc. ,Consumer Goods,Rubber & Plastics
1227,DVOX,-0.00345449149608612,DynaVox Inc. ,Technology,Application Software
10359,ECH,-0.0282235741615295,iShares MSCI Chile Index Fund ETF,Global Equity ETF,
1264,EDAC,-0.0270953774452209,Edac Technologies Corporation ,Industrial Goods,Aerospace/Defense Products & Services
4454,EIO,-0.00127874314785004, Eaton Vance Ohio Municipal Bond ,Financial,Closed-End Fund - Debt
4459,ELA,-0.00734050571918488, Entergy Louisiana  LLC First Mo ,N/A,N/A
1369,ESBK,-0.0170828364789486,Elmira Savings Bank NY (The) ,Financial,Regional - Northeast Banks
1440,FBSS,-0.00392114371061325,Fauquier Bankshares Inc. ,Financial,Regional - Southeast Banks
4553,FFN,-0.00256122648715973, FriendFinder Networks Inc. ,Technology,Internet Software & Services
1592,GAI,-0.00587202608585358,Global-Tech Advanced Innovation ,Consumer Goods,Appliances
1620,GENC,-0.0146099030971527,Gencor Industries Inc. ,Industrial Goods,Farm & Construction Machinery
4703,GTIM,-0.0140610337257385, Good Times Restaurants Inc. ,Services,Restaurants
4714,GURE,-0.000401703640818596, Gulf Resources  Inc. ,Basic Materials,Specialty Chemicals
4778,HDSN,-0.0477776378393173, Hudson Technologies  Inc. ,Services,Industrial Equipment Wholesale
4872,HPAC,-0.000587373971939087, Hyde Park Acquisition Corp. II ,Conglomerates,Conglomerates
4992,IDI,-0.000902295112609863, SearchMedia Holdings Limited ,Services,Advertising Agencies
5038,IKNX,-0.0212770132347941, Ikonics Corporation ,Basic Materials,Specialty Chemicals
1751,INFU,-0.000472359359264374,InfuSystems Holdings Inc. Comm ,Healthcare,Medical Instruments & Supplies
1821,ITI,-0.00339212361723185,Iteris Inc. Common ,Technology,Communication Equipment
1830,IVAN,-9.40039753913879e-05,Ivanhoe Energy Inc. ,NULL,NULL
10797,JPX,-0.00479117780923843,ProShares UltraShort MSCI Pacific ex-Japan ETF,Commodity Based ETF,
1880,JSDA,-0.00204353826120496,Jones Soda Co. ,Consumer Goods,Beverages - Soft Drinks
1912,KFFB,-0.00928506255149841,Kentucky First Federal Bancorp ,Financial,Savings & Loans
1927,KITD,-0.237500101327896,KIT digital Inc. ,Services,Entertainment - Diversified
