CFNL,Cardinal Financial Corporation 
CVCY, Central Valley Community Bancor 
CNS,Cohn & Steers Inc Common 
FCCO,First Community Corporation 
LVS,Las Vegas Sands Corp. Common St 
MDGN, Medgenics  Inc. Common 
DIT,AMCON Distributing Company Comm 
AMNB,American National Bankshares I 
BANF,BancFirst Corporation 
BLX,Banco Latinoamericano de Comerc 
BAC,Bank of America Corporation Com 
BLK,BlackRock Inc
BPFH,Boston Private Financial Holdin 
CY,Cypress Semiconductor Corporati 
DAL,Delta Air Lines Inc. (New) Comm 
EWBC,East West Bancorp Inc. 
EBTC,Enterprise Bancorp Inc 
HIFS, Hingham Institution for Savings 
INTC,Intel Corporation 
KMI, Kinder Morgan  Inc. Common Stoc 
NFLX,Netflix Inc. 
NTCT,NetScout Systems Inc. 
PNC,PNC Financial Services Group I 
PLX,Protalix BioTherapeutics Inc.  
STX,Seagate Technology. 
USB,U.S. Bancorp Common 
UNB,Union Bankshares Inc. 
UBFO, United Security Bancshares 
UFPI,Universal Forest Products Inc. 
WAFD, Washington Federal  Inc. 
WTFC,Wintrust Financial Corporation 
CVLY,Codorus Valley Bancorp Inc 
STLY,Stanley Furniture Company Inc. 
WABC,Westamerica Bancorporation 
CTBI,Community Trust Bancorp Inc. 
SHIP,Seanergy Maritime Holdings Corp 
DHIL,Diamond Hill Investment Group  
PGI,Premiere Global Services Inc 
