FCCO,First Community Corporation 
LVS,Las Vegas Sands Corp. Common St 
MDGN, Medgenics  Inc. Common 
DIT,AMCON Distributing Company Comm 
AMNB,American National Bankshares I 
EBTC,Enterprise Bancorp Inc 
PLX,Protalix BioTherapeutics Inc.  
ANCX,Access National Corporation 
ASBI,Ameriana Bancorp 
RBCAA,Republic Bancorp Inc. 
ADX,Adams Express Company (The) 
PEO, Petroleum Resources Corporation 
ALV,Autoliv Inc. Common 
CMA,Comerica Incorporated Common St 
FHN,First Horizon National Corporat 
GE,General Electric Company Common 
HON, Honeywell International Inc. Co 
JBHT,J.B. Hunt Transport Services I 
KSU,Kansas City Southern Common Sto 
KNL,Knoll Inc. Common 
STI,SunTrust Banks Inc. Common Sto 
SYF,Synchrony Financial Common Stoc
GWW, W.W. Grainger  Inc. Common Stoc 
DHIL,Diamond Hill Investment Group  
PFNX,Pfenex Inc. Common
VTL,Vital Therapies Inc. 
