AMNB,American National Bankshares I 
CY,Cypress Semiconductor Corporati 
ADPT,Adeptus Health Inc. Common Stoc
AAMC,Altisource Asset Management Corporation 
RESI,Altisource Residential Corporation 
AWRE,Aware Inc. 
BCC,Boise Cascade Company 
IQNT, Neutral Tandem  Inc. 
MBCN,Middlefield Banc Corp.
MFSF,MutualFirst Financial Inc. 
RHI,Robert Half International Inc.  
UIS,Unisys Corporation New Common S 
XOOM,Xoom Corporation 
BOTJ, Bank of the James Financial Gro 
ESSA,ESSA Bancorp Inc. 
FMNB, Farmers National Banc Corp. 
HBNC, Horizon Bancorp (IN) 
SAJA,Sajan Inc.
SGC,Superior Uniform Group Inc. 
TOWN,Towne Bank 
WFD,Westfield Financial Inc. 
SRCE,1st Source Corporation 
ABAX,ABAXIS Inc. 
AGEN,Agenus Inc. 
AUBN,Auburn National Bancorporation 
BMTC,Bryn Mawr Bank Corporation 
BLMT, BSB Bancorp  Inc. 
BBW,Build-A-Bear Workshop Inc. Com 
CBNJ,Cape Bancorp Inc. 
CASS,Cass Information Systems Inc 
CLFD,Clearfield Inc. 
DNBF,DNB Financial Corp 
DDE,Dover Downs Gaming & Entertainm 
DVD,Dover Motorsports Inc. Common  
WIRE,Encore Wire Corporation 
FFNM,First Federal of Northern Michi 
INBK,First Internet Bancorp 
FMBH,First Mid-Illinois Bancshares
ISSI,Integrated Silicon Solution In 
MCBC,Macatawa Bank Corporation 
MCRL,Micrel Incorporated 
MOFG,MidWestOne Financial Group Inc 
MITK, Mitek Systems  Inc. 
PNK,Pinnacle Entertainment Inc. Co 
QSII,Quality Systems Inc. 
RTIX,RTI Biologics Inc. 
SHBI,Shore Bancshares Inc 
SBSI,Southside Bancshares Inc. 
UAL,United Continental Holdings 
WSTG,Wayside Technology Group Inc. 
MMM,3M Company Common 
AOS,A.O. Smith Corporation Common S 
ALK,Alaska Air Group Inc. Common S 
ALGN,Align Technology Inc. 
ADS,Alliance Data Systems Corporati 
ASPS,Altisource Portfolio Solutions  
AIMC,Altra Holdings Inc. 
AMZN,Amazon.com Inc. 
AEP,American Electric Power Company 
ABC,AmerisourceBergen Corporation ( 
T,AT&T Inc. 
ATHN,athenahealth Inc. 
ATTU, Attunity Ltd. 
BKU, BankUnited  Inc. Common 
BMS,Bemis Company Inc. Common Stoc 
BHE,Benchmark Electronics Inc. Com 
BJRI,BJ's Restaurants Inc. 
BSX,Boston Scientific Corporation C 
BYD,Boyd Gaming Corporation Common  
BMY,Bristol-Myers Squibb Company Co 
BLDR,Builders FirstSource Inc. 
BCR,C.R. Bard Inc. Common 
CAB,Cabela's Inc Class A Common Sto 
CBF, Capital Bank Financial Corp. 
COF,Capital One Financial Corporati 
CAT,Caterpillar Inc. Common 
CELG,Celgene Corporation 
CPHD,CEPHEID 
CHE,Chemed Corp 
CBI,Chicago Bridge & Iron Company N 
CBNK, Chicopee Bancorp  Inc. 
CB,Chubb Corporation (The) Common  
CYN,City National Corporation Commo 
MYCC,ClubCorp Holdings Inc. 
CMS,CMS Energy Corporation Common S 
CFX,Colfax Corporation Common 
COLB,Columbia Banking System Inc. 
CMCSA,Comcast Corporation 
CNOB,ConnectOne Bancorp Inc. 
CTCT,Constant Contact Inc. 
CLGX,CoreLogic Inc. Common 
CUBI,Customers Bancorp Inc. 
DAN,Dana Holding Corporation Common 
DHR,Danaher Corporation Common Stoc 
DLX,Deluxe Corporation Common 
DOW,Dow Chemical Company (The) Comm 
DST,DST Systems Inc. Common 
DNKN, Dunkin' Brands Group  Inc. 
ETFC,E*TRADE Financial Corporation 
EVBS,Eastern Virginia Bankshares In 
LLY, Eli Lilly and Company Common St 
EFSC,Enterprise Financial Services C 
EQT,EQT Corporation Common 
EQM, EQT Midstream Partners  LP Comm 
FNB,F.N.B. Corporation Common 
FII,Federated Investors Inc. Commo 
FIS,Fidelity National Information S 
FLIC,The First of Long Island Corpor 
FLEX,Flextronics International Ltd. 
FCX,Freeport-McMoRan Copper & Gold 
FSL, Freescale Semiconductor  Ltd Co 
GMT,GATX Corporation Common 
GNTX,Gentex Corporation 
GIMO,Gigamon Inc. 
GPK,Graphic Packaging Holding Compa 
GHL,Greenhill Common 
GPI,Group 1 Automotive Inc. Common 
HBHC, Hancock Holding Company 
HAFC, Hanmi Financial Corporation 
HWAY, Healthways  Inc. 
HEOP, Heritage Oaks Bancorp 
HBAN, Huntington Bancshares Incorpora 
IG, IGI  Laboratories Inc. Common S 
IMAX, Imax Corporation Common 
IVC,Invacare Corporation Common Sto 
JNS,Janus Capital Group Inc. Cmn S 
JNPR,Juniper Networks Inc. Common S 
KTEC,Key Technology Inc. 
KMB,Kimberly-Clark Corporation Comm 
KKR,KKR & Co. L.P. Common Units Rep 
LSTR,Landstar System Inc. 
LAZ,Lazard LTD. Lazard LTD. Class  
LOGM,LogMein Inc. 
MHO,M/I Homes Inc. Common 
MAC,Macerich Company (The) Common S 
VAC, Marriot Vacations Worldwide Cor 
MXIM,Maxim Integrated Products Inc. 
MCD,McDonald's Corporation Common S 
MJN,Mead Johnson Nutrition Company  
MMSI,Merit Medical Systems Inc. 
MSCC,Microsemi Corporation 
MINI,Mobile Mini Inc. 
MNRO,Monro Muffler Brake Inc. 
MYE, Myers Industries  Inc. Common S 
NANO,Nanometrics Incorporated 
NDAQ,The NASDAQ OMX Group Inc. 
NBHC, National Bank Holdings Corporat 
NPBC,National Penn Bancshares Inc. 
NPK,National Presto Industries Inc 
NEO,Neogenomics Inc. 
NTGR,NETGEAR Inc. 
N,Netsuite Inc Common 
NBN,Northeast Bancorp 
NWE,NorthWestern Corporation Common 
NUE,Nucor Corporation Common 
ORI,Old Republic International Corp 
