SYNL,Synalloy Corporation 
ALSN, Allison Transmission Holdings   
TMK,Torchmark Corporation Common St 
PFNX,Pfenex Inc. Common
AHC,A.H. Belo Corporation Common St 
ACHC, Acadia Healthcare Company  Inc. 
ACW,Accuride Corporation Common Sto 
AMG,Affiliated Managers Group Inc. 
ADC,Agree Realty Corporation Common 
ARE,Alexandria Real Estate Equities 
AGNC,American Capital Agency Corp. 
AMKR,Amkor Technology Inc. 
ANCB, Anchor Bancorp 
ANTH,Anthera Pharmaceuticals Inc. 
ACI,Arch Coal Inc. Common 
ASC,Ardmore Shipping Corporation 
AI,Arlington Asset Investment Corp 
AHL,Aspen Insurance Holdings Limite 
ABTL,Autobytel Inc. 
AVB,AvalonBay Communities Inc. Com 
AVX,AVX Corporation Common 
BOH,Bank of Hawaii Corporation Comm 
BCRH,Blue Capital Reinsurance Holdings Ltd. 
BRX,Brixmor Property Group Inc. Com 
CJES, C&J Energy Services  Inc. Commo 
CDNS,Cadence Design Systems Inc. 
CBM,Cambrex Corporation Common Stoc 
CKEC,Carmike Cinemas Inc. 
CLBH, Carolina Bank Holdings Inc. 
CYOU,Changyou.com Limited 
CNL,Cleco Corporation Common 
CMP,Compass Minerals Intl Inc Commo 
CR,Crane Company Common 
CRAY,Cray Inc 
CSS,CSS Industries Inc. Common Sto 
CTS,CTS Corporation Common 
EMN,Eastman Chemical Company Common 
RE,Everest Re Group Ltd. Common S 
FBNC,First Bancorp 
FCBC,First Community Bancshares Inc 
FFIC,Flushing Financial Corporation 
GBL,Gamco Investors Inc. Common St 
GABC,German American Bancorp Inc. 
GIG, GigOptix  Inc. Common 
GAIN,Gladstone Investment Corporatio 
GNC, GNC Holdings  Inc. Class A Comm 
GSBC,Great Southern Bancorp Inc. 
GWB,Great Western Bancorp Inc. Com
HAE, Haemonetics Corporation Common  
HLIT, Harmonic Inc. 
HIG, Hartford Financial Services Gro 
HTLF, Heartland Financial USA  Inc. 
HFFC, HF Financial Corp. 
HBCP, Home Bancorp  Inc. 
HMST, HomeStreet  Inc. 
ICON, Iconix Brand Group  Inc. 
IBCP, Independent Bank Corporation 
IBTX,Independent Bank Group Inc. 
IPHS,Innophos Holdings Inc. 
IVR,INVESCO MORTGAGE CAPITAL INC Co 
JJSF,J & J Snack Foods Corp. 
JBT,John Bean Technologies Corporat 
KAI,Kadant Inc Common 
KN,Knowles Corporation 
LSBK,Lake Shore Bancorp Inc. 
LARK,Landmark Bancorp Inc. 
LPSB,Laporte Bancorp Inc. 
LECO,Lincoln Electric Holdings Inc. 
EVAR,Lombard Medical Inc. 
MGLN,Magellan Health Services Inc. 
MRLN,Marlin Business Services Corp. 
MSO,Martha Stewart Living Omnimedia 
MLM,Martin Marietta Materials Inc. 
MLP,Maui Land & Pineapple Company  
MBVT,Merchants Bancshares Inc. 
MSTR,MicroStrategy Incorporated 
MPWR,Monolithic Power Systems Inc. 
NKA,Niska Gas Storage Partners LLC  
NSC,Norfolk Southern Corporation Co 
OSHC,Ocean Shore Holding Co. 
ONB,Old National Bancorp Capital Tr 
OPB,Opus Bank 
OMI,Owens & Minor Inc. Common Stoc 
PRE,PartnerRe Ltd. Common 
PCTI,PC-Tel Inc. 
PLT,Plantronics Inc. Common 
PCL,Plum Creek Timber Company Inc. 
PRAH,PRA Health Sciences Inc.
KWR,Quaker Chemical Corporation Com 
RCII,Rent-A-Center Inc. 
ROP,Roper Industries Inc. Common S 
RPM,RPM International Inc. Common S 
SBFG,SB Financial Group Inc. 
SMSI,Smith Micro Software Inc. 
SOHU,Sohu.com Inc. 
SCCO,Southern Copper Corporation Com 
SMBC, Southern Missouri Bancorp  Inc. 
SWN,Southwestern Energy Company Com 
SFG,StanCorp Financial Group Inc.  
SWFT,Swift Transportation Company Cl 
SYX,Systemax Inc. Common 
TMH,Team Health Holdings Inc. Team 
TCBK,TriCo Bancshares 
TBK,Triumph Bancorp Inc.
UDR,UDR Inc. Common 
UAM,Universal American Corporation  
ECOL,US Ecology Inc. 
VRTS,Virtus Investment Partners Inc 
WRB,W.R. Berkley Corporation Common 
WCN,Waste Connections Inc. Common  
WAL,Western Alliance Bancorporation 
WTM,White Mountains Insurance Group 
WYNN,Wynn Resorts Limited 
UWN,Nevada Gold & Casinos Inc. Com 
ACC,American Campus Communities Inc 
STL,Sterling Bancorp Common 
