RESI,Altisource Residential Corporation 
FMER,FirstMerit Corporation 
PCP,Precision Castparts Corporation 
VICR,Vicor Corporation 
PFNX,Pfenex Inc. Common
NBN,Northeast Bancorp 
NRIM,Northrim BanCorp Inc 
ANTH,Anthera Pharmaceuticals Inc. 
BGFV,Big 5 Sporting Goods Corporatio 
CLBH, Carolina Bank Holdings Inc. 
CSS,CSS Industries Inc. Common Sto 
FCBC,First Community Bancshares Inc 
FFIC,Flushing Financial Corporation 
GBL,Gamco Investors Inc. Common St 
GABC,German American Bancorp Inc. 
GAIN,Gladstone Investment Corporatio 
HBCP, Home Bancorp  Inc. 
KAI,Kadant Inc Common 
MLP,Maui Land & Pineapple Company  
NKA,Niska Gas Storage Partners LLC  
NTLS,NTELOS Holdings Corp. 
PRGX,PRGX Global Inc. 
SSW,Seaspan Corporation Seaspan Cor 
SIR, Select Income REIT Common Share 
SMBC, Southern Missouri Bancorp  Inc. 
TCBK,TriCo Bancshares 
UTHR,United Therapeutics Corporation 
UAM,Universal American Corporation  
VRTS,Virtus Investment Partners Inc 
AKR,Acadia Realty Trust Common Stoc 
ACPW,Active Power Inc. 
AFL,AFLAC Incorporated Common 
AGCO,AGCO Corporation Common 
AKS,AK Steel Holding Corporation Co 
AKAM,Akamai Technologies Inc. 
ALLY,Ally Financial Inc. 
EPAX,Ambassadors Group Inc. 
AMED,Amedisys Inc 
AAT,American Assets Trust  Inc. Com
AXE,Anixter International Inc. Comm 
ARI,Apollo Commercial Real Estate F 
ATR,AptarGroup Inc. Common 
ATRO,Astronics Corporation 
ACFC,Atlantic Coast Federal Corporat 
ATML,Atmel Corporation 
ATRC,AtriCure Inc. 
AUDC,AudioCodes Ltd. 
AXS,Axis Capital Holdings Limited C 
BBSI,Barrett Business Services Inc. 
BMR,Biomed Realty Trust Common Stoc 
BBOX,Black Box Corporation 
BXMT,Blackstone Mortgage Trust Inc. 
BBRG,Bravo Brio Restaurant Group In 
BZC,Breeze-Eastern Corporation 
BWLD,Buffalo Wild Wings Inc. 
CHRW,C.H. Robinson Worldwide Inc. 
CLMS,Calamos Asset Management Inc. 
CACB,Cascade Bancorp 
CEB, Corporate Executive Board Compa 
CNC,Centene Corporation Common Stoc 
CINF,Cincinnati Financial Corporatio 
CTXS,Citrix Systems Inc. 
COMM,CommScope Holding Company Inc. 
CVLT,CommVault Systems Inc. 
CTG,Computer Task Group Inc. 
CNX,CONSOL Energy Inc. Common 
OFC,Corporate Office Properties Tru 
CUZ,Cousins Properties Incorporated 
CRY,CryoLife Inc. Common 
CTRP,Ctrip.com International Ltd. 
CMI,Cummins Inc. Common 
DHX,Dice Holdings Inc. Common Stoc 
DHT,DHT Holdings Inc. 
DGICA,Donegal Group Inc. 
DORM,Dorman Products Inc. 
DRQ,Dril-Quip Inc. Common 
BOOM,Dynamic Materials Corporation 
DD,E.I. du Pont de Nemours and Com 
ECL,Ecolab Inc. Common 
EW,Edwards Lifesciences Corporatio 
EQR,Equity Residential Common Share 
ETH,Ethan Allen Interiors Inc. Comm 
EXAC,Exactech Inc. 
EXAM,ExamWorks Group Inc. Common St 
ESRX,Express Scripts Holding Company 
FSS,Federal Signal Corporation Comm 
FCH,FelCor Lodging Trust Incorporat 
FCVA,First Capital Bancorp Inc. (VA 
FBC,Flagstar Bancorp Inc. New Comm 
F,Ford Motor Company Common 
FELE,Franklin Electric Co. Inc. 
FSB,Franklin Financial Network
