PLX,Protalix BioTherapeutics Inc.  
TER,Teradyne Inc. Common 
IPCM,IPC The Hospitalist Company In 
MHH,Mastech Holdings Inc Common St 
SKX,Skechers U.S.A. Inc. Common St 
CFFN, Capitol Federal Financial  Inc. 
CEMP, Cempra  Inc. 
ORC,Orchid Island Capital Inc. 
AAC,AAC Holdings Inc. Common
CETV,Central European Media Enterpri 
CACC,Credit Acceptance Corporation 
SJW,SJW Corporation Common 
TRK,Speedway Motorsports Inc. Comm 
ACCO, Acco Brands Corporation Common  
ACNB,ACNB Corporation 
ADT, ADT Corporation Common 
AFFX,Affymetrix Inc. 
ALGT,Allegiant Travel Company 
NCZ, AGIC Convertible & Income Fund  
MO,Altria Group Inc. 
DOX,Amdocs Limited Common 
MTGE, American Capital Mortgage Inves 
AMT,American Tower Corporation (REI 
ANIK,Anika Therapeutics Inc. 
AM,American Greetings Corporation  
AR,Antero Resources Corporation 
ANTM,Anthem Inc. Common
ACGL,Arch Capital Group Ltd. 
ARR, ARMOUR Residential REIT  Inc. 
ARRS,Arris Group Inc 
ASH,Ashland Inc. (NEW) Common 
ATNI,Atlantic Tele-Network Inc. 
ATW,Atwood Oceanics Inc. Common St 
AVY,Avery Dennison Corporation Comm 
BOCH,Bank of Commerce Holdings (CA) 
BAX,Baxter International Inc. Commo 
BDC,Belden Inc Common 
BEL,Belmond Ltd. Class A Common Sto
BGCP,BGC Partners Inc. 
BEAT,CardioNet Inc. 
BLKB,Blackbaud Inc. 
BAH,Booz Allen Hamilton Holding Cor 
BXP,Boston Properties Inc. Common  
CWT,California Water Service Group  
ELY,Callaway Golf Company Common St 
CCG,Campus Crest Communities Inc.  
CMO,Capstead Mortgage Corporation C 
CARB, Carbonite  Inc. 
CG, The Carlyle Group L.P. 
CRI,Carter's Inc. Common 
CWST,Casella Waste Systems Inc. 
CVCO,Cavco Industries Inc. 
CAVM,Cavium Inc. 
CBZ,CBIZ Inc. Common 
CBG,CBRE Group Inc Common 
CGI,Celadon Group Inc. Common Stoc 
CTHR,Charles & Colvard Ltd 
CHMT,Chemtura Corp. Common 
LNG,Cheniere Energy Inc. Common St 
CQP,Cheniere Energy Partners LP Ch 
CHH,Choice Hotels International In 
CMPR,Cimpress N.V
CLD,Cloud Peak Energy Inc Common St 
CNO,CNO Financial Group Inc. Commo 
CNW,Con-Way Inc. Common 
CXO,Concho Resources Inc. Common St 
CSGP,CoStar Group Inc. 
CTCM,CTC Media Inc. 
CFR,Cullen/Frost Bankers Inc. Comm 
CW,Curtiss-Wright Corporation Comm 
CYTK,Cytokinetics Incorporated 
DDR,DDR Corp. Common 
DRII,Diamond Resorts International Inc. 
DIN,DineEquity Inc Common 
DXYN,The Dixie Group Inc. 
EROC,Eagle Rock Energy Partners L.P 
ETN, Eaton Corporation Common 
EDGW,Edgewater Technology Inc. 
EHTH,eHealth Inc. 
ESRT,Empire State Realty Trust Inc. 
EIG,Employers Holdings Inc Common S 
ENDP,Endo Health Solutions Inc. 
EPE,EP Energy Corporation 
EQIX,Equinix Inc. 
EEFT,Euronet Worldwide Inc. 
EVER, EverBank Financial Corp. Common 
EXC,Exelon Corporation Common 
FB, Facebook  Inc. 
FICO,Fair Isaac Incorporated Commo 
FDML,Federal-Mogul Corporation 
FNF,Fidelity National Financial In 
FBP,First BanCorp. New Common 
FCF,First Commonwealth Financial Co 
FISV,Fiserv Inc. 
FLT,FleetCor Technologies Inc. Com 
FLDM, Fluidigm Corporation 
FLY,Fly Leasing Limited 
FORM,FormFactor Inc. 
FORR,Forrester Research Inc. 
FXCB,Fox Chase Bancorp Inc. 
BEN,Franklin Resources Inc. Common 
GRMN,Garmin Ltd. 
THRM, Gentherm Inc 
GFIG,GFI Group Inc. Common 
GLAD,Gladstone Capital Corporation 
GT,Goodyear Tire & Rubber Company  
GTI, GrafTech International Ltd (Hol 
HNH, Handy & Harman Ltd. 
THG,Hanover Insurance Group Inc 
HTA, Healthcare Trust of America  In 
HLS, HealthSouth Corporation Common  
HSIC, Henry Schein  Inc. 
HES, Hess Corporation Common 
HOLX, Hologic  Inc. 
HFBC, HopFed Bancorp  Inc. 
HOS, Hornbeck Offshore Services Comm 
HCBK, Hudson City Bancorp  Inc. 
HUM, Humana Inc. Common 
HUN, Huntsman Corporation Common Sto 
HY, Hyster-Yale Materials Handling  
IKAN, Ikanos Communications  Inc. 
IRT,Independence Realty Trust  Inc. 
NSIT,Insight Enterprises Inc. 
ISIG,Insignia Systems Inc. 
IBP,Installed Building Products Inc. 
TILE,Interface Inc. 
ISH,International Shipholding Corpo 
ISIL,Intersil Corporation 
IXYS,IXYS Corporation 
JAH,Jarden Corporation Common 
KS,KapStone Paper and Packaging Co 
KEX,Kirby Corporation Common 
KRG,Kite Realty Group Trust Common  
KRA,Kraton Performance Polymers In 
LRCX,Lam Research Corporation 
LVLT,Level 3 Communications Inc. Co 
LNC,Lincoln National Corporation Co 
LFUS,Littelfuse Inc. 
MTW,Manitowoc Company Inc. (The) C 
MN, Manning & Napier  Inc. Class A  
MANT,ManTech International Corporati 
MPX,Marine Products Corporation Com 
MAR,Marriot International Common St 
MMLP,Martin Midstream Partners L.P. 
MCK,McKesson Corporation Common Sto 
MDAS,MedAssets Inc. 
MDCO,The Medicines Company 
MTH,Meritage Homes Corporation Comm 
MTOR, Meritor  Inc. Common 
MET,MetLife Inc. Common 
MVIS,Microvision Inc. 
MILL,Miller Energy Resourses Inc. C 
MNDO,MIND C.T.I. Ltd. 
MC,Moelis 
TYPE,Monotype Imaging Holdings Inc. 
MUR,Murphy Oil Corporation Common S 
NMM,Navios Maritime Partners LP Com 
NCIT,NCI Inc. 
NBIX,Neurocrine Biosciences Inc. 
NEWT,Newtek Business Services Inc. 
NOC,Northrop Grumman Corporation Co 
NUTR,Nutraceutical International Cor 
NTRI,NutriSystem Inc 
NXPI,NXP Semiconductors N.V. 
ASGN,On Assignment Inc. 
OA,Orbital ATK Inc. Common
TIS,Orchids Paper Products Company  
OI,Owens-Illinois Inc. Common Sto 
PEGA,Pegasystems Inc. 
PVA,Penn Virginia Corporation Commo 
PAG,Penske Automotive Group Inc. C 
PCG,Pacific Gas & Electric Co. Comm 
PDM,Piedmont Office Realty Trust I 
PLNR,Planar Systems Inc. 
POWI,Power Integrations Inc. 
PX,Praxair Inc. Common 
PNRG,PrimeEnergy Corporation 
PGR,Progressive Corporation (The) C 
PTC,PTC Inc. 
PSA,Public Storage Common 
QGEN,Qiagen N.V. 
QUIK,QuickLogic Corporation 
Q,Quintiles Transnational Holdings Inc. 
O,Realty Income Corporation Commo 
REIS,Reis Inc 
ROIC,Retail Opportunity Investments  
REV,Revlon Inc. New Common 
RGCO,RGC Resources Inc. 
RRTS,Roadrunner Transportation Syste 
ROG,Rogers Corporation Common 
ROL,Rollins Inc. Common 
RES,RPC Inc. Common 
RKUS,Ruckus Wireless Inc. 
SGMO,Sangamo BioSciences Inc. 
SBAC,SBA Communications Corporation 
STNG,Scorpio Tankers Inc. Common Sha 
SIGI,Selective Insurance Group Inc. 
SNMX,Senomyx Inc. 
SCI,Service Corporation Internation 
SFLY,Shutterfly Inc. 
SLAB,Silicon Laboratories Inc. 
SCKT,Socket Mobile Inc. 
SCTY,SolarCity Corporation 
SONS,Sonus Networks Inc. 
SO,Southern Company (The) Common S 
SSS,Sovran Self Storage Inc. Commo 
STAA,STAAR Surgical Company 
STNR,Steiner Leisure Limited 
STRA,Strayer Education Inc. 
SNBC,Sun Bancorp Inc. 
SPRT,support.com Inc. 
SRDX,SurModics Inc. 
SNCR,Synchronoss Technologies Inc. 
TAL,TAL International Group Inc. C 
TBNK,Territorial Bancorp Inc. 
TTEK,Tetra Tech Inc. 
TGI,Triumph Group Inc. Common Stoc 
USAP,Universal Stainless & Alloy Pro 
UNM,Unum Group Common 
VNDA,Vanda Pharmaceuticals Inc. 
WOOF,VCA Antech Inc. 
VRTX,Vertex Pharmaceuticals Incorpor 
GRA,W.R. Grace & Co. Common 
WTS,Watts Water Technologies Inc.  
WEC,Wisconsin Energy Corporation Co 
WSTL,Westell Technologies Inc. 
WDC,Western Digital Corporation 
WGP,Western Gas Equity Partners LP 
WES,Western Gas Partners LP Limite 
WEX,Winland Electronics Inc. Commo 
WFM, Whole Foods Market  Inc. 
WMB,Williams Companies Inc. (The)  
WPZ,Williams Partners L.P. Common U 
WMGI,Wright Medical Group Inc. 
WBAI,500.com Limited 
BELFA,Bel Fuse Inc. 
DRE,Duke Realty Corporation Common  
FARO,FARO Technologies Inc. 
HVT, Haverty Furniture Companies  In 
LOCK, LifeLock  Inc. Common 
PAR, PAR Technology Corporation Comm 
TG,Tredegar Corporation Common Sto 
BANC, First PacTrust Bancorp  Inc. 
PCMI,PCM Inc. 
