UAM,Universal American Corporation  
CTCM,CTC Media Inc. 
DWSN,Dawson Geophysical Company 
DLNG,Dynagas LNG Partners LP 
TBIO,Transgenomic Inc.
CLSN,Celsion Corporation 
DVAX,Dynavax Technologies Corporatio 
GALT, Galectin Therapeutics Inc. 
HHC, Howard Hughes Corporation (The) 
KBIO,KaloBios Pharmaceuticals Inc. 
KRO,Kronos Worldwide Inc Common Sto 
NL,NL Industries Inc. Common Stoc 
SPHS,Sophiris Bio Inc. 
SFUN,SouFun Holdings Limited America 
VSTM, Verastem  Inc. 
CVR,Chicago Rivet & Machine Co. Com 
HGSH,China HGS Real Estate Inc. 
SIF,SIFCO Industries Inc. Common S 
UG,United-Guardian Inc. 
URRE,Uranium Resources Inc. 
VHI,Valhi Inc. Common 
MTZ,MasTec Inc. Common 
MLAB,Mesa Laboratories Inc. 
MIDD,The Middleby Corporation 
ACHN,Achillion Pharmaceuticals Inc. 
LXRX,Lexicon Pharmaceuticals Inc. 
QIWI,Qiwi plc 
BBGI,Beasley Broadcast Group Inc. 
BCRX,BioCryst Pharmaceuticals Inc. 
NILE,Blue Nile Inc. 
BR,Broadridge Financial Solutions 
CVC,Cablevision Systems Corporation 
CNTY,Century Casinos Inc. 
CAPL,CrossAmerica Partners LP Common
CST,CST Brands Inc. 
DAKP,Dakota Plains Holdings Inc. Co
DRH,Diamondrock Hospitality Company 
SSP,E.W. Scripps Company (The) Comm 
EBIX,Ebix Inc 
ESNT,Essent Group Ltd. 
OAKS,Five Oaks Investment Corp. 
GST,Gastar Exploration Ltd New Ordi 
GLRI,Glori Energy Inc. 
HNRG, Hallador Energy Company 
HSY, The Hershey Company Common Stoc 
HMSY, HMS Holdings Corp 
HZNP, Horizon Pharma  Inc. 
ZINC,Horsehead Holding Corp. 
HIFR,InfraREIT Inc. Common
JD,JD.com Inc.
LMIA,LMI Aerospace Inc. 
LXU,LSB Industries Inc. Common Sto 
MHR,Magnum Hunter Resources Corpora 
NYRT,New York REIT Inc. 
OFS,OFS Capital Corporation 
PMC,Pharmerica Corporation Common S 
RJET,Republic Airways Holdings Inc. 
SIRO,Sirona Dental Systems Inc. 
BID,Sotheby's Common 
SXE,Southcross Energy Partners L.P. 
SCM,Stellus Capital Investment Corporation 
TTI,Tetra Technologies Inc. Common 
WWAV,The WhiteWave Foods Company 
WLH,William Lyon Homes 
OMEX,Odyssey Marine Exploration Inc 
SAMG,Silvercrest Asset Management Group Inc. 
IPAR,Inter Parfums Inc. 
HRS, Harris Corporation Common 
OVAS,OvaScience Inc. 
HNR, Harvest Natural Resources Inc 
HIMX, Himax Technologies  Inc. 
CUR,Neuralstem Inc. Common 
