CCG,Campus Crest Communities Inc.  
CLCT,Collectors Universe Inc. 
GLNG,Golar LNG Limited 
GMLP, Golar LNG Partners LP 
HMLP,Hoegh LNG Partners LP Common Un
KEQU,Kewaunee Scientific Corporation 
MOV,Movado Group Inc. Common 
ANFI, Amira Nature Foods Ltd Ordinary 
IKGH,Iao Kun Group Holding Company Limited 
PLL,Pall Corporation Common 
GASS,StealthGas Inc. 
FLWS,1-800 FLOWERS.COM Inc. 
AMSWA,American Software Inc. 
ADSK,Autodesk Inc. 
BEBE,bebe stores inc. 
BAMM,Books-A-Million Inc. 
BURL,Burlington Stores Inc. 
CAL,Caleres  Inc.
DEST,Destination Maternity Corporati 
DG,Dollar General Corporation Comm 
FRED,Fred's Inc. 
GME,Gamestop Corporation Common Sto 
SJM,J.M. Smucker Company (The) New  
MIK,The Michaels Companies Inc.
NADL,North Atlantic Drilling Limited 
OVTI,OmniVision Technologies Inc. 
PDCO,Patterson Companies Inc. 
REX,REX American Resources Corporat 
SDRL,Seadrill Limited Ordinary Share 
SDLP,Seadrill Partners LLC 
GAME,Shanda Games Limited 
SIG,Signet Jewelers Limited Common  
SWHC,Smith & Wesson Holding Corporat 
SPLK, Splunk Inc. 
TAYD,Taylor Devices Inc. 
TIF,Tiffany & Co. Common 
ULTA,Ulta Salon Cosmetics & Fragran 
VMEM,Violin Memory Inc. 
YGE,Yingli Green Energy Holding Com 
ZOES,Zoe's Kitchen Inc. 
GROW,U.S. Global Investors Inc. 
GOGL,Golden Ocean Group Limited
SKYS,Sky Solar Holdings Ltd.
JP,Jupai Holdings Limited
PMFG,PMFG Inc. 
VEEV,Veeva Systems Inc. 
