HAWK,Blackhawk Network Holdings Inc. 
ENZ,Enzo Biochem Inc. Common 
CCOI,Cogent Communications Group In 
ADTN,ADTRAN Inc. 
OZRK,Bank of the Ozarks 
BPFH,Boston Private Financial Holdin 
CVCY, Central Valley Community Bancor 
CSX,CSX Corporation Common 
FAST,Fastenal Company 
HCSG, Healthcare Services Group  Inc. 
IDT, IDT Corporation New Preferred S 
INTC,Intel Corporation 
JNJ,Johnson & Johnson Common 
JPM,JP Morgan Chase & Co. Common St 
KMI, Kinder Morgan  Inc. Common Stoc 
LLTC,Linear Technology Corporation 
MDGN, Medgenics  Inc. Common 
PVTB,PrivateBancorp Inc. 
RMCF,Rocky Mountain Chocolate Factor 
SAR, Saratoga Investment Corp New 
SKY,Skyline Corporation Common Stoc 
UNB,Union Bankshares Inc. 
URI,United Rentals Inc. Common Sto 
UBFO, United Security Bancshares 
VOXX,VOXX International Corporation 
WABC,Westamerica Bancorporation 
ASRV,AmeriServ Financial Inc. 
AF,Astoria Financial Corporation C 
PRXI,Premier Exhibitions Inc. 
STLY,Stanley Furniture Company Inc. 
SURG,Synergetics USA Inc. 
TAYD,Taylor Devices Inc. 
