CVCY, Central Valley Community Bancor 
UNB,Union Bankshares Inc. 
CZFC,Citizens First Corporation 
PLBC, Plumas Bancorp 
TZOO,Travelzoo Inc. 
BMRC,Bank of Marin Bancorp 
CMA,Comerica Incorporated Common St 
FHN,First Horizon National Corporat 
GE,General Electric Company Common 
HON, Honeywell International Inc. Co 
KSU,Kansas City Southern Common Sto 
PGR,Progressive Corporation (The) C 
STI,SunTrust Banks Inc. Common Sto 
SYF,Synchrony Financial Common Stoc
GWW, W.W. Grainger  Inc. Common Stoc 
CVTI,Covenant Transportation Group  
