TZOO,Travelzoo Inc. 
ABAX,ABAXIS Inc. 
BGS,B&G Foods Inc. B&G Foods Inc. 
JBLU,JetBlue Airways Corporation 
RAI,Reynolds American Inc Common St 
RUBI,the Rubicon Project Inc. 
TER,Teradyne Inc. Common 
WAFD, Washington Federal  Inc. 
PGI,Premiere Global Services Inc 
CAS,Castle (A.M.) & Co. Common Stoc 
ANCB, Anchor Bancorp 
CSFL,CenterState Banks Inc. 
CPSH,CPS TECHNOLOGIES CP
CROX,Crocs Inc. 
FCBC,First Community Bancshares Inc 
HCC, HCC Insurance Holdings  Inc. Co 
HFBC, HopFed Bancorp  Inc. 
ICON, Iconix Brand Group  Inc. 
KAI,Kadant Inc Common 
PRGX,PRGX Global Inc. 
PULB,Pulaski Financial Corp. 
RPAI, Retail Properties of America  I 
SZYM, Solazyme  Inc. 
SCCO,Southern Copper Corporation Com 
SMBC, Southern Missouri Bancorp  Inc. 
SYNC, Synacor  Inc. 
CLUB,Town Sports International Holdi 
UTHR,United Therapeutics Corporation 
ACHC, Acadia Healthcare Company  Inc. 
ACPW,Active Power Inc. 
AGEN,Agenus Inc. 
ARG,Airgas Inc. Common 
AKS,AK Steel Holding Corporation Co 
AKAM,Akamai Technologies Inc. 
BABA,Alibaba Group Holding Limited A
AME,AMETEK Inc. 
AXE,Anixter International Inc. Comm 
ARR, ARMOUR Residential REIT  Inc. 
AJG,Arthur J. Gallagher & Co. Commo 
ACFC,Atlantic Coast Federal Corporat 
ATRC,AtriCure Inc. 
AVX,AVX Corporation Common 
AXS,Axis Capital Holdings Limited C 
BAX,Baxter International Inc. Commo 
BGFV,Big 5 Sporting Goods Corporatio 
BBOX,Black Box Corporation 
BXMT,Blackstone Mortgage Trust Inc. 
BMY,Bristol-Myers Squibb Company Co 
CHRW,C.H. Robinson Worldwide Inc. 
CLMS,Calamos Asset Management Inc. 
CPLA,Capella Education Company 
CSII,Cardiovascular Systems Inc. 
CBG,CBRE Group Inc Common 
CEB, Corporate Executive Board Compa 
CETV,Central European Media Enterpri 
CINF,Cincinnati Financial Corporatio 
COH,Coach Inc. Common 
CMCSA,Comcast Corporation 
CVLT,CommVault Systems Inc. 
CNX,CONSOL Energy Inc. Common 
CUZ,Cousins Properties Incorporated 
CVA,Covanta Holding Corporation Com 
CRY,CryoLife Inc. Common 
CMI,Cummins Inc. Common 
CYNO,Cynosure Inc. 
DDR,DDR Corp. Common 
BOOM,Dynamic Materials Corporation 
DD,E.I. du Pont de Nemours and Com 
EVBS,Eastern Virginia Bankshares In 
EIX,Edison International Common Sto 
ENTG,Entegris Inc. 
EQR,Equity Residential Common Share 
ETH,Ethan Allen Interiors Inc. Comm 
EXAC,Exactech Inc. 
XCO,EXCO Resources Inc. Exco Resou 
ESRX,Express Scripts Holding Company 
STAY,Extended Stay America Inc. 
FEIC,FEI Company 
FCH,FelCor Lodging Trust Incorporat 
FNF,Fidelity National Financial In 
FISI,Financial Institutions Inc. 
FMER,FirstMerit Corporation 
FISV,Fiserv Inc. 
FBC,Flagstar Bancorp Inc. New Comm 
FSB,Franklin Financial Network
FSP,Franklin Street Properties Corp 
FDP,Fresh Del Monte Produce Inc. C 
GK,G&K Services Inc. 
GNMK,GenMark Diagnostics Inc. 
GILD,Gilead Sciences Inc. 
GOOD,Gladstone Commercial Corporatio 
GPI,Group 1 Automotive Inc. Common 
GRUB,GrubHub Inc. 
HAFC, Hanmi Financial Corporation 
HLIT, Harmonic Inc. 
HSII, Heidrick & Struggles Internatio 
ONE,Higher One Holdings Inc. Commo 
HMST, HomeStreet  Inc. 
HUN, Huntsman Corporation Common Sto 
IIVI, II-VI Incorporated 
IMGN, ImmunoGen  Inc. 
INFN,Infinera Corporation 
IPHI,Inphi Corporation Common 
IPI,Intrepid Potash Inc Common Sto 
IPCM,IPC The Hospitalist Company In 
IPGP,IPG Photonics Corporation 
JBT,John Bean Technologies Corporat 
LRN,K12 Inc Common 
KKR,KKR & Co. L.P. Common Units Rep 
LPSB,Laporte Bancorp Inc. 
LGCY,Legacy Reserves LP 
LMAT,LeMaitre Vascular Inc. 
LXK,Lexmark International Inc. Com 
LPT,Liberty Property Trust 
MAC,Macerich Company (The) Common S 
MMC,Marsh & McLennan Companies Inc 
MASI,Masimo Corporation 
MNI,McClatchy Company (The) Common  
MDC,M.D.C. Holdings Inc. Common St 
MDSO,Medidata Solutions Inc. 
MDWD,MediWound Ltd. 
MRK,Merck & Company Inc. Common St 
MSL,MidSouth Bancorp Common 
MSM,MSC Industrial Direct Company  
NBR,Nabors Industries Ltd. 
NATI,National Instruments Corporatio 
NHTC,NATURAL HEALTH TREND
NCI,Navigant Consulting Inc. Commo 
NMM,Navios Maritime Partners LP Com 
NCR,NCR Corporation Common 
NMIH,NMI Holdings Inc. 
NCLH,Norwegian Cruise Line Holdings Ltd. 
NVMI,Nova Measuring Instruments Ltd. 
NUVA,NuVasive Inc. 
OA,Orbital ATK Inc. Common
OMI,Owens & Minor Inc. Common Stoc 
OI,Owens-Illinois Inc. Common Sto 
PEIX,Pacific Ethanol Inc. 
PCRX, Pacira Pharmaceuticals  Inc. 
BTU,Peabody Energy Corporation Comm 
PEGA,Pegasystems Inc. 
PEI,Pennsylvania Real Estate Invest 
PFE,Pfizer Inc. Common 
POL,PolyOne Corporation Common Stoc 
POR,Portland General Electric Co Co 
PCH,Potlatch Corporation 
PROV,Provident Financial Holdings I 
PSB,PS Business Parks Inc. Common  
QTS,QTS Realty Trust Inc. 
RDCM,Radcom Ltd. 
RDN,Radian Group Inc. Common 
RGC,Regal Entertainment Group Class 
REV,Revlon Inc. New Common 
RST,Rosetta Stone Rosetta Stone In 
RPXC, RPX Corporation 
SCHN, Schnitzer Steel Industries  Inc 
ST,Sensata Technologies Holding N. 
SFLY,Shutterfly Inc. 
SPG,Simon Property Group Inc. Comm 
SKYW,SkyWest Inc. 
SM,SM Energy Company Common 
SPR,Spirit Aerosystems Holdings In 
STAG, Stag Industrial  Inc. Common St 
STNR,Steiner Leisure Limited 
RGR,Sturm Ruger & Company Inc. Co 
SMMF,Summit Financial Group Inc. 
SUI,Sun Communities Inc. Common St 
SYA,Symetra Financial Corporation C 
SKT,Tanger Factory Outlet Centers  
AMTD,TD Ameritrade Holding Corporati 
TNC,Tennant Company Common 
TXT,Textron Inc. Common 
TSS,Total System Services Inc. Com 
TRU,Torch Energy Royalty Trust Comm 
TREX,Trex Company Inc. Common 
TWIN,Twin Disc Incorporated 
TWTR,Twitter Inc. 
SLCA, U.S. Silica Holdings  Inc. Comm 
UMBF,UMB Financial Corporation 
UBSI,United Bankshares Inc. 
UCBI,United Community Banks Inc. 
UPS,United Parcel Service Inc. Com 
UHS,Universal Health Services Inc. 
VDSI,VASCO Data Security Internation 
VRSK,Verisk Analytics Inc. 
WM,Waste Management Inc. Common S 
WSH,Willis Group Holdings Public Li 
WYN,Wyndham Worldwide Corp Common   
ZLTQ, ZELTIQ Aesthetics  Inc. 
ASC,Ardmore Shipping Corporation 
HCA, HCA Holdings  Inc. Common 
ICLR, ICON plc 
TMUS,T-Mobile US Inc. 
AFL,AFLAC Incorporated Common 
ANAT,American National Insurance Com 
ANAD,ANADIGICS Inc. 
CNC,Centene Corporation Common Stoc 
GLW,Corning Incorporated Common Sto 
CTIC,Cell Therapeutics Inc. 
FARO,FARO Technologies Inc. 
F,Ford Motor Company Common 
FELE,Franklin Electric Co. Inc. 
LSBK,Lake Shore Bancorp Inc. 
SEE,Sealed Air Corporation Common S 
SAVE, Spirit Airlines  Inc. 
TFSL,TFS Financial Corporation 
WNC,Wabash National Corporation Com 
