WMS,WMS Industries Inc. Common Stoc 
CCG,Campus Crest Communities Inc.  
DRYS,DryShips Inc. 
MTEX,Mannatech Incorporated 
TEU, Box Ships Inc. Common Shares 
EBIO,Eleven Biotherapeutics Inc. 
KRO,Kronos Worldwide Inc Common Sto 
NL,NL Industries Inc. Common Stoc 
PRGN,Paragon Shipping Inc. Class A C 
DXM,Dex Media Inc. 
LORL,Loral Space and Communications 
WUBA,58.com Inc. 
AKBA,Akebia Therapeutics Inc. 
ALTV,Alteva Inc. 
AETI,American Electric Technologies 
CLDN,Celladon Corporation 
CGA,China Green Agriculture Inc. C 
CHCI,Comstock Holding Companies Inc 
MMAC,MMA Capital Management LLC
QBAK,Qualstar Corp. 
RCAP,RCS Capital Corporation 
REPH,Recro Pharma Inc. 
TLF,Tandy Leather Factory Inc. 
VIMC,Vimicro International Corporati 
VSLR,Vivint Solar Inc. Common
ABIO,ARCA biopharma Inc. 
HRT, Arrhythmia Research Technology  
CFBK,Central Federal Corporation 
GPIC,Gaming Partners International C 
GBIM,GlobeImmune Inc.
MGYR,Magyar Bancorp Inc. 
TIPT,Tiptree Financial Inc. 
ULTR,Ultrapetrol (Bahamas) Limited 
VGGL,Viggle Inc. 
WPT,World Point Terminals LP 
EZPW,EZCORP Inc. 
ADT, ADT Corporation Common 
ACY,AeroCentury Corp. Common 
ARL,American Realty Investors Inc. 
WEST,Westinghouse Solar Inc. 
ASTI,Ascent Solar Technologies Inc. 
ATAI,ATA Inc. 
ADAT,Authentidate Holding Corp. 
AVID,Avid Technology Inc. 
AVOL,Avolon Holdings Limited Common
BGMD, BG Medicine  Inc. 
BONA,Bona Film Group Limited 
BCLI,Brainstorm Cell Therapeutics In
CPHC,Canterbury Park Holding Corpora 
CBYL,Carbylan Therapeutics  Inc.
DL,China Distance Education Holdin 
BORN,China New Borun Corporation Ame 
ZX, China Zenix Auto International  
CLIR, ClearSign Combustion Corporatio 
CTIB,CTI Industries Corporation 
CYRN,CYREN Ltd. 
DGLY,Digital Ally Inc. 
DDS,Dillard's Inc. Common 
EGRX,Eagle Pharmaceuticals Inc. 
ECR,Eclipse Resources Corporation C
ENZY,Enzymotec Ltd. 
FOMX,Foamix Pharmaceuticals Ltd.
FRPT,Freshpet Inc.
HSKA, Heska Corporation 
HZN,Horizon Global Corporation
INNL,Innocoll AG
JST,Jinpan International Limited 
KGJI,Kingold Jewelry Inc. 
KINS,Kingstone Companies Inc 
LGL,LGL Group Inc. (The) Common St 
M,Macy's Inc Common 
MSTX,Mast Therapeutics Inc. 
MTOR, Meritor  Inc. Common 
NSEC,National Security Group Inc. 
NEFF,Neff Corporation Common
NTES,NetEase Inc. 
OXBR,Oxbridge Re Holdings Limited
PAH,Platform Specialty Products Corporation 
PLKI,Popeyes Louisiana Kitchen Inc. 
PNRG,PrimeEnergy Corporation 
PDEX,Pro-Dex Inc. 
PRPH,ProPhase Labs Inc. 
PLX,Protalix BioTherapeutics Inc.  
ROKA,Roka Bioscience Inc.
RNDY, Roundy's  Inc. Common 
SHLX,Shell Midstream Partners L.P. 
SINA,Sina Corporation 
SVA,Sinovac Biotech Ltd. 
SFS,Smart & Final Stores Inc. Comm
SPTN,Spartan Stores Inc. 
STRS,Stratus Properties Inc. 
SYNC, Synacor  Inc. 
ELOS,Syneron Medical Ltd. 
TTEK,Tetra Tech Inc. 
THTI,THT Heat Transfer Technology I 
TCI,Transcontinental Realty Investo 
USDP,USD Partners LP Common Units re
WB,Weibo Corporation 
WVVI,Willamette Valley Vineyards In 
YOKU,Youku Inc. American Depositary  
NRX,NephroGenex Inc. 
ZAZA, ZaZa Energy Corporation 
ACFN,Acorn Energy Inc. 
NAT, Nordic American Tankers Limited 
ONTX,Onconova Therapeutics Inc. 
