DRYS,DryShips Inc. 
PDII,PDI Inc. 
TEU, Box Ships Inc. Common Shares 
ABCD,Cambium Learning Group Inc. 
EBIO,Eleven Biotherapeutics Inc. 
GROW,U.S. Global Investors Inc. 
WAVX,Wave Systems Corp. 
BEBE,bebe stores inc. 
KRO,Kronos Worldwide Inc Common Sto 
NL,NL Industries Inc. Common Stoc 
DXM,Dex Media Inc. 
LORL,Loral Space and Communications 
WUBA,58.com Inc. 
AKBA,Akebia Therapeutics Inc. 
ALDX,Aldeyra Therapeutics Inc.
ALTV,Alteva Inc. 
CRTN,Cartesian Inc.
CLDN,Celladon Corporation 
CLRB,Cellectar Biosciences Inc.
CGA,China Green Agriculture Inc. C 
CHCI,Comstock Holding Companies Inc 
CYCC,Cyclacel Pharmaceuticals Inc. 
MMAC,MMA Capital Management LLC
QBAK,Qualstar Corp. 
REPH,Recro Pharma Inc. 
SANW,S&W Seed Company 
VIMC,Vimicro International Corporati 
VSLR,Vivint Solar Inc. Common
ABIO,ARCA biopharma Inc. 
HRT, Arrhythmia Research Technology  
ATOS,Atossa Genetics Inc. 
CAPR,CAPRICOR THERAP
CFBK,Central Federal Corporation 
CRWS,Crown Crafts Inc. 
FOSL,Fossil Inc. 
GPIC,Gaming Partners International C 
GBIM,GlobeImmune Inc.
GFF,Griffon Corporation Common Stoc 
ICCC, ImmuCell Corporation 
LIME,Lime Energy Co. 
MGYR,Magyar Bancorp Inc. 
RLGT, Radiant Logistics  Inc. Common  
SPP,Sappi Limited Common 
TIPT,Tiptree Financial Inc. 
VGGL,Viggle Inc. 
WPT,World Point Terminals LP 
EZPW,EZCORP Inc. 
ARL,American Realty Investors Inc. 
AMS,American Shared Hospital Servic 
WEST,Westinghouse Solar Inc. 
ASTI,Ascent Solar Technologies Inc. 
BONA,Bona Film Group Limited 
BCLI,Brainstorm Cell Therapeutics In
CPHC,Canterbury Park Holding Corpora 
CTHR,Charles & Colvard Ltd 
ZX, China Zenix Auto International  
CLIR, ClearSign Combustion Corporatio 
DDS,Dillard's Inc. Common 
INVE,Identive Group Inc. 
IMNP,Immune Pharmaceuticals Inc.
KGJI,Kingold Jewelry Inc. 
LGL,LGL Group Inc. (The) Common St 
PNRG,PrimeEnergy Corporation 
PRPH,ProPhase Labs Inc. 
SINA,Sina Corporation 
SYMX,Synthesis Energy Systems Inc. 
THTI,THT Heat Transfer Technology I 
TCI,Transcontinental Realty Investo 
WB,Weibo Corporation 
WVVI,Willamette Valley Vineyards In 
YOKU,Youku Inc. American Depositary  
PIH,1347 Property Insurance Holdings Inc. 
ADK,Adcare Health Systems Inc Commo 
AGRO, Adecoagro S.A. Common Shares 
