EFUT,eFuture Information Technology  
LITB,LightInTheBox Holding Co. Ltd. 
GMAN,Gordmans Stores Inc. 
ANF,Abercrombie & Fitch Company Com 
CCSC,Country Style Cooking Restauran 
DXLG,Destination XL Group Inc. 
FL,Footlocker Inc. 
HIBB, Hibbett Sports  Inc. 
KEYS,Keysight Technologies Inc. Comm
KUTV,Ku6 Media Co. Ltd. 
MR,Mindray Medical International L 
GAME,Shanda Games Limited 
SIRO,Sirona Dental Systems Inc. 
DAEG,Daegis Inc. 
CCIH,ChinaCache International Holdin 
JMEI,Jumei International Holding Lim
