PKE,Park Electrochemical Corporatio 
ANGO,AngioDynamics Inc. 
CUDA,Barracuda Networks Inc. 
BBBY,Bed Bath & Beyond Inc. 
EMMS,Emmis Communications Corporatio 
FINL,The Finish Line Inc. 
GBX,Greenbrier Companies Inc. (The 
HELE, Helen of Troy Limited 
JXSB,Jacksonville Bancorp Inc. 
KBH,KB Home Common 
NTIC,Northern Technologies Internati 
PSMT,PriceSmart Inc. 
RT,Ruby Tuesday Inc. Common 
SMIT, Schmitt Industries  Inc. 
SCHN, Schnitzer Steel Industries  Inc 
SNX,Synnex Corporation Common 
TSRI,TSR Inc. 
WBA,Walgreens Boots Alliance Inc.
WDFC,WD-40 Company 
STZ,Constellation Brands Inc. Comm 
