BKMU,Bank Mutual Corporation 
SKY,Skyline Corporation Common Stoc 
PRGN,Paragon Shipping Inc. Class A C 
OZRK,Bank of the Ozarks 
FRC,FIRST REPUBLIC BANK Common Stoc 
INTC,Intel Corporation 
JPM,JP Morgan Chase & Co. Common St 
RBCAA,Republic Bancorp Inc. 
RMCF,Rocky Mountain Chocolate Factor 
WNS,WNS (Holdings) Limited Sponsore 
SLP,Simulations Plus Inc. 
STAF,Staffing 360 Solutions  Inc.
WMS,WMS Industries Inc. Common Stoc 
CCG,Campus Crest Communities Inc.  
CERE, Ceres  Inc. 
CTBI,Community Trust Bancorp Inc. 
CASH,Meta Financial Group Inc. 
QIHU, Qihoo 360 Technology Co. Ltd. A 
WAFD, Washington Federal  Inc. 
TESS,TESSCO Technologies Incorporate 
WABC,Westamerica Bancorporation 
LBIX,Leading Brands Inc 
