SRCE,1st Source Corporation 
ANCX,Access National Corporation 
ADTN,ADTRAN Inc. 
BAC,Bank of America Corporation Com 
CFNB,California First National Banco 
CFNL,Cardinal Financial Corporation 
SCHW,Charles Schwab Corporation (The 
CMA,Comerica Incorporated Common St 
CREE,Cree Inc. 
DAL,Delta Air Lines Inc. (New) Comm 
EBAY,eBay Inc. 
FFKT,Farmers Capital Bank Corporatio 
FNLC,First Bancorp Inc (ME) 
FCCO,First Community Corporation 
FCFP,First Community Financial Partners  Inc.
FHN,First Horizon National Corporat 
FULT,Fulton Financial Corporation 
GBNK,Guaranty Bancorp 
GFED,Guaranty Federal Bancshares In 
IBKR, Interactive Brokers Group  Inc. 
IBM, International Business Machines 
LLTC,Linear Technology Corporation 
MBWM,Mercantile Bank Corporation 
MS,Morgan Stanley Common 
NLS,Nautilus Inc. Common 
NFLX,Netflix Inc. 
EDU,New Oriental Education & Techno 
OSBC,Old Second Bancorp Inc. 
OMN,OMNOVA Solutions Inc. Common St 
ORRF,Orrstown Financial Services Inc 
PNFP,Pinnacle Financial Partners In 
RNST,Renasant Corporation 
OKSB,Southwest Bancorp Inc. 
SNV,Synovus Financial Corp. Common  
AMTD,TD Ameritrade Holding Corporati 
UNB,Union Bankshares Inc. 
URI,United Rentals Inc. Common Sto 
UBFO, United Security Bancshares 
UNH,UnitedHealth Group Incorporated 
VSBN,VSB Bancorp Inc. (NY) 
WTFC,Wintrust Financial Corporation 
WWD, Woodward  Inc. 
AMD,Advanced Micro Devices Inc. Co 
MTB,M&T Bank Corporation Common Sto 
