AFFX,Affymetrix Inc. 
GMCR,Green Mountain Coffee Roasters 
SCCO,Southern Copper Corporation Com 
FWM,Fairway Group Holdings Corp. 
FARM,Farmer Brothers Company 
HRG, Harbinger Group Inc Common Stoc 
LF,Leapfrog Enterprises Inc Common 
FELP,Foresight Energy LP Common Unit
GENC,Gencor Industries Inc. 
JOUT,Johnson Outdoors Inc. 
AIRT,Air T Inc. 
AME,AMETEK Inc. 
BOTA,Biota Pharmaceuticals Inc. 
BPY,Brookfield Property Partners L.P. 
CME,CME Group Inc. 
EL,Estee Lauder Companies Inc. (T 
FNFG,First Niagara Financial Group I 
GBDC, Golub Capital BDC  Inc. 
MINI,Mobile Mini Inc. 
MCO,Moody's Corporation Common Stoc 
MSGN,MSG Networks Inc.
WY,Weyerhaeuser Company Common Sto 
WGL,WGL Holdings IncCommon 
WETF, WisdomTree Investments  Inc. 
OB,OneBeacon Insurance Group Ltd. 
ARCW,Arc Wireless Solutions Inc. 
BECN,Beacon Roofing Supply Inc. 
CBM,Cambrex Corporation Common Stoc 
CGA,China Green Agriculture Inc. C 
SIRO,Sirona Dental Systems Inc. 
TSN,Tyson Foods Inc. Common 
USG,USG Corporation Common 
