SCCO,Southern Copper Corporation Com 
SFUN,SouFun Holdings Limited America 
GROW,U.S. Global Investors Inc. 
BIDU,Baidu Inc. 
LBTYA,Liberty Global Inc. 
ALX,Alexander's Inc. Common 
AMC,AMC Entertainment Holdings Inc. 
CJJD,China Jo-Jo Drugstores Inc. 
CPSS,Consumer Portfolio Services In 
FANG, Diamondback Energy  Inc. 
FDP,Fresh Del Monte Produce Inc. C 
GLF,GulfMark Offshore Inc. New Com 
HLX, Helix Energy Solutions Group  I 
MAMS,MAM Software Group Inc. 
MSA,Mine Safety Appliances Company  
NTES,NetEase Inc. 
PTIE,Pain Therapeutics 
POPE,Pope Resources 
QIHU, Qihoo 360 Technology Co. Ltd. A 
SPTN,Spartan Stores Inc. 
TNH,Terra Nitrogen Company L.P. Co 
TRT,Trio-Tech International Common  
VNOM,Viper Energy Partners LP
VIPS, Vipshop Holdings Limited Americ 
WWW,Wolverine World Wide Inc. Comm 
ZPIN,Zhaopin Limited American Deposi
CYH,Community Health Systems Inc.  
