BBSI,Barrett Business Services Inc. 
TNGO, Tangoe  Inc. 
CPSS,Consumer Portfolio Services In 
FDP,Fresh Del Monte Produce Inc. C 
QIHU, Qihoo 360 Technology Co. Ltd. A 
WWW,Wolverine World Wide Inc. Comm 
ANGI, Angie's List  Inc. 
CVG,Convergys Corporation Common St 
REXX, Rex Energy Corporation 
ANIP,ANI Pharmaceuticals Inc. 
IRC,Inland Real Estate Corporation  
NM,Navios Maritime Holdings Inc. C 
ABY,Abengoa Yield plc
ANAT,American National Insurance Com 
AMRS,Amyris Inc. 
CPRT,Copart Inc. 
DY,Dycom Industries Inc. Common S 
EXPD,Expeditors International of Was 
FSLR,First Solar Inc. 
HNSN, Hansen Medical  Inc. 
NKTR,Nektar Therapeutics 
NYMT,New York Mortgage Trust Inc. 
OPXA,Opexa Therapeutics Inc. 
RWT,Redwood Trust Inc. Common Stoc 
RJET,Republic Airways Holdings Inc. 
SSW,Seaspan Corporation Seaspan Cor 
SF,Stifel Financial Corporation Co 
VRSK,Verisk Analytics Inc. 
VVUS,VIVUS Inc. 
ZAGG,ZAGG Inc 
AAC,AAC Holdings Inc. Common
ACPW,Active Power Inc. 
AER,Aercap Holdings N.V. Ordinary S 
ALDR,Alder BioPharmaceuticals Inc.
Y,Alleghany Corporation Common St 
ALQA,Alliqua Inc. 
AFAM,Almost Family Inc 
AREX,Approach Resources Inc. 
WTR,Aqua America Inc. Common 
ARC, American Reprographics Company  
ARDX,Ardelyx Inc.
ARIA,ARIAD Pharmaceuticals Inc. 
ATRC,AtriCure Inc. 
CAR,Avis Budget Group Inc. 
BNFT,Benefitfocus Inc. 
BCRX,BioCryst Pharmaceuticals Inc. 
HAWK,Blackhawk Network Holdings Inc. 
BBRG,Bravo Brio Restaurant Group In 
CZR, Caesars Entertainment Corporati 
PRSS, CafePress Inc. 
CRCM,Care.com Inc. 
CTG,Computer Task Group Inc. 
CTB,Cooper Tire & Rubber Company Co 
CBRL,Cracker Barrel Old Country Stor 
CEQP,Crestwood Equity Partners LP 
CONE,Cyrusone Inc. 
DAKT,Daktronics Inc. 
DXCM,DexCom Inc. 
DRH,Diamondrock Hospitality Company 
DWA,Dreamworks Animation SKG Inc. 
ECL,Ecolab Inc. Common 
EIX,Edison International Common Sto 
ENPH, Enphase Energy  Inc. 
ESCA,Escalade Incorporated 
EXAM,ExamWorks Group Inc. Common St 
EXLS,ExlService Holdings Inc. 
STAY,Extended Stay America Inc. 
EXR,Extra Space Storage Inc Common  
FIVN,Five9 Inc. 
FMI,Foundation Medicine Inc. 
FELE,Franklin Electric Co. Inc. 
FTR,Frontier Communications Corpora 
GNMK,GenMark Diagnostics Inc. 
LAND,Gladstone Land Corporation 
GLNG,Golar LNG Limited 
GLDD,Great Lakes Dredge & Dock Corpo 
HCKT, The Hackett Group  Inc. 
HLS, HealthSouth Corporation Common  
HL, Hecla Mining Company Common Sto 
HF, HFF  Inc. Common 
HD, Home Depot  Inc. (The) Common S 
ICLR, ICON plc 
INFI,Infinity Pharmaceuticals Inc. 
INSY,INSYS Therapeutics Inc. 
XENT,Intersect ENT Inc.
ISLE,Isle of Capri Casinos Inc. 
XXIA,Ixia 
KRA,Kraton Performance Polymers In 
LAMR,Lamar Advertising Company 
LXP,Lexington Realty Trust Common S 
LXK,Lexmark International Inc. Com 
LECO,Lincoln Electric Holdings Inc. 
M,Macy's Inc Common 
MASI,Masimo Corporation 
MDXG,MiMedx Group Inc. 
MCRI,Monarch Casino & Resort Inc. 
NATL,National Interstate Corporation 
NCLH,Norwegian Cruise Line Holdings Ltd. 
DNOW,NOW Inc. Common
ODP,Office Depot Inc. Common 
ORA,Ormat Technologies Inc. Common 
PZZA,Papa John'S International Inc. 
PGRE,Paramount Group Inc. Common St
PEI,Pennsylvania Real Estate Invest 
