TNGO, Tangoe  Inc. 
ABY,Abengoa Yield plc
BCPC,Balchem Corporation 
CRIS,Curis Inc. 
GB,Greatbatch Inc. Common 
OCN,Ocwen Financial Corporation NEW 
PACD, Pacific Drilling S.A. Common Sh 
SSW,Seaspan Corporation Seaspan Cor 
WAC,Walter Investment Management Co 
ZAGG,ZAGG Inc 
LINE,Linn Energy LLC 
CO,China Cord Blood Corporation. C 
GMLP, Golar LNG Partners LP 
ACAD,ACADIA Pharmaceuticals Inc. 
ASCMA,Ascent Capital Group Inc. 
BCEI, Bonanza Creek Energy  Inc. Comm 
CROX,Crocs Inc. 
HBIO, Harvard Bioscience  Inc. 
JMI, Javelin Mortgage Investment Cor 
NVAX,Novavax Inc. 
RMTI,Rockwell Medical Inc. 
CKH,SEACOR Holdings Inc. Common Sto 
JOE,St. Joe Company (The) Common St 
TERP,TerraForm Power Inc.
TPC,Tutor Perini Corporation Common 
IEP, Icahn Enterprises L.P. 
DDD,3D Systems Corporation Common S 
ACTA,Actua Corporation
ACUR,Acura Pharmaceuticals Inc. 
AEGN, Aegion Corp 
ASPS,Altisource Portfolio Solutions  
RESI,Altisource Residential Corporation 
AMC,AMC Entertainment Holdings Inc. 
APEI,American Public Education Inc. 
ANAC,Anacor Pharmaceuticals Inc. 
APIC,Apigee Corporation
ARNA,Arena Pharmaceuticals Inc. 
ARES,Ares Management L.P. Common Uni
ARQL,ArQule Inc. 
ATML,Atmel Corporation 
AXGN,AxoGen Inc. 
BRX,Brixmor Property Group Inc. Com 
BSFT,BroadSoft Inc. 
CACQ,Caesars Acquisition Company 
CRC,Chromcraft Revington Inc. Comm 
CKEC,Carmike Cinemas Inc. 
CMRX,Chimerix Inc. 
CHRS,Coherus BioSciences Inc.
CODI,Compass Diversified Holdings Sh 
CTCM,CTC Media Inc. 
CMLS,Cumulus Media Inc. 
DPLO,Diplomat Pharmacy Inc. Common
DRRX,DURECT Corporation 
EBIX,Ebix Inc 
ENDP,Endo Health Solutions Inc. 
ESGR,Enstar Group Limited 
EVEP,EV Energy Partners L.P. 
EXEL,Exelixis Inc. 
FSS,Federal Signal Corporation Comm 
FDML,Federal-Mogul Corporation 
FOXF,Fox Factory Holding Corp 
FI,Franks International N.V. 
FSIC,FS Investment Corporation Commo 
GLP,Global Partners LP Global Partn 
GTE, Gran Tierra Energy Inc. Common  
HALO, Halozyme Therapeutics  Inc. 
HYH,Halyard Health Inc. Common Sto
HTZ, Hertz Global Holdings  Inc Comm 
HZNP, Horizon Pharma  Inc. 
HHC, Howard Hughes Corporation (The) 
IMN,Imation Corporation Common Stoc 
IPI,Intrepid Potash Inc Common Sto 
JPEP,JP Energy Partners LP Common un
JUNO,JUNO THERAPEUTICS INC.
KAMN,Kaman Corporation Common 
LXU,LSB Industries Inc. Common Sto 
LL,Lumber Liquidators Holdings In 
MGNX,MacroGenics Inc. 
MGLN,Magellan Health Services Inc. 
MBI,MBIA Inc. Common 
MEET, MeetMe  Inc. Common 
MCEP, Mid-Con Energy Partners  LP 
NSTG,NanoString Technologies Inc. 
NVRO,Nevro Corp. Common
NMFC, New Mountain Finance Corporatio 
NCT,Newcastle Investment Corporatio 
NLNK, NewLink Genetics Corporation 
NTK, Nortek Inc. 
NRG,NRG Energy Inc. Common 
OPWR,OPOWER Inc. 
OA,Orbital ATK Inc. Common
PARR,Par Petroleum Corporation.  Com
PEGI,Pattern Energy Group Inc. 
DOC,Physicians Realty Trust 
PNTR, Pointer Telocation Ltd. 
PGND,Press Ganey Holdings  Inc.
PBYI,Puma Biotechnology Inc. 
RNET,RigNet Inc. 
RSE, Rouse Properties  Inc. Common S 
SALT,Scorpio Bulkers Inc. 
STNG,Scorpio Tankers Inc. Common Sha 
SJI,South Jersey Industries Inc. C 
SP,SP Plus Corporation 
SBLK,Star Bulk Carriers Corp. 
STON,StoneMor Partners L.P. Common U 
SNHY,Sun Hydraulics Corporation 
SYKE,Sykes Enterprises Incorporated 
SYNL,Synalloy Corporation 
TASR,TASER International Inc. 
TCPC, TCP Capital Corp. 
TLGT,Teligent  Inc.
TG,Tredegar Corporation Common Sto 
TRCO,Tribune Media Company Class A C
TUBE,TubeMogul Inc.
TOUR,Tuniu Corporation
VGR,Vector Group Ltd. Common 
FUR,Winthrop Realty Trust New Commo 
WDAY, Workday  Inc. Common 
ZLTQ, ZELTIQ Aesthetics  Inc. 
HMLP,Hoegh LNG Partners LP Common Un
OPK,OPKO Health Inc. Common 
OFIX,Orthofix International N.V. 
TNET,TriNet Group Inc. 
BZUN,Baozun Inc.
KITE,Kite Pharma Inc.
SFL,Ship Finance International Limi 
MOBI,Sky-mobi Limited 
GLBL,TerraForm Global
NVGS,Navigator Holdings Ltd. 
PAH,Platform Specialty Products Corporation 
RSO,Resource Capital Corp. Resource 
