REXX, Rex Energy Corporation 
LINE,Linn Energy LLC 
AREX,Approach Resources Inc. 
GCAP,GAIN Capital Holdings Inc. Com 
HBIO, Harvard Bioscience  Inc. 
MENT,Mentor Graphics Corporation 
SNMX,Senomyx Inc. 
UNXL, Uni-Pixel  Inc. 
TORM,TOR Minerals International Inc 
ASPS,Altisource Portfolio Solutions  
CTCM,CTC Media Inc. 
LADR,Ladder Capital Corp 
NCT,Newcastle Investment Corporatio 
TLGT,Teligent  Inc.
BONA,Bona Film Group Limited 
CASM,CAS Medical Systems Inc. 
CPIX,Cumberland Pharmaceuticals Inc. 
KODK,Eastman Kodak Co. 
NAV,Navistar International Corporat 
UDF,United Development Funding IV
WMK,Weis Markets Inc. Common 
BVA,Cordia Bancorp Inc. 
EVOK,Evoke Pharma Inc. 
MTEX,Mannatech Incorporated 
MLR,Miller Industries Inc. Common  
POWR,PowerSecure International Inc 
RELV,Reliv' International Inc. 
CAS,Castle (A.M.) & Co. Common Stoc 
ACHN,Achillion Pharmaceuticals Inc. 
AGEN,Agenus Inc. 
ADC,Agree Realty Corporation Common 
AIMT,Aimmune Therapeutics
ALSK,Alaska Communications Systems G 
APT,Alpha Pro Tech Ltd. Common Sto 
AMBA, Ambarella  Inc. 
AMDA,Amedica Corporation 
AMRC,Ameresco Inc. Class A Common S 
AAVL,Avalanche Biotechnologies Inc.
BKS,Barnes & Noble Inc. Common Sto 
AVGO,Avago Technologies Limited 
BURL,Burlington Stores Inc. 
ABCD,Cambium Learning Group Inc. 
TAST,Carrols Restaurant Group Inc. 
CECE,CECO Environmental Corp. 
CKP,Checkpoint Systms Inc. Common  
STV,China Digital TV Holding Co. L 
BORN,China New Borun Corporation Ame 
CIEN,Ciena Corporation 
CLNE,Clean Energy Fuels Corp. 
CDXS,Codexis Inc. 
CGNT,Cogentix Medical  Inc.
CSAL,Communications Sales & Leasing  Inc.
COO,Cooper Companies Inc. (The) Co 
CYTX,Cytori Therapeutics Inc 
DMND,Diamond Foods Inc. 
DVCR,Diversicare Healthcare Services Inc. 
BOOM,Dynamic Materials Corporation 
DVAX,Dynavax Technologies Corporatio 
EMG,Emergent Capital  Inc.
GI,EndoChoice Holdings  Inc.
ERII,Energy Recovery Inc. 
EGL, Engility Holdings  Inc. Common  
FDUS, Fidus Investment Corporation 
FOMX,Foamix Pharmaceuticals Ltd.
TFM,The Fresh Market Inc. 
ENT,Global Eagle Entertainment Inc. 
GSBD,Goldman Sachs BDC Inc.
GTT,GTT Communications Inc. 
GTXI, GTx  Inc. 
HCI,HCI Group Inc. 
HIIQ,Health Insurance Innovations Inc. 
HPE,Hewlett Packard Enterprise Company
HSON, Hudson Global  Inc. 
IDT, IDT Corporation New Preferred S 
IRG, Ignite Restaurant Group  Inc. 
ISNS,Image Sensing Systems Inc. 
HIFR,InfraREIT Inc. Common
SNAK,Inventure Foods Inc. 
IRIX,IRIDEX Corporation 
DATE, Jiayuan.com International Ltd. 
JSDA,Jones Soda Co. 
JOY, Joy Global Inc. Common 
KTWO,K2M Group Holdings Inc.
KOPN,Kopin Corporation 
MNTX,Manitex International Inc. 
MEI,Methode Electronics Inc. Commo 
MSEX,Middlesex Water Company 
MYRG,MYR Group Inc. 
NAVB, Navidea Biopharmaceuticals  Inc 
NMBL,Nimble Storage Inc. 
OEC,Orion Engineered Carbons S.A Co
OSIR,Osiris Therapeutics Inc. 
PRFT,Perficient Inc. 
PFSW,PFSweb Inc. 
PLNT,Planet Fitness
REIS,Reis Inc 
SFE,Safeguard Scientifics Inc. New 
SPP,Sappi Limited Common 
BFS,Saul Centers Inc. Common 
SWHC,Smith & Wesson Holding Corporat 
LOV,Spark Networks Inc. Common Sto 
SSI,Stage Stores Inc. Common 
SCM,Stellus Capital Investment Corporation 
SGM,Stonegate Mortgage Corporation 
SSYS,Stratasys Inc. 
SSH, Sunshine Heart Inc 
SYRX,Sysorex Global Holdings Corp. 
TECD,Tech Data Corporation 
KR,Kroger Company (The) Common Sto 
TBRA,Tobira Therapeutics  Inc.
BLD,TopBuild Corp.
TWMC,Trans World Entertainment Corp. 
TACT,TransAct Technologies Incorpora 
TREC,Trecora Resources Common
TRMR,Tremor Video Inc. 
TSL,Trina Solar Limited Sponsored A 
USCR, U S Concrete  Inc. 
VTAE,Vitae Pharmaceuticals Inc.
WHF,WhiteHorse Finance  Inc. 
XOXO, XO Group  Inc. Common 
YY,YY Inc. 
SHLO,Shiloh Industries Inc. 
USPH,U.S. Physical Therapy Inc. 
EYES,Second Sight Medical Products
THLD,Threshold Pharmaceuticals Inc. 
TNXP,Tonix Pharmaceuticals Holding Corp 
DERM,Dermira Inc.
VSTM, Verastem  Inc. 
IFON, InfoSonics Corp 
