LITB,LightInTheBox Holding Co. Ltd. 
MCUR,Macrocure Ltd.
RFIL,RF Industries Ltd. 
CIFC,CIFC Corp. 
CBAY,CymaBay Therapeutics Inc.
EJ,E-House (China) Holdings Limite 
RENN,Renren Inc. American Depositary 
ROSG, Rosetta Genomics Ltd. 
TNGO, Tangoe  Inc. 
TENX,Tenax Therapeutics Inc.
GPIC,Gaming Partners International C 
MBLX,Metabolix Inc. 
URRE,Uranium Resources Inc. 
YOKU,Youku Inc. American Depositary  
AETI,American Electric Technologies 
DXLG,Destination XL Group Inc. 
GAI,Global-Tech Advanced Innovation 
GMAN,Gordmans Stores Inc. 
ICLD,InterCloud Systems Inc. 
JP,Jupai Holdings Limited
MDLY,Medley Management Inc. Class A
SVT, Servotronics  Inc. Common 
TIF,Tiffany & Co. Common 
OCIP,OCI Partners LP 
