CTCM,CTC Media Inc. 
OSIR,Osiris Therapeutics Inc. 
ICON, Iconix Brand Group  Inc. 
CDTI,Clean Diesel Technologies Inc. 
FTEK,Fuel Tech Inc. 
STEM,StemCells Inc. 
ROSG, Rosetta Genomics Ltd. 
CCL,Carnival Corporation Common Sto 
JRJC,China Finance Online Co. Limite 
CREG,China Recycling Energy Corporat 
ESSX,Essex Rental Corporation 
LUB,Luby's Inc. Common 
UG,United-Guardian Inc. 
APOL,Apollo Group Inc. 
AFMD,Affimed N.V.
ASUR,Asure Software Inc 
CTIB,CTI Industries Corporation 
DPRX,Dipexium Pharmaceuticals LLC 
ELTK,Eltek Ltd. 
EVLV,EVINE Live Inc.
FWP,Forward Pharma A/S
FRAN, Francesca's Holdings Corporatio 
FRED,Fred's Inc. 
GIS,General Mills Inc. Common Stoc 
GLRI,Glori Energy Inc. 
HMPR, Hampton Roads Bankshares Inc 
FUL,H. B. Fuller Company Common Sto 
JTPY,JetPay Corporation 
KBH,KB Home Common 
NTZ,Natuzzi S.p.A. 
NEOG,Neogen Corporation 
OTIV,On Track Innovations Ltd 
OXM,Oxford Industries Inc. Common  
PRPH,ProPhase Labs Inc. 
PVH,PVH Corp. Common 
REPH,Recro Pharma Inc. 
REED,Reeds Inc. 
REX,REX American Resources Corporat 
SIGM,Sigma Designs Inc. 
YGE,Yingli Green Energy Holding Com 
ACRS,Aclaris Therapeutics  Inc.
IMMY,Imprimis Pharmaceuticals Inc. 
RESN,Resonant Inc.
CELP,Cypress Energy Partners L.P. 
NAVB, Navidea Biopharmaceuticals  Inc 
