RENN,Renren Inc. American Depositary 
YOKU,Youku Inc. American Depositary  
YGE,Yingli Green Energy Holding Com 
QIHU, Qihoo 360 Technology Co. Ltd. A 
DANG,E-Commerce China Dangdang Inc.  
KEN,Kenon Holdings Ltd.
SBSA,Spanish Broadcasting System In 
PRGN,Paragon Shipping Inc. Class A C 
BKSC, Bank of South Carolina Corp. 
TISI,Team Inc. Common 
XUE,Xueda Education Group American  
CAFD,8point3 Energy Partners LP
BBBY,Bed Bath & Beyond Inc. 
STZ,Constellation Brands Inc. Comm 
GPN,Global Payments Inc. Common Sto 
DATE, Jiayuan.com International Ltd. 
MG,Mistras Group Inc Common 
MON,Monsanto Company Common 
MSM,MSC Industrial Direct Company  
OLLI,Ollies Bargain Outlet Holdings  Inc.
RELL,Richardson Electronics Ltd. 
RPM,RPM International Inc. Common S 
CERE, Ceres  Inc. 
OSIR,Osiris Therapeutics Inc. 
STE,STERIS Corporation Common 
APOG,Apogee Enterprises Inc. 
CHSCP, CHS Inc 
