BONA,Bona Film Group Limited 
RENN,Renren Inc. American Depositary 
YGE,Yingli Green Energy Holding Com 
QIHU, Qihoo 360 Technology Co. Ltd. A 
DANG,E-Commerce China Dangdang Inc.  
HOFT, Hooker Furniture Corporation 
DATE, Jiayuan.com International Ltd. 
NTIC,Northern Technologies Internati 
AJRD,Aerojet Rocketdyne Holdings  Inc.
ANGO,AngioDynamics Inc. 
CAG,ConAgra Foods Inc. Common Stoc 
DLTH,Duluth Holdings Inc.
FFHL,Fuwei Films (Holdings) Co. Ltd 
GLDC, Golden Enterprises  Inc. 
GRIF,Griffin Land & Nurseries Inc. 
ICLD,InterCloud Systems Inc. 
PSMT,PriceSmart Inc. 
RECN,Resources Connection Inc. 
RAD,Rite Aid Corporation Common Sto 
RT,Ruby Tuesday Inc. Common 
SEAC,SeaChange International Inc. 
WDFC,WD-40 Company 
ADXS,Advaxis Inc. 
CERE, Ceres  Inc. 
OSIR,Osiris Therapeutics Inc. 
STE,STERIS Corporation Common 
CHSCP, CHS Inc 
KMX,CarMax Inc 
