TISI,Team Inc. Common 
ADXS,Advaxis Inc. 
STE,STERIS Corporation Common 
BBSI,Barrett Business Services Inc. 
CTBI,Community Trust Bancorp Inc. 
JCTCF,Jewett-Cameron Trading Company 
TPLM,Triangle Petroleum Corporation  
CCCL,China Ceramics Co. Ltd. 
HYF, Managed High Yield Plus Fund  I 
MRTN,Marten Transport Ltd. 
SGL, Strategic Global Income Fund  I 
BKMU,Bank Mutual Corporation 
BNK,C1 Financial Inc. Common
CAW,CCA Industries Inc. Common Sto 
CVCY, Central Valley Community Bancor 
CNS,Cohn & Steers Inc Common 
CBSH,Commerce Bancshares Inc. 
CPSS,Consumer Portfolio Services In 
GBNK,Guaranty Bancorp 
JPM,JP Morgan Chase & Co. Common St 
LUB,Luby's Inc. Common 
MFRI,MFRI Inc. 
PIR,Pier 1 Imports Inc. Common Sto 
TCPI,TCP International Holdings Ltd.
TITN,Titan Machinery Inc. 
TBIO,Transgenomic Inc.
VSBN,VSB Bancorp Inc. (NY) 
WAFD, Washington Federal  Inc. 
WSO,Watsco Inc. Common 
WINA,Winmark Corporation 
SLP,Simulations Plus Inc. 
ASRV,AmeriServ Financial Inc. 
MSG,The Madison Square Garden Compa 
QKLS,QKL Stores Inc. 
TNGO, Tangoe  Inc. 
