ACTG,Acacia Research Corporation 
AEP,American Electric Power Company 
AGEN,Agenus Inc. 
AHL,Aspen Insurance Holdings Limite 
ALK,Alaska Air Group Inc. Common S 
AMD,Advanced Micro Devices Inc. Co 
AMNB,American National Bankshares I 
AMRB,American River Bankshares 
ANAT,American National Insurance Com 
ASPS,Altisource Portfolio Solutions  
AWRE,Aware Inc. 
AZZ,AZZ Incorporated Common 
BBT,BB&T Corporation Common 
BGS,B&G Foods Inc. B&G Foods Inc. 
BHE,Benchmark Electronics Inc. Com 
BIIB,Biogen Idec Inc. 
BJRI,BJ's Restaurants Inc. 
BK,Bank of New York Mellon Corpora 
BNCN,BNC Bancorp 
BSRR,Sierra Bancorp 
BX,The Blackstone Group L.P. Commo 
CCI,Crown Castle International Corp 
CHCO,City Holding Company 
CKH,SEACOR Holdings Inc. Common Sto 
CLFD,Clearfield Inc. 
COBZ,CoBiz Financial Inc. 
COL,Rockwell Collins Inc. Common S 
CPF,Central Pacific Financial Corp  
CVTI,Covenant Transportation Group  
DAN,Dana Holding Corporation Common 
DGX,Quest Diagnostics Incorporated  
DHI,D.R. Horton Inc. Common 
DHR,Danaher Corporation Common Stoc 
DST,DST Systems Inc. Common 
EBTC,Enterprise Bancorp Inc 
ETFC,E*TRADE Financial Corporation 
FBMS,The First Bancshares Inc. 
FCFS,First Cash Financial Services  
FCS,Fairchild Semiconductor Interna 
FFBC,First Financial Bancorp. 
FFKT,Farmers Capital Bank Corporatio 
FFNW,First Financial Northwest Inc. 
FICO,Fair Isaac Incorporated Commo 
FRBK,Republic First Bancorp Inc. 
FTK,Flotek Industries Inc. Common  
FWRD,Forward Air Corporation 
GBCI,Glacier Bancorp Inc. 
GMT,GATX Corporation Common 
INDB,Independent Bank Corp. 
JAH,Jarden Corporation Common 
JAKK,JAKKS Pacific Inc. 
JCI,Johnson Controls Inc. Common S 
KCG,Knight Capital Group Inc. Clas 
KEY,KeyCorp Common 
KNL,Knoll Inc. Common 
LAD,Lithia Motors Inc. Common Stoc 
LAKE,Lakeland Industries Inc. 
LBAI,Lakeland Bancorp Inc. 
LHO,LaSalle Hotel Properties Common 
LUV,Southwest Airlines Company Comm 
LYTS,LSI Industries Inc. 
MAN,ManpowerGroup Common 
MCBC,Macatawa Bank Corporation 
MDSO,Medidata Solutions Inc. 
MFSF,MutualFirst Financial Inc. 
MGYR,Magyar Bancorp Inc. 
MLI,Mueller Industries Inc. Common 
MOFG,MidWestOne Financial Group Inc 
MSFT,Microsoft Corporation 
MSG,The Madison Square Garden Compa 
MTSN,Mattson Technology Inc. 
MTX,Minerals Technologies Inc. Comm 
MXIM,Maxim Integrated Products Inc. 
MXWL,Maxwell Technologies Inc. 
NKSH,National Bankshares Inc. 
NSC,Norfolk Southern Corporation Co 
NUE,Nucor Corporation Common 
NURO,NeuroMetrix Inc. 
NVR,NVR Inc. Common 
NWBI,Northwest Bancshares Inc. 
NWFL,Norwood Financial Corp. 
OCFC,OceanFirst Financial Corp. 
OPOF,Old Point Financial Corporation 
ORRF,Orrstown Financial Services Inc 
OSBC,Old Second Bancorp Inc. 
OSN,Ossen Innovation Co. Ltd. 
OVLY,Oak Valley Bancorp (CA) 
PACB,Pacific Biosciences of Californ 
PBCT,People's United Financial Inc. 
PFBX,Peoples Financial Corporation 
PHM,PulteGroup Inc. Common 
PII,Polaris Industries Inc. Common  
PJC,Piper Jaffray Companies Common  
PNK,Pinnacle Entertainment Inc. Co 
POOL,Pool Corporation 
PPG,PPG Industries Inc. Common Sto 
PRGN,Paragon Shipping Inc. Class A C 
PTSI,P.A.M. Transportation Services 
RBPAA,Royal Bancshares of Pennsylvani 
RCKY,Rocky Brands Inc. 
RCL,Royal Caribbean Cruises Ltd. Co 
RTIX,RTI Biologics Inc. 
SAM,Boston Beer Company Inc. (The) 
SASR,Sandy Spring Bancorp Inc. 
SFNC,Simmons First National Corporat 
SGB,Southwest Georgia Financial Cor 
SGMO,Sangamo BioSciences Inc. 
SHBI,Shore Bancshares Inc 
SHOR,ShoreTel Inc. 
SHW,Sherwin-Williams Company (The)  
SIFI,SI Financial Group Inc. 
SIVB,SVB Financial Group 
SKX,Skechers U.S.A. Inc. Common St 
SLB,Schlumberger N.V. Common 
SNA,Snap-On Incorporated Common Sto 
SPSC,SPS Commerce Inc. 
SRCE,1st Source Corporation 
SSD,Simpson Manufacturing Company  
STBA,S&T Bancorp Inc. 
STND,Standard Financial Corp. 
STRT,Strattec Security Corporation 
STS,Supreme Industries Inc. Common 
SWFT,Swift Transportation Company Cl 
SWK,Stanley Black & Decker Inc. Co 
SWN,Southwestern Energy Company Com 
SYNT,Syntel Inc. 
TPLM,Triangle Petroleum Corporation  
TRN,Trinity Industries Inc. Common 
TRST,TrustCo Bank Corp NY 
TRV,The Travelers Companies Inc. C 
TZOO,Travelzoo Inc. 
UA,Under Armour Inc. Class A Comm 
UBOH,United Bancshares Inc. 
UCTT,Ultra Clean Holdings Inc. 
UIS,Unisys Corporation New Common S 
UNP,Union Pacific Corporation Commo 
USG,USG Corporation Common 
UTEK,Ultratech Inc. 
UTL,UNITIL Corporation Common 
VISN,VisionChina Media Inc. 
VZ,Verizon Communications Inc. Com 
WABC,Westamerica Bancorporation 
WAL,Western Alliance Bancorporation 
WIRE,Encore Wire Corporation 
WRI,Weingarten Realty Investors Com 
BANC, First PacTrust Bancorp  Inc. 
EMCF, Emclaire Financial Corp 
FITB, Fifth Third Bancorp 
HA, Hawaiian Holdings  Inc. 
HBI, Hanesbrands Inc. Common 
HBMD, Howard Bancorp  Inc. 
HBNC, Horizon Bancorp (IN) 
HFWA, Heritage Financial Corporation 
HNI, HNI Corp Common 
HOMB, Home BancShares  Inc. 
HTBK, Heritage Commerce Corp 
IIIN, Insteel Industries  Inc. 
IMAX, Imax Corporation Common 
IMH, Impac Mortgage Holdings  Inc. C 
IQNT, Neutral Tandem  Inc. 
MORN, Morningstar  Inc. 
NBHC, National Bank Holdings Corporat 
PFPT, Proofpoint  Inc. 
TCFC,The Community Financial Corp. 
SBFG,SB Financial Group Inc. 
HMNF,HMN Financial Inc. 
INBK,First Internet Bancorp 
CHMG,Chemung Financial Corporation 
CART,Carolina Trust Bank 
YDKN,Yadkin Financial Corporation 
GOOGL,Alphabet Inc.
HFBL,Home Federal Bancorp Inc. of Louisiana 
MDWD,MediWound Ltd. 
TRCB,Two River Bancorp 
