ACW,Accuride Corporation Common Sto 
ADC,Agree Realty Corporation Common 
AGNC,American Capital Agency Corp. 
AI,Arlington Asset Investment Corp 
BANR,Banner Corporation 
BHLB,Berkshire Hills Bancorp Inc. 
BOH,Bank of Hawaii Corporation Comm 
BPOP,Popular Inc. 
CACC,Credit Acceptance Corporation 
CBM,Cambrex Corporation Common Stoc 
CBNJ,Cape Bancorp Inc. 
CBU,Community Bank System Inc. Com 
CCBG,Capital City Bank Group 
CDNS,Cadence Design Systems Inc. 
CMP,Compass Minerals Intl Inc Commo 
CPSS,Consumer Portfolio Services In 
CR,Crane Company Common 
CSFL,CenterState Banks Inc. 
CSV,Carriage Services Inc. Common  
CTCM,CTC Media Inc. 
CTS,CTS Corporation Common 
CWBC,Community West Bancshares 
CYOU,Changyou.com Limited 
CZWI,Citizens Community Bancorp Inc 
DEL,Deltic Timber Corporation Commo 
DLB,Dolby Laboratories Common 
ETH,Ethan Allen Interiors Inc. Comm 
EVBS,Eastern Virginia Bankshares In 
FIBK,First Interstate BancSystem In 
GLF,GulfMark Offshore Inc. New Com 
JJSF,J & J Snack Foods Corp. 
KKR,KKR & Co. L.P. Common Units Rep 
LH,Laboratory Corporation of Ameri 
MDCA,MDC Partners Inc. 
MKSI,MKS Instruments Inc. 
MLP,Maui Land & Pineapple Company  
MNDO,MIND C.T.I. Ltd. 
NBR,Nabors Industries Ltd. 
NBTB,NBT Bancorp Inc. 
NXPI,NXP Semiconductors N.V. 
OMI,Owens & Minor Inc. Common Stoc 
ORIT,Oritani Financial Corp. 
OSTK,Overstock.com Inc. 
OVBC,Ohio Valley Banc Corp. 
PMBC,Pacific Mercantile Bancorp 
PMD,Psychemedics Corporation 
PRGN,Paragon Shipping Inc. Class A C 
PXD,Pioneer Natural Resources Compa 
RE,Everest Re Group Ltd. Common S 
ROP,Roper Industries Inc. Common S 
SAL,Salisbury Bancorp Inc. Common  
SANM,Sanmina-SCI Corporation 
SCCO,Southern Copper Corporation Com 
SMMF,Summit Financial Group Inc. 
SOHU,Sohu.com Inc. 
SSW,Seaspan Corporation Seaspan Cor 
SVBI,Severn Bancorp Inc 
SYNL,Synalloy Corporation 
TNC,Tennant Company Common 
TOWN,Towne Bank 
TR,Tootsie Roll Industries Inc. C 
UBCP,United Bancorp Inc. 
UDR,UDR Inc. Common 
VASC,Vascular Solutions Inc. 
WAB,Westinghouse Air Brake Technolo 
WLB,Westmoreland Coal Company 
XRX,Xerox Corporation Common 
ALSN, Allison Transmission Holdings   
ANCB, Anchor Bancorp 
BOTJ, Bank of the James Financial Gro 
CEB, Corporate Executive Board Compa 
CEMP, Cempra  Inc. 
FBIZ, First Business Financial Servic 
HAL, Halliburton Company Common Stoc 
HFFC, HF Financial Corp. 
HMST, HomeStreet  Inc. 
HSII, Heidrick & Struggles Internatio 
HSTM, HealthStream  Inc. 
HTA, Healthcare Trust of America  In 
HTLF, Heartland Financial USA  Inc. 
IBCP, Independent Bank Corporation 
SMBC, Southern Missouri Bancorp  Inc. 
TCS,The Container Store Group Inc. 
QTS,QTS Realty Trust Inc. 
HAWK,Blackhawk Network Holdings Inc. 
IBTX,Independent Bank Group Inc. 
APAM,Artisan Partners Asset Management Inc. 
EPE,EP Energy Corporation 
KN,Knowles Corporation 
NTP,Nam Tai Property Inc. 
OPB,Opus Bank 
TLMR,Talmer Bancorp Inc. 
TCPI,TCP International Holdings Ltd.
WMLP,Westmoreland Resource Partners
GPP,Green Plains Partners LP
CNXC,CNX Coal Resources LP
FDC,First Data Corporation
