AAN,Aaron's Inc. Common 
AI,Arlington Asset Investment Corp 
AIMC,Altra Holdings Inc. 
ALV,Autoliv Inc. Common 
AMT,American Tower Corporation (REI 
ANAT,American National Insurance Com 
ANH,Anworth Mortgage Asset Corporat 
AON,Aon plc Class A Ordinary Shares 
ARG,Airgas Inc. Common 
ATEC,Alphatec Holdings Inc. 
B,Barnes Group Inc. Common 
BFIN,BankFinancial Corporation 
CAS,Castle (A.M.) & Co. Common Stoc 
CBM,Cambrex Corporation Common Stoc 
CBOE,CBOE Holdings Inc. 
CHEV,Cheviot Financial Corp 
CIR,CIRCOR International Inc. Comm 
CLDX,Celldex Therapeutics Inc. 
CLRO,ClearOne Communications Inc. 
COG,Cabot Oil & Gas Corporation Com 
CPN,Calpine Corporation Common Stoc 
CTB,Cooper Tire & Rubber Company Co 
CTCM,CTC Media Inc. 
CVX,Chevron Corporation Common Stoc 
CYTR,CytRx Corporation 
DRAD,Digirad Corporation 
EBMT,Eagle Bancorp Montana Inc. 
EBSB,Meridian Interstate Bancorp In 
EML,Eastern Company (The) 
ESI,ITT Educational Services Inc.  
ETRM,EnteroMedics Inc. 
FLIC,The First of Long Island Corpor 
FNFG,First Niagara Financial Group I 
GAS,AGL Resources Inc. Common Stoc 
GFF,Griffon Corporation Common Stoc 
INOD,Innodata Inc. 
KBR,KBR Inc. Common 
KRNY,Kearny Financial 
LINE,Linn Energy LLC 
LM,Legg Mason Inc. Common 
LNG,Cheniere Energy Inc. Common St 
LPNT,LifePoint Hospitals Inc. 
LXRX,Lexicon Pharmaceuticals Inc. 
MBRG,Middleburg Financial Corporatio 
MCO,Moody's Corporation Common Stoc 
MGI,Moneygram International Inc. N 
MLVF,Malvern Federal Bancorp Inc. 
MSEX,Middlesex Water Company 
NBIX,Neurocrine Biosciences Inc. 
NPK,National Presto Industries Inc 
NRIM,Northrim BanCorp Inc 
NWL,Newell Rubbermaid Inc. Common S 
OFC,Corporate Office Properties Tru 
OPY,Oppenheimer Holdings Inc. Clas 
OXGN,OXiGENE Inc. 
PEG,Public Service Enterprise Group 
PFS,Provident Financial Services I 
PKE,Park Electrochemical Corporatio 
PNM,PNM Resources Inc. (Holding Co 
PNW,Pinnacle West Capital Corporati 
POPE,Pope Resources 
POR,Portland General Electric Co Co 
PULB,Pulaski Financial Corp. 
PX,Praxair Inc. Common 
RCL,Royal Caribbean Cruises Ltd. Co 
RELV,Reliv' International Inc. 
ROVI,Rovi Corporation 
SBSI,Southside Bancshares Inc. 
SHEN,Shenandoah Telecommunications C 
SMTX,SMTC Corporation 
SPR,Spirit Aerosystems Holdings In 
STX,Seagate Technology. 
TDS,Telephone and Data Systems Inc 
THLD,Threshold Pharmaceuticals Inc. 
TRGP,Targa Resources Inc. Common St 
TUES,Tuesday Morning Corp. 
TYC,Tyco International Ltd. (Switz 
TYPE,Monotype Imaging Holdings Inc. 
USBI,United Security Bancshares Inc 
USM,United States Cellular Corporat 
VFC,V.F. Corporation Common 
VRTS,Virtus Investment Partners Inc 
VTR,Ventas Inc. Common 
WFD,Westfield Financial Inc. 
WMK,Weis Markets Inc. Common 
WYNN,Wynn Resorts Limited 
XOM,Exxon Mobil Corporation Common  
ZEUS,Olympic Steel Inc. 
ADT, ADT Corporation Common 
ARR, ARMOUR Residential REIT  Inc. 
ASBB, ASB Bancorp  Inc. 
BIOL, Biolase  Inc. 
ETN, Eaton Corporation Common 
GVA, Granite Construction Incorporat 
HDSN, Hudson Technologies  Inc. 
HERO, Hercules Offshore  Inc. 
HFBC, HopFed Bancorp  Inc. 
HRC, Hill-Rom Holdings Inc Common St 
HST, Host Hotels & Resorts  Inc. Com 
HTBI, HomeTrust Bancshares  Inc. 
IDXX, IDEXX Laboratories  Inc. 
IM, Ingram Micro Inc. Common 
IMGN, ImmunoGen  Inc. 
MNST, Monster Beverage Corporation 
MTRN, Materion Corporation 
NCZ, AGIC Convertible & Income Fund  
NLNK, NewLink Genetics Corporation 
PES, Pioneer Energy Services Corp. C 
PSX, Phillips 66 Common 
RAND, Rand Capital Corporation 
SYNC, Synacor  Inc. 
UPIP, Unwired Planet  Inc. 
WEBK, Wellesley Bancorp  Inc. 
WETF, WisdomTree Investments  Inc. 
XBKS, Xenith Bankshares  Inc. 
RKUS,Ruckus Wireless Inc. 
PSXP,Phillips 66 Partners LP 
OCRX,Ocera Therapeutics Inc. 
MEP,Midcoast Energy Partners L.P. 
LPSB,Laporte Bancorp Inc. 
FCAP,First Capital Inc. 
EPZM,Epizyme Inc. 
CQH,Cheniere Energy Partners LP Holdings LLC 
COB,CommunityOne Bancorp 
BYBK,Bay Bancorp Inc. 
BCRH,Blue Capital Reinsurance Holdings Ltd. 
ARCB,ArcBest Corporation 
BANX,StoneCastle Financial Corp. 
EBIO,Eleven Biotherapeutics Inc. 
LJPC,La Jolla Pharmaceutical Co. 
NWHM,The New Home Company LLC 
SMLR,Semler Scientific Inc 
FMBH,First Mid-Illinois Bancshares
IRMD,iRadimed Corporation
ISTR,Investar Holding Corporation
ABCW,Anchor BanCorp Wisconsin Inc.
LBIO,LION BIOTECHNOLOGIES
FNBC,First NBC Bank Holding Company
EPC,Edgewell Personal Care Company
WRK,WestRock Company
AAAP,Advanced Accelerator Applications S.A.
ACBI,Atlantic Capital Bancshares  Inc.
