AFOP,Alliance Fiber Optic Products  
AGO,Assured Guaranty Ltd. Common St 
AI,Arlington Asset Investment Corp 
ALG,Alamo Group Inc. Common 
ALIM,Alimera Sciences Inc. 
ALJ,Alon USA Energy Inc. common st 
ALL,Allstate Corporation (The) Comm 
ALR,Alere Inc. Common 
ANAC,Anacor Pharmaceuticals Inc. 
ANDE,The Andersons Inc. 
ANH,Anworth Mortgage Asset Corporat 
AOSL,Alpha and Omega Semiconductor L 
AP,Ampco-Pittsburgh Corporation Co 
APT,Alpha Pro Tech Ltd. Common Sto 
ARCW,Arc Wireless Solutions Inc. 
AREX,Approach Resources Inc. 
ARP,Atlas Resource Partners L.P. C 
ARQL,ArQule Inc. 
ARRS,Arris Group Inc 
ATO,Atmos Energy Corporation Common 
ATRI,ATRION Corporation 
ATRO,Astronics Corporation 
ATSG,Air Transport Services Group I 
AWR,American States Water Company C 
AYR,Aircastle Limited Common 
BBEP,BreitBurn Energy Partners L.P. 
BBGI,Beasley Broadcast Group Inc. 
BBSI,Barrett Business Services Inc. 
BDC,Belden Inc Common 
BFS,Saul Centers Inc. Common 
BIOD,Biodel Inc. 
BRKR,Bruker Corporation 
BTN,Ballantyne Strong Inc. Common  
BVSN,BroadVision Inc. 
CBLI,Cleveland BioLabs Inc. 
CBPO,China Biologic Products Inc. 
CCRN,Cross Country Healthcare Inc. 
CDI,CDI Corporation Common 
CECO,Career Education Corporation 
CENT,Central Garden & Pet Company 
CF,CF Industries Holdings Inc. Co 
CHH,Choice Hotels International In 
CLH,Clean Harbors Inc. Common Stoc 
CLR,Continental Resources Inc. Com 
CODI,Compass Diversified Holdings Sh 
CPE,Callon Petroleum Company Common 
CPK,Chesapeake Utilities Corporatio 
CPSI,Computer Programs and Systems  
CRK,Comstock Resources Inc. Common 
CRL,Charles River Laboratories Inte 
CRZO,Carrizo Oil & Gas Inc. 
CSBK,Clifton Savings Bancorp Inc. 
CSGS,CSG Systems International Inc. 
CSII,Cardiovascular Systems Inc. 
CTCM,CTC Media Inc. 
CTIC,Cell Therapeutics Inc. 
CTL,CenturyLink Inc. Common 
CVO,Cenveo Inc 
CVR,Chicago Rivet & Machine Co. Com 
CW,Curtiss-Wright Corporation Comm 
CWST,Casella Waste Systems Inc. 
CXW,Corrections Corporation of Amer 
DAC,Danaos Corporation Common 
DM,Dolan Company (The) Common Stoc 
DOX,Amdocs Limited Common 
DPM,DCP Midstream Partners LP DCP  
DVA,DaVita Inc. Common 
DXYN,The Dixie Group Inc. 
EDGW,Edgewater Technology Inc. 
EE,El Paso Electric Company Common 
EMKR,EMCORE Corporation 
ENR,Energizer Holdings Inc. Common 
ENSG,The Ensign Group Inc. 
EQIX,Equinix Inc. 
ES,EnergySolutions Inc Common Stoc 
ETE,Energy Transfer Equity L.P. En 
ETP,Energy Transfer Partners L.P.  
EXEL,Exelixis Inc. 
FBSS,Fauquier Bankshares Inc. 
FICO,Fair Isaac Incorporated Commo 
FLL,Full House Resorts Inc. Common 
FLOW,Flow International Corporation 
FLT,FleetCor Technologies Inc. Com 
FRT,Federal Realty Investment Trust 
FUN,Cedar Fair L.P. Common 
FVE,Five Star Quality Care Inc. Co 
GBL,Gamco Investors Inc. Common St 
GDOT,Green Dot Corporation Class A C 
GHDX,Genomic Health Inc. 
GLAD,Gladstone Capital Corporation 
GNRC,Generac Holdlings Inc. Common S 
GPOR,Gulfport Energy Corporation 
IMN,Imation Corporation Common Stoc 
INFI,Infinity Pharmaceuticals Inc. 
INTL,INTL FCStone Inc. 
IO,Ion Geophysical Corporation Com 
IPAS,iPass Inc. 
ISSC,Innovative Solutions and Suppor 
ITIC,Investors Title Company 
KCAP,KCAP Financial Inc. 
KLIC,Kulicke and Soffa Industries I 
KND,Kindred Healthcare Inc. Common 
KONA,Kona Grill Inc. 
KRO,Kronos Worldwide Inc Common Sto 
KTOS,Kratos Defense & Security Solut 
KW,Kennedy-Wilson Holdings Inc. Co 
LCI,Lannett Co Inc Common 
LG,Laclede Gas Company Common Stoc 
LGND,Ligand Pharmaceuticals Incorpor 
LHCG,LHC Group 
LNC,Lincoln National Corporation Co 
LNT,Alliant Energy Corporation Comm 
LXU,LSB Industries Inc. Common Sto 
MAA,Mid-America Apartment Communiti 
MASI,Masimo Corporation 
MCHP,Microchip Technology Incorporat 
MCK,McKesson Corporation Common Sto 
MDU,MDU Resources Group Inc. Commo 
MHLD,Maiden Holdings Ltd. 
MLR,Miller Industries Inc. Common  
MMP,Magellan Midstream Partners L.P 
MNR,Monmouth Real Estate Investment 
MOS,Mosaic Company (The) Common Sto 
MPEL,Melco Crown Entertainment Limit 
MPW,Medical Properties Trust Inc.  
MRO,Marathon Oil Corporation Common 
MTRX,Matrix Service Company 
MTW,Manitowoc Company Inc. (The) C 
MUR,Murphy Oil Corporation Common S 
NCMI,National CineMedia Inc. 
NEWP,Newport Corporation 
NEWS,NewStar Financial Inc. 
NEWT,Newtek Business Services Inc. 
NGS,Natural Gas Services Group Inc 
NJR,NewJersey Resources Corporation 
NLY,Annaly Capital Management Inc C 
NMM,Navios Maritime Partners LP Com 
NNBR,NN Inc. 
NSM,Nationstar Mortgage Holdings In 
NSYS,Nortech Systems Incorporated 
NVAX,Novavax Inc. 
NWPX,Northwest Pipe Company 
NXTM,NxStage Medical Inc. 
OHI,Omega Healthcare Investors Inc 
OIIM,O2Micro International Limited 
OME,Omega Protein Corporation Commo 
ORA,Ormat Technologies Inc. Common 
OREX,Orexigen Therapeutics Inc. 
OSUR,OraSure Technologies Inc. 
PCG,Pacific Gas & Electric Co. Comm 
PCLN,priceline.com Incorporated 
PDLI,PDL BioPharma Inc. 
PEIX,Pacific Ethanol Inc. 
PFBI,Premier Financial Bancorp Inc. 
PHH,PHH Corp Common 
PKOH,Park-Ohio Holdings Corp. 
POWR,PowerSecure International Inc 
PRAA,Portfolio Recovery Associates  
PRCP,Perceptron Inc. 
PRGN,Paragon Shipping Inc. Class A C 
PRU,Prudential Financial Inc. Comm 
QUIK,QuickLogic Corporation 
RDC,Rowan Companies plc Class A Ord 
REXI,Resource America Inc. 
RIG,Transocean Ltd (Switzerland) Co 
RP,RealPage Inc. 
RST,Rosetta Stone Rosetta Stone In 
RWC,RELM Wireless Corporation Commo 
RYN,Rayonier Inc. REIT Common 
SALM,Salem Communications Corporatio 
SBGI,Sinclair Broadcast Group Inc. 
SCMP,Sucampo Pharmaceuticals Inc. 
SE,Spectra Energy Corp Common Stoc 
SGU,Star Gas Partners L.P. Common  
SGY,Stone Energy Corporation Common 
SIGI,Selective Insurance Group Inc. 
SLI,SL Industries Inc. Common Stoc 
SMP,Standard Motor Products Inc. C 
SNHY,Sun Hydraulics Corporation 
SQNM,Sequenom Inc. 
SRI,Stoneridge Inc. Common 
STEM,StemCells Inc. 
STRA,Strayer Education Inc. 
SUN,Sunoco Inc. Common 
SWM,Schweitzer-Mauduit Internationa 
