ARL,American Realty Investors Inc. 
ATEA,Astea International Inc. 
BDMS,Birner Dental Management Servic 
CDTI,Clean Diesel Technologies Inc. 
CLSN,Celsion Corporation 
CPHC,Canterbury Park Holding Corpora 
CREG,China Recycling Energy Corporat 
DXPE,DXP Enterprises Inc. 
EVI,EnviroStar Inc.  Common 
FORD,Forward Industries Inc. 
FSI,Flexible Solutions Internationa 
GPIC,Gaming Partners International C 
IOC,InterOil Corporation 
JCP,J.C. Penney Company Inc. Holdi 
LIME,Lime Energy Co. 
MBLX,Metabolix Inc. 
NFEC,NF Energy Saving Corporation 
NRT,North European Oil Royality Tru 
NTZ,Natuzzi S.p.A. 
PNRG,PrimeEnergy Corporation 
QKLS,QKL Stores Inc. 
SBSA,Spanish Broadcasting System In 
SNFCA,Security National Financial Cor 
SPU,SkyPeople Fruit Juice Inc. 
TCI,Transcontinental Realty Investo 
UTSI,UTStarcom Holdings Corp 
VBFC,Village Bank and Trust Financia 
BGMD, BG Medicine  Inc. 
CLNT, Cleantech Solutions Internation 
DATE, Jiayuan.com International Ltd. 
ECTE, Echo Therapeutics  Inc. 
ESMC, Escalon Medical Corp. 
ETAK, Elephant Talk Communications  I 
GURE, Gulf Resources  Inc. 
HWBK, Hawthorn Bancshares  Inc. 
IDN, Intellicheck Mobilisa  Inc. Com 
MANU, Manchester United Ltd. Class A  
MNGA, MagneGas Corporation 
NETE, Net Element International  Inc. 
PNTR, Pointer Telocation Ltd. 
RVP, Retractable Technologies  Inc.  
SGRP, SPAR Group  Inc. 
AMLP,ALPS Alerian MLP ETF
TIPT,Tiptree Financial Inc. 
SPHS,Sophiris Bio Inc. 
RIBT,RiceBran Technologies 
PPSI,Pioneer Power Solutions Inc. 
ICLD,InterCloud Systems Inc. 
EVK,Ever-Glory International Group Inc. 
ERS,Empire Resources Inc. 
DLNG,Dynagas LNG Partners LP 
BDR,Blonder Tongue Laboratories Inc. 
XGTI,xG Technology Inc. 
CELP,Cypress Energy Partners L.P. 
GLMD,Galmed Pharmaceuticals Ltd. 
GLRI,Glori Energy Inc. 
NSEC,National Security Group Inc. 
NVFY,Nova Lifestyle Inc. 
EPRS,EPIRUS Biopharmaceuticals Inc.
FNJN,Finjan Holdings Inc.
FWP,Forward Pharma A/S
OXBR,Oxbridge Re Holdings Limited
QRHC,Quest Resource Holding Corporat
RCPI,Rock Creek Pharmaceuticals Inc
SCYX,SCYNEXIS Inc.
SDPI,Superior Drilling Products Inc
SGNL,Signal Genetics Inc.
TBIO,Transgenomic Inc.
VBLT,Vascular Biogenics Ltd.
WHLM,Wilhelmina International Inc.
WLRH,WL Ross Holding Corp.
YUMA,Yuma Energy Inc.
CASI,CASI Pharmaceuticals Inc.
ADMA,ADMA Biologics Inc
ABY,Abengoa Yield plc
PRSN,Perseon Corporation
ITEK,Inotek Pharmaceuticals Corporation
STDY,STEADYMED LTD.
MLSS,Milestone Scientific Inc.
CRBP,Corbus Pharmaceuticals Holdings  Inc.
AVXL,Anavex Life Sciences Corp.
CETC,Hongli Clean Energy Technologies Corp.
NRE,Northstar Realty Europe Corp.
