A,Agilent Technologies Inc. Comm 
ACFN,Acorn Energy Inc. 
ADK,Adcare Health Systems Inc Commo 
AEGR,Aegerion Pharmaceuticals Inc. 
AETI,American Electric Technologies 
AKRX,Akorn Inc. 
ARP,Atlas Resource Partners L.P. C 
ATEA,Astea International Inc. 
BBSI,Barrett Business Services Inc. 
CNET,ChinaNet Online Holdings Inc. 
CVV,CVD Equipment Corporation 
DAVE,Famous Dave's of America Inc. 
DRYS,DryShips Inc. 
DYNT,Dynatronics Corporation 
JASO,JA Solar Holdings Co. Ltd. 
KGJI,Kingold Jewelry Inc. 
LIVE,LiveDeal Inc. 
LOV,Spark Networks Inc. Common Sto 
NFEC,NF Energy Saving Corporation 
NSPH,Nanosphere Inc. 
NTZ,Natuzzi S.p.A. 
PRGN,Paragon Shipping Inc. Class A C 
PRKR,ParkerVision Inc. 
QKLS,QKL Stores Inc. 
RCON,Recon Technology Ltd. 
SBSA,Spanish Broadcasting System In 
SNFCA,Security National Financial Cor 
SORL,SORL Auto Parts Inc. 
SPP,Sappi Limited Common 
SPU,SkyPeople Fruit Juice Inc. 
UNIS,Unilife Corporation 
VRML,Vermillion Inc. 
VRTU,Virtusa Corporation 
VSR,Versar Inc. Common 
CLNT, Cleantech Solutions Internation 
ECTE, Echo Therapeutics  Inc. 
FES, Forbes Energy Services Ltd 
GVP, GSE Systems  Inc. Common 
HWBK, Hawthorn Bancshares  Inc. 
RLGT, Radiant Logistics  Inc. Common  
RVP, Retractable Technologies  Inc.  
SEV, Sevcon  Inc. 
YOD, You On Demand Holdings  Inc. 
MICT,Micronet Enertec Technologies Inc. 
MAMS,MAM Software Group Inc. 
ADHD,Alcobra Ltd. 
XGTI,xG Technology Inc. 
GLMD,Galmed Pharmaceuticals Ltd. 
LEJU,Leju Holdings Limited 
CRTN,Cartesian Inc.
QRHC,Quest Resource Holding Corporat
YUMA,Yuma Energy Inc.
NHLD,NATIONAL HOLDINGS
MXPT,MaxPoint Interactive Inc. Comm
ABEO,Abeona Therapeutics Inc. 
STKS,The ONE Group Hospitality  Inc.
COYN,COPsync  Inc.
FORK,Fuling Global Inc.
MIME,Mimecast Limited
NEOS,Neos Therapeutics  Inc.
PYDS,Payment Data Systems  Inc.
RNVA,Rennova Health  Inc.
SITO,SITO Mobile Ltd.
