ACXM,Acxiom Corporation 
ALOT,Astro-Med Inc. 
BBSI,Barrett Business Services Inc. 
CNET,ChinaNet Online Holdings Inc. 
CSS,CSS Industries Inc. Common Sto 
DL,China Distance Education Holdin 
DRYS,DryShips Inc. 
EJ,E-House (China) Holdings Limite 
GAIN,Gladstone Investment Corporatio 
LONG,eLong Inc. 
PLCE,The Children's Place Retail Sto 
RCON,Recon Technology Ltd. 
RRGB,Red Robin Gourmet Burgers Inc. 
STV,China Digital TV Holding Co. L 
TISA,Top Image Systems Ltd. 
TJX,TJX Companies Inc. (The) Commo 
TRNS,Transcat Inc. 
UNIS,Unilife Corporation 
VSAT,ViaSat Inc. 
DCIX, Diana Containerships Inc. 
ETAK, Elephant Talk Communications  I 
HD, Home Depot  Inc. (The) Common S 
HNR, Harvest Natural Resources Inc 
NAVB, Navidea Biopharmaceuticals  Inc 
NQ, NQ Mobile Inc. American Deposit 
OBAS, Optibase Ltd. 
SAR, Saratoga Investment Corp New 
VIPS, Vipshop Holdings Limited Americ 
DLNG,Dynagas LNG Partners LP 
CYRN,CYREN Ltd. 
MOMO,Momo Inc.
ORPN,Bio Blast Pharma Ltd.
BLBD,BOLDFACE GROUP INC.
CYRX,Cryoport  Inc.
