ANW,Aegean Marine Petroleum Network 
ARCI,Appliance Recycling Centers of  
AZO,AutoZone Inc. Common 
BBSI,Barrett Business Services Inc. 
BBY,Best Buy Co. Inc. Common 
CISG,CNinsure Inc. 
CNTF,China TechFaith Wireless Commun 
CSC,Computer Sciences Corporation C 
DL,China Distance Education Holdin 
DSW,DSW Inc. Common 
DY,Dycom Industries Inc. Common S 
ESEA,Euroseas Ltd. 
INTU,Intuit Inc. 
KIRK,Kirkland's Inc. 
MAGS,Magal Security Systems Ltd. 
MOBI,Sky-mobi Limited 
NPD,China Nepstar Chain Drugstore L 
TOL,Toll Brothers Inc. Common 
UNIS,Unilife Corporation 
UVV,Universal Corporation Common St 
VAL,Valspar Corporation (The) Commo 
VSAT,ViaSat Inc. 
NMBL,Nimble Storage Inc. 
VMEM,Violin Memory Inc. 
WUBA,58.com Inc. 
SKYS,Sky Solar Holdings Ltd.
TBIO,Transgenomic Inc.
TOUR,Tuniu Corporation
JP,Jupai Holdings Limited
GOGL,Golden Ocean Group Limited
VDTH,Videocon d2h Limited
AQMS,Aqua Metals  Inc.
EXTN,Exterran Corporation
HPE,Hewlett Packard Enterprise Company
