BIG,Big Lots Inc. Common 
DANG,E-Commerce China Dangdang Inc.  
JASO,JA Solar Holdings Co. Ltd. 
JKS,JinkoSolar Holding Company Limi 
LABL,Multi-Color Corporation 
MY,China Ming Yang Wind Power Grou 
NTZ,Natuzzi S.p.A. 
UQM,UQM TECHNOLOGIES INC Common Sto 
WILC,G. Willi-Food International  L 
WMS,WMS Industries Inc. Common Stoc 
XNY,China Xiniya Fashion Limited Am 
AWF, Alliancebernstein Global High I 
HWKN, Hawkins  Inc. 
KF, Korea Fund  Inc. (The) New Comm 
IKGH,Iao Kun Group Holding Company Limited 
SKYS,Sky Solar Holdings Ltd.
KEN,Kenon Holdings Ltd.
