AMSC,American Superconductor Corpora 
ATAI,ATA Inc. 
BOSC,B.O.S. Better Online Solutions 
CTRP,Ctrip.com International Ltd. 
CVGW,Calavo Growers Inc. 
GLNG,Golar LNG Limited 
GSOL,Global Sources Ltd. 
JRJC,China Finance Online Co. Limite 
MAGS,Magal Security Systems Ltd. 
MDT,Medtronic Inc. Common 
MLAB,Mesa Laboratories Inc. 
NCS,NCI Building Systems Inc. New  
NPD,China Nepstar Chain Drugstore L 
NX,Quanex Building Products Corpor 
SFL,Ship Finance International Limi 
TIVO,TiVo Inc. 
TNP,Tsakos Energy Navigation Ltd Co 
UNIS,Unilife Corporation 
XUE,Xueda Education Group American  
ASNA, Ascena Retail Group  Inc. 
GMLP, Golar LNG Partners LP 
WDAY, Workday  Inc. Common 
SPCB,SuperCom Ltd. 
YY,YY Inc. 
QURE,uniQure N.V. 
ZOES,Zoe's Kitchen Inc. 
HMLP,Hoegh LNG Partners LP Common Un
INNL,Innocoll AG
LPG,Dorian LPG Ltd. Common
OOMA,Ooma  Inc.
EXTN,Exterran Corporation
