APOL,Apollo Group Inc. 
DANG,E-Commerce China Dangdang Inc.  
EMMS,Emmis Communications Corporatio 
JXSB,Jacksonville Bancorp Inc. 
LEDS,SemiLEDS Corporation 
LUB,Luby's Inc. Common 
NTIC,Northern Technologies Internati 
OPTT,Ocean Power Technologies Inc. 
PEP,Pepsico Inc. Common 
PSMT,PriceSmart Inc. 
WDFC,WD-40 Company 
BKSC, Bank of South Carolina Corp. 
HELE, Helen of Troy Limited 
TCS,The Container Store Group Inc. 
CUDA,Barracuda Networks Inc. 
JMEI,Jumei International Holding Lim
GLBL,TerraForm Global
