AEHR,Aehr Test Systems 
AMRB,American River Bankshares 
ASA,ASA  Gold and Precious Metals L 
ASRV,AmeriServ Financial Inc. 
BANF,BancFirst Corporation 
BKMU,Bank Mutual Corporation 
BKOR,Oak Ridge Financial Services I 
CAW,CCA Industries Inc. Common Sto 
CFNL,Cardinal Financial Corporation 
CIDM,Cinedigm Digital Cinema Corp 
CPSS,Consumer Portfolio Services In 
CTBI,Community Trust Bancorp Inc. 
DAL,Delta Air Lines Inc. (New) Comm 
FCFS,First Cash Financial Services  
FFIN,First Financial Bankshares Inc 
FRC,FIRST REPUBLIC BANK Common Stoc 
GBNK,Guaranty Bancorp 
GFED,Guaranty Federal Bancshares In 
INDB,Independent Bank Corp. 
JPM,JP Morgan Chase & Co. Common St 
LION,Fidelity Southern Corporation 
MRTN,Marten Transport Ltd. 
MSN,Emerson Radio Corporation Commo 
NWBI,Northwest Bancshares Inc. 
OLBK,Old Line Bancshares Inc. 
OMC,Omnicom Group Inc. Common 
PACW,PacWest Bancorp 
PGR,Progressive Corporation (The) C 
PPHM,Peregrine Pharmaceuticals Inc. 
PVTB,PrivateBancorp Inc. 
RECN,Resources Connection Inc. 
SGB,Southwest Georgia Financial Cor 
SLP,Simulations Plus Inc. 
TZOO,Travelzoo Inc. 
UNB,Union Bankshares Inc. 
WINA,Winmark Corporation 
WNS,WNS (Holdings) Limited Sponsore 
BLK,BlackRock Inc
CVCY, Central Valley Community Bancor 
EMCF, Emclaire Financial Corp 
HIFS, Hingham Institution for Savings 
KMI, Kinder Morgan  Inc. Common Stoc 
UBFO, United Security Bancshares 
WAFD, Washington Federal  Inc. 
TCS,The Container Store Group Inc. 
MYCC,ClubCorp Holdings Inc. 
CZFC,Citizens First Corporation 
GBSN,Great Basin Scientific Inc.
SKIS,Peak Resorts Inc.
EXTN,Exterran Corporation
