ARTW,Art's-Way Manufacturing Co. In 
BRO,Brown & Brown Inc. Common Stoc 
BSRR,Sierra Bancorp 
CCNE,CNB Financial Corporation 
DIT,AMCON Distributing Company Comm 
ELS,Equity Lifestyle Properties In 
EMC,EMC Corporation Common 
FDEF,First Defiance Financial Corp. 
FNFG,First Niagara Financial Group I 
JBHT,J.B. Hunt Transport Services I 
JCTCF,Jewett-Cameron Trading Company 
LII,Lennox International Inc. Comm 
NFLX,Netflix Inc. 
PETS,PetMed Express Inc. 
PWOD,Penns Woods Bancorp Inc. 
RMBS,Rambus Inc. 
SANM,Sanmina-SCI Corporation 
SCHW,Charles Schwab Corporation (The 
STLD,Steel Dynamics Inc. 
VMW,Vmware Inc. Common stock Clas 
WIBC,Wilshire Bancorp Inc. 
BBCN, BBCN Bancorp  Inc. 
HAS, Hasbro  Inc. 
HBMD, Howard Bancorp  Inc. 
IEX, IDEX Corporation Common 
UNTY, Unity Bancorp  Inc. 
TCFC,The Community Financial Corp. 
HMNF,HMN Financial Inc. 
SFBS,ServisFirst Bancshares Inc.
SGBK,Stonegate Bank
AGR,Avangrid  Inc.
