AMTD,TD Ameritrade Holding Corporati 
AROW,Arrow Financial Corporation 
AWH,Allied World Assurance Company  
BDC,Belden Inc Common 
BSRR,Sierra Bancorp 
CCNE,CNB Financial Corporation 
CFNL,Cardinal Financial Corporation 
CMA,Comerica Incorporated Common St 
CMRE,Costamare Inc. Common 
CTAS,Cintas Corporation 
CVLY,Codorus Valley Bancorp Inc 
DFS,Discover Financial Services Com 
EXPO,Exponent Inc. 
FCFS,First Cash Financial Services  
FMBI,First Midwest Bancorp Inc. 
FULT,Fulton Financial Corporation 
GPC,Genuine Parts Company Common St 
GS,Goldman Sachs Group Inc. (The) 
GSBC,Great Southern Bancorp Inc. 
ISRG,Intuitive Surgical Inc. 
KSU,Kansas City Southern Common Sto 
LMT,Lockheed Martin Corporation Com 
MANH,Manhattan Associates Inc. 
MLI,Mueller Industries Inc. Common 
MRVL,Marvell Technology Group Ltd. 
MTG,MGIC Investment Corporation Com 
NEOG,Neogen Corporation 
OKSB,Southwest Bancorp Inc. 
PLD,ProLogis Inc. Common 
PM,Philip Morris International Inc 
PWOD,Penns Woods Bancorp Inc. 
PZN,Pzena Investment Management Inc 
RBPAA,Royal Bancshares of Pennsylvani 
RLI,RLI Corp. Common 
RNST,Renasant Corporation 
RUSHA,Rush Enterprises Inc. 
SNV,Synovus Financial Corp. Common  
TZOO,Travelzoo Inc. 
UAL,United Continental Holdings 
UBNK,United Financial Bancorp Inc. 
UCFC,United Community Financial Corp 
UNH,UnitedHealth Group Incorporated 
WSBC,WesBanco Inc. 
WTFC,Wintrust Financial Corporation 
CIZN, Citizens Holding Company 
FSBK, First South Bancorp Inc 
GWW, W.W. Grainger  Inc. Common Stoc 
HAFC, Hanmi Financial Corporation 
HLX, Helix Energy Solutions Group  I 
IBKR, Interactive Brokers Group  Inc. 
TTS, Tile Shop Hldgs  Inc. 
UNTY, Unity Bancorp  Inc. 
TCFC,The Community Financial Corp. 
HAWK,Blackhawk Network Holdings Inc. 
HMNF,HMN Financial Inc. 
WFBI,WashingtonFirst Bankshares Inc. 
NAVI,Navient Corporation 
PFIS,Peoples Financial Services Corp. 
LTXB,LegacyTexas Financial Group Inc.
CHEK,Check-Cap Ltd.
TGNA,TEGNA Inc.
