AB,Allianceberstein Holding L.P.   
ABMD,ABIOMED Inc. 
ACIW,ACI Worldwide Inc. 
ACNB,ACNB Corporation 
ACOR,Acorda Therapeutics Inc. 
ACTG,Acacia Research Corporation 
ADP,Automatic Data Processing Inc. 
AEP,American Electric Power Company 
AFL,AFLAC Incorporated Common 
AGEN,Agenus Inc. 
AIV,Apartment Investment and Manage 
AJG,Arthur J. Gallagher & Co. Commo 
ALGN,Align Technology Inc. 
ALJ,Alon USA Energy Inc. common st 
ALKS,Alkermes plc 
ALXN,Alexion Pharmaceuticals Inc. 
AMSF,AMERISAFE Inc. 
AMT,American Tower Corporation (REI 
AMZN,Amazon.com Inc. 
ANAT,American National Insurance Com 
AP,Ampco-Pittsburgh Corporation Co 
ARIA,ARIAD Pharmaceuticals Inc. 
ARII,American Railcar Industries In 
ATR,AptarGroup Inc. Common 
BBSI,Barrett Business Services Inc. 
BCO,Brinks Company (The) Common Sto 
BCOV,Brightcove Inc. 
BDGE,Bridge Bancorp Inc. 
BFIN,BankFinancial Corporation 
BFS,Saul Centers Inc. Common 
BG,Bunge Limited Bunge Limited 
BGS,B&G Foods Inc. B&G Foods Inc. 
BHB,Bar Harbor Bankshares Inc. Com 
BHI,Baker Hughes Incorporated Commo 
BIDU,Baidu Inc. 
BMS,Bemis Company Inc. Common Stoc 
BMY,Bristol-Myers Squibb Company Co 
BRKS,Brooks Automation Inc. 
BSX,Boston Scientific Corporation C 
BWA,BorgWarner Inc. Common 
BWEN,Broadwind Energy Inc. 
BZH,Beazer Homes USA Inc. Common S 
CAB,Cabela's Inc Class A Common Sto 
CASH,Meta Financial Group Inc. 
CATM,Cardtronics Inc. 
CBG,CBRE Group Inc Common 
CBL,CBL & Associates Properties In 
CBM,Cambrex Corporation Common Stoc 
CBR,Ciber Inc. Common 
CCO,Clear Channel Outdoor Holdings 
CELG,Celgene Corporation 
CENX,Century Aluminum Company 
CFNB,California First National Banco 
CFX,Colfax Corporation Common 
CGI,Celadon Group Inc. Common Stoc 
CHMT,Chemtura Corp. Common 
CIT,CIT Group Inc (DEL) Common Stoc 
CKH,SEACOR Holdings Inc. Common Sto 
CL,Colgate-Palmolive Company Commo 
CLD,Cloud Peak Energy Inc Common St 
CLF,Cliffs Natural Resources Inc Co 
CLFD,Clearfield Inc. 
CLMS,Calamos Asset Management Inc. 
CLUB,Town Sports International Holdi 
CMCO,Columbus McKinnon Corporation 
CME,CME Group Inc. 
CMLS,Cumulus Media Inc. 
COHU,Cohu Inc. 
COLB,Columbia Banking System Inc. 
COLM,Columbia Sportswear Company 
COP,ConocoPhillips Common 
COR,CoreSite Realty Corporation Com 
COWN,Cowen Group Inc. 
CPF,Central Pacific Financial Corp  
CPHD,CEPHEID 
CPT,Camden Property Trust Common St 
CRAI,CRA InternationalInc. 
CRR,Carbo Ceramics Inc. Common Sto 
CRS,Carpenter Technology Corporatio 
CSH,Cash America International Inc 
CVI,CVR Energy Inc. Common 
CWST,Casella Waste Systems Inc. 
CWT,California Water Service Group  
CY,Cypress Semiconductor Corporati 
CYBE,CyberOptics Corporation 
CYTK,Cytokinetics Incorporated 
DAIO,Data I/O Corporation 
DBD,Diebold Incorporated Common St 
DDE,Dover Downs Gaming & Entertainm 
DECK,Deckers Outdoor Corporation 
DFT,Dupont Fabros Technology Inc.  
DGI,DigitalGlobe Inc Common 
DGII,Digi International Inc. 
DHT,DHT Holdings Inc. 
DLR,Digital Realty Trust Inc. Comm 
DLX,Deluxe Corporation Common 
DOW,Dow Chemical Company (The) Comm 
DRQ,Dril-Quip Inc. Common 
DSX,Diana Shipping inc. common stoc 
DTLK,Datalink Corporation 
DVD,Dover Motorsports Inc. Common  
ECOL,US Ecology Inc. 
EEP,Enbridge Energy L.P. Class A C 
EFSC,Enterprise Financial Services C 
EHTH,eHealth Inc. 
EML,Eastern Company (The) 
EMN,Eastman Chemical Company Common 
EPD,Enterprise Products Partners L. 
ERIE,Erie Indemnity Company 
ES,EnergySolutions Inc Common Stoc 
ESS,Essex Property Trust Inc. Comm 
ESV,Ensco plc Class A Ordinary Shar 
EXAM,ExamWorks Group Inc. Common St 
EXC,Exelon Corporation Common 
EXLS,ExlService Holdings Inc. 
EXPE,Expedia Inc. 
EZPW,EZCORP Inc. 
F,Ford Motor Company Common 
FARO,FARO Technologies Inc. 
FCBC,First Community Bancshares Inc 
FCFS,First Cash Financial Services  
FCN,FTI Consulting Inc. Common Sto 
FE,FirstEnergy Corporation Common  
FEIC,FEI Company 
FHCO,Female Health Company (The) 
FICO,Fair Isaac Incorporated Commo 
FIG,Fortress Investment Group LLC C 
FII,Federated Investors Inc. Commo 
FIX,Comfort Systems USA Inc. Commo 
FLIC,The First of Long Island Corpor 
FLML,Flamel Technologies S.A. 
FLS,Flowserve Corporation Common St 
FPO,First Potomac Realty Trust Comm 
FR,First Industrial Realty Trust  
FSS,Federal Signal Corporation Comm 
FTNT,Fortinet Inc. 
FUR,Winthrop Realty Trust New Commo 
GABC,German American Bancorp Inc. 
GIFI,Gulf Island Fabrication Inc. 
GNMK,GenMark Diagnostics Inc. 
GOV,Government Properties Income Tr 
GPI,Group 1 Automotive Inc. Common 
GPN,Global Payments Inc. Common Sto 
GPX,GP Strategies Corporation Commo 
GSIT,GSI Technology Inc. 
GSL,Global Ship Lease Inc New Class 
IPGP,IPG Photonics Corporation 
IRDM,Iridium Communications Inc 
ISIL,Intersil Corporation 
ISNS,Image Sensing Systems Inc. 
ITC,ITC Holdings Corp. Common 
ITG,Investment Technology Group In 
IVC,Invacare Corporation Common Sto 
IXYS,IXYS Corporation 
KAMN,Kaman Corporation Common 
KEG,Key Energy Services Inc. Commo 
KEM,Kemet Corporation New Common St 
KLAC,KLA-Tencor Corporation 
KRG,Kite Realty Group Trust Common  
KTEC,Key Technology Inc. 
LAD,Lithia Motors Inc. Common Stoc 
LAZ,Lazard LTD. Lazard LTD. Class  
LEG,Leggett & Platt Incorporated C 
LLL,L-3 Communications Holdings In 
LMNX,Luminex Corporation 
LOGM,LogMein Inc. 
LPLA,LPL Financial Holdings Inc. 
LSBK,Lake Shore Bancorp Inc. 
LYV,Live Nation Entertainment Inc. 
MATW,Matthews International Corporat 
MBRG,Middleburg Financial Corporatio 
MBTF,M B T Financial Corp 
MD,Mednax Inc. Common 
MDCA,MDC Partners Inc. 
MDP,Meredith Corporation Common Sto 
MERC,Mercer International Inc. 
MINI,Mobile Mini Inc. 
MJN,Mead Johnson Nutrition Company  
MKTX,MarketAxess Holdings Inc. 
MLVF,Malvern Federal Bancorp Inc. 
MMC,Marsh & McLennan Companies Inc 
MNDO,MIND C.T.I. Ltd. 
MNRO,Monro Muffler Brake Inc. 
