ACUR,Acura Pharmaceuticals Inc. 
ADUS,Addus HomeCare Corporation 
AIN,Albany International Corporatio 
AMG,Affiliated Managers Group Inc. 
AMKR,Amkor Technology Inc. 
ANH,Anworth Mortgage Asset Corporat 
ARE,Alexandria Real Estate Equities 
ATW,Atwood Oceanics Inc. Common St 
BDE,Black Diamond Inc. 
BFIN,BankFinancial Corporation 
BLKB,Blackbaud Inc. 
BWP,Boardwalk Pipeline Partners LP  
CGI,Celadon Group Inc. Common Stoc 
CGNX,Cognex Corporation 
CKEC,Carmike Cinemas Inc. 
CKH,SEACOR Holdings Inc. Common Sto 
CNA,CNA Financial Corporation Commo 
CRK,Comstock Resources Inc. Common 
CTRP,Ctrip.com International Ltd. 
CUTR,Cutera Inc. 
CYOU,Changyou.com Limited 
CYTR,CytRx Corporation 
DAC,Danaos Corporation Common 
DLA,Delta Apparel Inc. Common Stoc 
DNB,Dun & Bradstreet Corporation (T 
DO,Diamond Offshore Drilling Inc. 
DSPG,DSP Group Inc. 
EDR,Education Realty Trust Inc. Co 
ENH,Endurance Specialty Holdings Lt 
EXAC,Exactech Inc. 
EXAM,ExamWorks Group Inc. Common St 
FTR,Frontier Communications Corpora 
GGP,General Growth Properties Inc. 
GLRE,Greenlight Reinsurance Ltd. 
GPRE,Green Plains Renewable Energy  
GRA,W.R. Grace & Co. Common 
ININ,Interactive Intelligence Group 
IPHS,Innophos Holdings Inc. 
IVAC,Intevac Inc. 
KERX,Keryx Biopharmaceuticals Inc. 
L,Loews Corporation Common 
LNT,Alliant Energy Corporation Comm 
LRN,K12 Inc Common 
LTC,LTC Properties Inc. Common Sto 
MAC,Macerich Company (The) Common S 
MCY,Mercury General Corporation Com 
MSEX,Middlesex Water Company 
NLS,Nautilus Inc. Common 
NMM,Navios Maritime Partners LP Com 
NOAH,Noah Holdings Ltd. American Dep 
NSM,Nationstar Mortgage Holdings In 
OB,OneBeacon Insurance Group Ltd. 
OFIX,Orthofix International N.V. 
OLN,Olin Corporation Common 
ONB,Old National Bancorp Capital Tr 
OSTK,Overstock.com Inc. 
OZM,Och-Ziff Capital Management Gro 
PLOW,Douglas Dynamics Inc. Common S 
PPS,Post Properties Inc. Common St 
PQ,Petroquest Energy Inc Common St 
PRSC,The Providence Service Corporat 
QNST,QuinStreet Inc. 
QUAD,Quad Graphics Inc Class A Comm 
RAIL,Freightcar America Inc. 
RSO,Resource Capital Corp. Resource 
SBRA,Sabra Healthcare REIT Inc. 
SGU,Star Gas Partners L.P. Common  
SNHY,Sun Hydraulics Corporation 
SOHU,Sohu.com Inc. 
STRL,Sterling Construction Company I 
SYKE,Sykes Enterprises Incorporated 
TEX,Terex Corporation Common 
THC,Tenet Healthcare Corporation Co 
TREX,Trex Company Inc. Common 
TXRH,Texas Roadhouse Inc. 
UGI,UGI Corporation Common 
VECO,Veeco Instruments Inc. 
VMC,Vulcan Materials Company (Holdi 
VNO,Vornado Realty Trust Common Sto 
WLFC,Willis Lease Finance Corporatio 
WMB,Williams Companies Inc. (The)  
WPZ,Williams Partners L.P. Common U 
AVG, AVG Technologies N.V. Ordinary  
BIOL, Biolase  Inc. 
CEMP, Cempra  Inc. 
GWR, Genesee & Wyoming Inc. Class A  
HAE, Haemonetics Corporation Common  
HCOM, Hawaiian Telcom Holdco  Inc. 
HEOP, Heritage Oaks Bancorp 
HIHO, Highway Holdings Limited 
HVT, Haverty Furniture Companies  In 
IDTI, Integrated Device Technology  I 
IMKTA, Ingles Markets  Incorporated 
MCEP, Mid-Con Energy Partners  LP 
MEET, MeetMe  Inc. Common 
MTGE, American Capital Mortgage Inves 
NSP, Insperity  Inc. Common 
NTK, Nortek Inc. 
ROYT, Pacific Coast Oil Trust Units o 
TST, TheStreet  Inc. 
XOXO, XO Group  Inc. Common 
UCP,UCP Inc. 
TGLS,Tecnoglass Inc. 
SCTY,SolarCity Corporation 
PTLA,Portola Pharmaceuticals Inc. 
OCRX,Ocera Therapeutics Inc. 
NVGS,Navigator Holdings Ltd. 
MKTO,Marketo Inc. 
HBP,Huttig Building Products Inc. 
CHGG,Chegg Inc. 
AFH,Atlas Financial Holdings Inc. 
WSTC,West Corporation 
HNNA,Hennessy Advisors Inc. 
NGHC,National General Holdings Corp. 
NTP,Nam Tai Property Inc. 
OGS,ONE Gas  Inc. Common Stock 
PBHC,Pathfinder Bancorp Inc. 
IMPR,Imprivata Inc. Common
TSE,Trinseo S.A. Ordinary Shares
TTOO,T2 Biosystems Inc.
AVGR,Avinger Inc.
NVLS,Nivalis Therapeutics  Inc.
FDC,First Data Corporation
SHSP,SharpSpring  Inc.
