ABC,AmerisourceBergen Corporation ( 
ACLS,Axcelis Technologies Inc. 
ADM,Archer-Daniels-Midland Company  
AET,Aetna Inc. Common 
AFG,American Financial Group Inc.  
AGII,Argo Group International Holdin 
AHC,A.H. Belo Corporation Common St 
ALX,Alexander's Inc. Common 
AM,American Greetings Corporation  
AMED,Amedisys Inc 
ANH,Anworth Mortgage Asset Corporat 
APT,Alpha Pro Tech Ltd. Common Sto 
ARW,Arrow Electronics Inc. Common  
ATRI,ATRION Corporation 
BBOX,Black Box Corporation 
BEAT,CardioNet Inc. 
BECN,Beacon Roofing Supply Inc. 
BGFV,Big 5 Sporting Goods Corporatio 
BIOC,BioClinica Inc 
BOFI,BofI Holding Inc. 
BPI,Bridgepoint Education Inc. 
BRKR,Bruker Corporation 
CAH,Cardinal Health Inc. Common St 
CALD,Callidus Software Inc. 
CALX,Calix Inc Common 
CAR,Avis Budget Group Inc. 
CBZ,CBIZ Inc. Common 
CENT,Central Garden & Pet Company 
CERN,Cerner Corporation 
CGI,Celadon Group Inc. Common Stoc 
CHH,Choice Hotels International In 
CIE,Cobalt International Energy In 
CLI,Mack-Cali Realty Corporation Co 
CMI,Cummins Inc. Common 
CORT,Corcept Therapeutics Incorporat 
CPIX,Cumberland Pharmaceuticals Inc. 
CRAY,Cray Inc 
CRVL,CorVel Corp. 
CTRP,Ctrip.com International Ltd. 
CXO,Concho Resources Inc. Common St 
CYH,Community Health Systems Inc.  
DEI,Douglas Emmett Inc. Common Sto 
DISCA,Discovery Communications Inc 
DVN,Devon Energy Corporation Common 
DWA,Dreamworks Animation SKG Inc. 
DXCM,DexCom Inc. 
ECL,Ecolab Inc. Common 
ELGX,Endologix Inc. 
EMR,Emerson Electric Company Common 
ENOC,EnerNOC Inc. 
ENSG,The Ensign Group Inc. 
ESE,ESCO Technologies Inc. Common S 
ESI,ITT Educational Services Inc.  
ESIO,Electro Scientific Industries  
ETR,Entergy Corporation Common Stoc 
EVOL,Evolving Systems Inc. 
EXPD,Expeditors International of Was 
FARO,FARO Technologies Inc. 
FBSS,Fauquier Bankshares Inc. 
FDP,Fresh Del Monte Produce Inc. C 
FEIC,FEI Company 
FISV,Fiserv Inc. 
FMC,FMC Corporation Common 
FNGN,Financial Engines Inc. 
FORM,FormFactor Inc. 
FSTR,L.B. Foster Company 
GEO,Geo Group Inc (The) Common Stoc 
GLDD,Great Lakes Dredge & Dock Corpo 
GLT,Glatfelter Common 
GLUU,Glu Mobile Inc. 
GNRC,Generac Holdlings Inc. Common S 
GNW,Genworth Financial Inc Common S 
IOSP,Innospec Inc. 
IPI,Intrepid Potash Inc Common Sto 
JLL,Jones Lang LaSalle Incorporated 
KAR,KAR Auction Services Inc Commo 
KFRC,Kforce Inc. 
KMT,Kennametal Inc. Common 
KOPN,Kopin Corporation 
LDL,Lydall Inc. Common 
MFA,MFA Financial Inc. 
MKL,Markel Corporation Common 
MLM,Martin Marietta Materials Inc. 
MOD,Modine Manufacturing Company Co 
MOS,Mosaic Company (The) Common Sto 
MRCY,Mercury Computer Systems 
MSEX,Middlesex Water Company 
MXWL,Maxwell Technologies Inc. 
NATL,National Interstate Corporation 
NC,NACCO Industries Inc. Common S 
NFX,Newfield Exploration Company Co 
NI,NiSource Inc Common 
NJR,NewJersey Resources Corporation 
NMM,Navios Maritime Partners LP Com 
NNN,National Retail Properties Comm 
NPO,Enpro Industries Inc 
NS,Nustar Energy L.P.  Common Unit 
NSM,Nationstar Mortgage Holdings In 
NWN,Northwest Natural Gas Company C 
NWPX,Northwest Pipe Company 
NYMT,New York Mortgage Trust Inc. 
OB,OneBeacon Insurance Group Ltd. 
ODP,Office Depot Inc. Common 
OESX,Orion Energy Systems Inc. Comm 
OHI,Omega Healthcare Investors Inc 
OKE,ONEOK Inc. Common 
OKS,ONEOK Partners L.P. Common Sto 
ONVI,Onvia Inc. 
ORA,Ormat Technologies Inc. Common 
OZM,Och-Ziff Capital Management Gro 
PBI,Pitney Bowes Inc. Common 
PCTI,PC-Tel Inc. 
PFBI,Premier Financial Bancorp Inc. 
PFE,Pfizer Inc. Common 
PG,Procter & Gamble Company (The)  
PKD,Parker Drilling Company Common  
PLT,Plantronics Inc. Common 
PLUS,ePlus inc. 
PNRG,PrimeEnergy Corporation 
PNW,Pinnacle West Capital Corporati 
POWL,Powell Industries Inc. 
PRMW,Primo Water Corporation 
PRO,PROS Holdings Inc. Common Stoc 
PZZA,Papa John'S International Inc. 
RCL,Royal Caribbean Cruises Ltd. Co 
RDC,Rowan Companies plc Class A Ord 
REG,Regency Centers Corporation Com 
REXI,Resource America Inc. 
RGR,Sturm Ruger & Company Inc. Co 
RIGL,Rigel Pharmaceuticals Inc. 
RLH,Red Lions Hotels Corporation Co 
RMTI,Rockwell Medical Inc. 
RPT,Ramco-Gershenson Properties Tru 
SGY,Stone Energy Corporation Common 
SHOO,Steven Madden Ltd. 
SM,SM Energy Company Common 
SODA,SodaStream International Ltd. 
SRI,Stoneridge Inc. Common 
STX,Seagate Technology. 
STXS,Stereotaxis Inc. 
SUI,Sun Communities Inc. Common St 
SYX,Systemax Inc. Common 
TAP,Molson Coors Brewing Company Cl 
