AAWW,Atlas Air Worldwide Holdings 
ACAS,American Capital Ltd. 
ACUR,Acura Pharmaceuticals Inc. 
AEGR,Aegerion Pharmaceuticals Inc. 
AGO,Assured Guaranty Ltd. Common St 
AGYS,Agilysys Inc. 
AIRT,Air T Inc. 
ALB,Albemarle Corporation Common St 
ALE,Allete Inc. 
ALG,Alamo Group Inc. Common 
ALIM,Alimera Sciences Inc. 
ALL,Allstate Corporation (The) Comm 
ANDE,The Andersons Inc. 
ANH,Anworth Mortgage Asset Corporat 
AOI,Alliance One International Inc 
APT,Alpha Pro Tech Ltd. Common Sto 
AREX,Approach Resources Inc. 
ARKR,Ark Restaurants Corp. 
ARQL,ArQule Inc. 
ARTNA,Artesian Resources Corporation 
ATO,Atmos Energy Corporation Common 
ATRI,ATRION Corporation 
ATRO,Astronics Corporation 
AVA,Avista Corporation Common 
AWK,American Water Works Company I 
BBRG,Bravo Brio Restaurant Group In 
BGC,General Cable Corporation Commo 
BIO,Bio-Rad Laboratories Inc. Clas 
BKH,Black Hills Corporation Common  
BRT,BRT Realty Trust Common 
BSQR,BSQUARE Corporation 
BYD,Boyd Gaming Corporation Common  
CAS,Castle (A.M.) & Co. Common Stoc 
CBMX,CombiMatrix Corporation 
CCRN,Cross Country Healthcare Inc. 
CDI,CDI Corporation Common 
CECO,Career Education Corporation 
CEVA,CEVA Inc. 
CF,CF Industries Holdings Inc. Co 
CGI,Celadon Group Inc. Common Stoc 
CHDN,Churchill Downs Incorporated 
CLH,Clean Harbors Inc. Common Stoc 
CLR,Continental Resources Inc. Com 
CLX,Clorox Company (The) Common Sto 
CODI,Compass Diversified Holdings Sh 
CRL,Charles River Laboratories Inte 
CROX,Crocs Inc. 
CSGS,CSG Systems International Inc. 
CSII,Cardiovascular Systems Inc. 
CTHR,Charles & Colvard Ltd 
CTL,CenturyLink Inc. Common 
CTRP,Ctrip.com International Ltd. 
CUB,Cubic Corporation Common 
CVCO,Cavco Industries Inc. 
CWEI,Clayton Williams Energy Inc. 
CXW,Corrections Corporation of Amer 
DDD,3D Systems Corporation Common S 
DENN,Denny's Corporation 
DEPO,Depomed Inc. 
DIN,DineEquity Inc Common 
DM,Dolan Company (The) Common Stoc 
DPM,DCP Midstream Partners LP DCP  
EE,El Paso Electric Company Common 
ENR,Energizer Holdings Inc. Common 
EPR,Entertainment Properties Trust  
EQIX,Equinix Inc. 
ERII,Energy Recovery Inc. 
ESCA,Escalade Incorporated 
ETP,Energy Transfer Partners L.P.  
EXEL,Exelixis Inc. 
EZPW,EZCORP Inc. 
FBSS,Fauquier Bankshares Inc. 
FEIC,FEI Company 
FLOW,Flow International Corporation 
FSLR,First Solar Inc. 
FUN,Cedar Fair L.P. Common 
G,Genpact Limited Common 
GEL,Genesis Energy L.P. Common Uni 
GERN,Geron Corporation 
GFF,Griffon Corporation Common Stoc 
GIGM,GigaMedia Limited 
GLAD,Gladstone Capital Corporation 
GNK,Genco Shipping & Trading Limite 
GPOR,Gulfport Energy Corporation 
INTL,INTL FCStone Inc. 
IO,Ion Geophysical Corporation Com 
IPAS,iPass Inc. 
JACK,Jack In The Box Inc. 
JCOM,j2 Global Inc. 
JCS,Communications Systems Inc. 
KAI,Kadant Inc Common 
KLIC,Kulicke and Soffa Industries I 
LGCY,Legacy Reserves LP 
LHCG,LHC Group 
LINC,Lincoln Educational Services Co 
LUK,Leucadia National Corporation C 
MASI,Masimo Corporation 
MCF,Contango Oil & Gas Company Comm 
MDC,M.D.C. Holdings Inc. Common St 
MED,MEDIFAST INC Common 
MET,MetLife Inc. Common 
