AAME,Atlantic American Corporation 
AMS,American Shared Hospital Servic 
ANW,Aegean Marine Petroleum Network 
AOSL,Alpha and Omega Semiconductor L 
ARCI,Appliance Recycling Centers of  
AVT,Avnet Inc. Common 
AXAS,Abraxas Petroleum Corporation 
BBSI,Barrett Business Services Inc. 
BVSN,BroadVision Inc. 
CBLI,Cleveland BioLabs Inc. 
CGI,Celadon Group Inc. Common Stoc 
CRWS,Crown Crafts Inc. 
CTIB,CTI Industries Corporation 
CUR,Neuralstem Inc. Common 
CYCC,Cyclacel Pharmaceuticals Inc. 
ELTK,Eltek Ltd. 
ENS,Enersys Common 
EPAY,Bottomline Technologies Inc. 
EQS,Equus Total Return Inc. Common 
FLL,Full House Resorts Inc. Common 
FORD,Forward Industries Inc. 
FUNC,First United Corporation 
GASS,StealthGas Inc. 
GILT,Gilat Satellite Networks Ltd. 
IMOS,ChipMOS TECHNOLOGIES (Bermuda)  
ISSC,Innovative Solutions and Suppor 
KELYA,Kelly Services Inc. 
KORS,Michael Kors Holdings Limited O 
KOSS,Koss Corporation 
LIFE,Life Technologies Corporation 
LORL,Loral Space and Communications 
LOV,Spark Networks Inc. Common Sto 
MIDD,The Middleby Corporation 
MTEX,Mannatech Incorporated 
NIHD,NII Holdings Inc. 
OTIV,On Track Innovations Ltd 
PRGO,Perrigo Company 
PRKR,ParkerVision Inc. 
PRPH,ProPhase Labs Inc. 
RCMT,RCM Technologies Inc. 
RDEN,Elizabeth Arden Inc. 
RL,Ralph Lauren Corporation Common 
RTK,Rentech Inc. Common 
SEB,Seaboard Corporation Common Sto 
SMED,Sharps Compliance Corp 
TAT,TransAtlantic Petroleum Ltd Ord 
TFSL,TFS Financial Corporation 
TLF,Tandy Leather Factory Inc. 
TWIN,Twin Disc Incorporated 
ULTR,Ultrapetrol (Bahamas) Limited 
VHI,Valhi Inc. Common 
VRML,Vermillion Inc. 
VRS,Verso Paper Corp. Common 
WEN,Wendy's Company (The) 
WSTL,Westell Technologies Inc. 
ETAK, Elephant Talk Communications  I 
GTIM, Good Times Restaurants Inc. 
GURE, Gulf Resources  Inc. 
MNGA, MagneGas Corporation 
OXLC, Oxford Lane Capital Corp. 
SVT, Servotronics  Inc. Common 
TARO, Taro Pharmaceutical Industries  
TATT, TAT Technologies Ltd. 
MSTX,Mast Therapeutics Inc. 
JTPY,JetPay Corporation 
IPDN,Professional Diversity Network LLC 
EVK,Ever-Glory International Group Inc. 
DOOR,Masonite International Corporation 
CGIX,Cancer Genetics Inc. 
BDL,Flanigans Enterprises Inc. 
ARMK,ARAMARK Holdings Corporation 
WPT,World Point Terminals LP 
XPLR,Xplore Technologies Corp. 
ARGS,Argos Therapeutics  Inc. 
BPTH,Bio-Path Holdings Inc. 
CYRN,CYREN Ltd. 
GPRK,GeoPark Limited 
NVFY,Nova Lifestyle Inc. 
CDNA,CareDx Inc.
CLRB,Cellectar Biosciences Inc.
FOMX,Foamix Pharmaceuticals Ltd.
GLOB,Globant S.A. Common Shares
IMPR,Imprivata Inc. Common
JD,JD.com Inc.
OXBR,Oxbridge Re Holdings Limited
RCPI,Rock Creek Pharmaceuticals Inc
RESN,Resonant Inc.
SAGE,Sage Therapeutics Inc.
SGNL,Signal Genetics Inc.
SNC,State National Companies Inc.
SPKE,Spark Energy Inc.
TGEN,Tecogen Inc.
TKAI,Tokai Pharmaceuticals Inc.
VCEL,Vericel Corporation
ALDX,Aldeyra Therapeutics Inc.
ADMA,ADMA Biologics Inc
SHAK,Shake Shack Inc. Class A Commo
PN,Patriot National Inc. Common S
ONCE,Spark Therapeutics Inc.
OA,Orbital ATK Inc. Common
MXPT,MaxPoint Interactive Inc. Comm
TCON,TRACON Pharmaceuticals Inc.
ZSAN,Zosano Pharma Corporation
PIRS,Pieris Pharmaceuticals  Inc.
KMPH,KemPharm  Inc.
JP,Jupai Holdings Limited
COLL,Collegium Pharmaceutical  Inc.
CLCD,CoLucid Pharmaceuticals  Inc.
CHMA,Chiasma  Inc.
CDTX,Cidara Therapeutics  Inc.
BUFF,Blue Buffalo Pet Products  Inc.
AQMS,Aqua Metals  Inc.
DTRM,Determine  Inc.
KURA,Kura Oncology  Inc.
PMTS,CPI Card Group  Inc.
EIGR,Eiger BioPharmaceuticals  Inc.
NVTR,Nuvectra Corporation
SUNW,Sunworks  Inc.
WINT,Windtree Therapeutics  Inc.
CSRA,CSRA Inc.
GCP,GCP Applied Technologies Inc.
QHC,Quorum Health Corporation
