ACY,AeroCentury Corp. Common 
ADAT,Authentidate Holding Corp. 
AIRT,Air T Inc. 
AIT,Applied Industrial Technologies 
ARCI,Appliance Recycling Centers of  
ARL,American Realty Investors Inc. 
ASEI,American Science and Engineerin 
ASTI,Ascent Solar Technologies Inc. 
ATEA,Astea International Inc. 
ATRM,Aetrium Incorporated 
ATV,Acorn International Inc. ADS 
CBLI,Cleveland BioLabs Inc. 
CGI,Celadon Group Inc. Common Stoc 
CHCI,Comstock Holding Companies Inc 
CJJD,China Jo-Jo Drugstores Inc. 
CPHC,Canterbury Park Holding Corpora 
CREG,China Recycling Energy Corporat 
CTIB,CTI Industries Corporation 
CTRP,Ctrip.com International Ltd. 
EPAY,Bottomline Technologies Inc. 
EQS,Equus Total Return Inc. Common 
FORD,Forward Industries Inc. 
FRD,Friedman Industries Inc. Common 
GASS,StealthGas Inc. 
GBR,New Concept Energy Inc Common  
JCP,J.C. Penney Company Inc. Holdi 
KGJI,Kingold Jewelry Inc. 
KINS,Kingstone Companies Inc 
NFEC,NF Energy Saving Corporation 
OBCI,Ocean Bio-Chem Inc. 
PFIN,P & F Industries Inc. 
RELV,Reliv' International Inc. 
SFUN,SouFun Holdings Limited America 
SPP,Sappi Limited Common 
SVA,Sinovac Biotech Ltd. 
TCI,Transcontinental Realty Investo 
ULTR,Ultrapetrol (Bahamas) Limited 
UTSI,UTStarcom Holdings Corp 
WMS,WMS Industries Inc. Common Stoc 
XIN,Xinyuan Real Estate Co Ltd Amer 
CLNT, Cleantech Solutions Internation 
ECTE, Echo Therapeutics  Inc. 
ETAK, Elephant Talk Communications  I 
HPJ, Hong Kong Highpower Technology 
HWBK, Hawthorn Bancshares  Inc. 
NETE, Net Element International  Inc. 
RLJE, RLJ Entertainment  Inc. 
RVP, Retractable Technologies  Inc.  
SVT, Servotronics  Inc. Common 
AMLP,ALPS Alerian MLP ETF
HTBX,Heat Biologics Inc. 
IPDN,Professional Diversity Network LLC 
EVOK,Evoke Pharma Inc. 
EVK,Ever-Glory International Group Inc. 
ERS,Empire Resources Inc. 
BDR,Blonder Tongue Laboratories Inc. 
BDL,Flanigans Enterprises Inc. 
XGTI,xG Technology Inc. 
CELP,Cypress Energy Partners L.P. 
EBIO,Eleven Biotherapeutics Inc. 
EVAR,Lombard Medical Inc. 
NSEC,National Security Group Inc. 
NVFY,Nova Lifestyle Inc. 
REPH,Recro Pharma Inc. 
SC,Santander Consumer USA Holdings Inc. 
CLRB,Cellectar Biosciences Inc.
MDSY,BluePhoenix Solutions Ltd.
OXBR,Oxbridge Re Holdings Limited
QRHC,Quest Resource Holding Corporat
SDPI,Superior Drilling Products Inc
SGNL,Signal Genetics Inc.
SNC,State National Companies Inc.
TBIO,Transgenomic Inc.
TKAI,Tokai Pharmaceuticals Inc.
VBLT,Vascular Biogenics Ltd.
YUMA,Yuma Energy Inc.
CBMG,Cellular Biomedicine Group Inc
CASI,CASI Pharmaceuticals Inc.
ADMA,ADMA Biologics Inc
CAPR,CAPRICOR THERAP
STDY,STEADYMED LTD.
MLSS,Milestone Scientific Inc.
CRBP,Corbus Pharmaceuticals Holdings  Inc.
ALJJ,ALJ Regional Holdings  Inc.
LINK,Interlink Electronics  Inc.
AFI,Armstrong Flooring  Inc.
