AMAT,Applied Materials Inc. 
BONT,The Bon-Ton Stores Inc. 
BSPM,Biostar Pharmaceuticals Inc. 
CATO,Cato Corporation (The) Class A  
CCCL,China Ceramics Co. Ltd. 
CCIH,ChinaCache International Holdin 
CISG,CNinsure Inc. 
CRMT,America's Car-Mart Inc. 
CSIQ,Canadian Solar Inc. 
CSPI,CSP Inc. 
DV,DeVry Inc. Common 
EPAY,Bottomline Technologies Inc. 
FFHL,Fuwei Films (Holdings) Co. Ltd 
GASS,StealthGas Inc. 
GPS,Gap Inc. (The) Common 
GRVY,GRAVITY Co. Ltd. 
JKS,JinkoSolar Holding Company Limi 
JRJC,China Finance Online Co. Limite 
LANC,Lancaster Colony Corporation 
LYTS,LSI Industries Inc. 
MENT,Mentor Graphics Corporation 
MSON,MISONIX Inc. 
NM,Navios Maritime Holdings Inc. C 
NNA,Navios Maritime Acquisition Cor 
NWY,New York & Company Inc. New Yo 
PERY,Perry Ellis International Inc. 
PLAB,Photronics Inc. 
RENN,Renren Inc. American Depositary 
ROST,Ross Stores Inc. 
SHLD,Sears Holdings Corporation 
SSI,Stage Stores Inc. Common 
TTC,Toro Company (The) Common 
TWIN,Twin Disc Incorporated 
WMT,Wal-Mart Stores Inc. Common St 
HAIN, The Hain Celestial Group  Inc. 
HRL, Hormel Foods Corporation Common 
ZX, China Zenix Auto International  
EROS,Eros International Plc 
WUBA,58.com Inc. 
EARS,Auris Medical Holding AG
EHIC,eHi Car Services Limited Americ
IMPR,Imprivata Inc. Common
MSGN,MSG Networks Inc.
