ADAT,Authentidate Holding Corp. 
BKE,Buckle Inc. (The) Common 
BSPM,Biostar Pharmaceuticals Inc. 
CCCL,China Ceramics Co. Ltd. 
DE,Deere & Company Common 
DSWL,Deswell Industries Inc. 
EL,Estee Lauder Companies Inc. (T 
GASS,StealthGas Inc. 
GMAN,Gordmans Stores Inc. 
GRO,Agria Corporation American Depo 
GRVY,GRAVITY Co. Ltd. 
MSG,The Madison Square Garden Compa 
MSON,MISONIX Inc. 
NM,Navios Maritime Holdings Inc. C 
SMRT,Stein Mart Inc. 
TUES,Tuesday Morning Corp. 
WMS,WMS Industries Inc. Common Stoc 
HAIN, The Hain Celestial Group  Inc. 
HIBB, Hibbett Sports  Inc. 
AMLP,ALPS Alerian MLP ETF
EROS,Eros International Plc 
SC,Santander Consumer USA Holdings Inc. 
CMCM,Cheetah Mobile Inc. American De
ORPN,Bio Blast Pharma Ltd.
