AMWD,American Woodmark Corporation 
BBY,Best Buy Co. Inc. Common 
CCUR,Concurrent Computer Corporation 
CGI,Celadon Group Inc. Common Stoc 
CNTF,China TechFaith Wireless Commun 
DAKT,Daktronics Inc. 
DL,China Distance Education Holdin 
DY,Dycom Industries Inc. Common S 
ESSX,Essex Rental Corporation 
INTU,Intuit Inc. 
KIRK,Kirkland's Inc. 
LCI,Lannett Co Inc Common 
LTRX,Lantronix Inc. 
LZB,La-Z-Boy Incorporated Common St 
MOBI,Sky-mobi Limited 
RAVN,Raven Industries Inc. 
RGS,Regis Corporation Common 
SJM,J.M. Smucker Company (The) New  
SVA,Sinovac Biotech Ltd. 
SXI,Standex International Corporati 
TINY,Harris & Harris Group Inc. 
TOL,Toll Brothers Inc. Common 
TSL,Trina Solar Limited Sponsored A 
YGE,Yingli Green Energy Holding Com 
GEC, General Electric Capital Corpor 
HAIN, The Hain Celestial Group  Inc. 
QUNR,Qunar Cayman Islands Limited 
NMBL,Nimble Storage Inc. 
BVA,Cordia Bancorp Inc. 
EHIC,eHi Car Services Limited Americ
IMPR,Imprivata Inc. Common
HQCL,Hanwha Q CELLS Co. Ltd
COE,China Online Education Group
